family,holm_subfamily,strategy,model_a,model_b,comparison,mbb_n_dates,mbb_observed_mean,mbb_observed_total,mbb_ci95_mean_lower,mbb_ci95_mean_upper,mbb_ci95_total_lower,mbb_ci95_total_upper,mbb_p_two_sided,mbb_p_one_sided_positive,mbb_p_one_sided_negative,ordinary_n_dates,ordinary_observed_mean,ordinary_observed_total,ordinary_ci95_mean_lower,ordinary_ci95_mean_upper,ordinary_ci95_total_lower,ordinary_ci95_total_upper,ordinary_p_two_sided,ordinary_p_one_sided_positive,ordinary_p_one_sided_negative,holm_p_two_sided,holm_reject_5pct,dependence_sensitive_5pct
within_strategy_model_pairwise,fixed_settlement,fixed_settlement,raw,static,raw - static,61,-0.030885245901639338,-1.8839999999999997,-0.13972192622950821,0.049674385245901634,-8.523037500000001,3.0301374999999995,0.5592440755924407,0.5962403759624038,0.403959604039596,61,-0.030885245901639338,-1.8839999999999997,-0.12730368852459018,0.06811782786885243,-7.765525,4.155187499999998,0.5449455054494551,0.720927907209279,0.27917208279172084,1.0,False,False
within_strategy_model_pairwise,fixed_settlement,fixed_settlement,raw,rbf,raw - rbf,61,-0.030885245901639338,-1.8839999999999997,-0.14215266393442622,0.0484924180327869,-8.671312499999999,2.958037500000001,0.5694430556944305,0.589041095890411,0.41115888411158885,61,-0.030885245901639338,-1.8839999999999997,-0.12528811475409835,0.06774036885245899,-7.642574999999999,4.132162499999998,0.537946205379462,0.7334266573342666,0.2666733326667333,1.0,False,False
within_strategy_model_pairwise,fixed_settlement,fixed_settlement,raw,matern32,raw - matern32,61,-0.033672131147540973,-2.0539999999999994,-0.14356823770491803,0.04868975409836064,-8.7576625,2.970074999999999,0.5286471352864713,0.6146385361463854,0.38566143385661433,61,-0.033672131147540973,-2.0539999999999994,-0.1294514344262295,0.06531331967213112,-7.896537499999999,3.9841124999999984,0.5030496950304969,0.7393260673932607,0.26077392260773924,1.0,False,False
within_strategy_model_pairwise,fixed_settlement,fixed_settlement,static,rbf,static - rbf,61,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,61,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,False,False
within_strategy_model_pairwise,fixed_settlement,fixed_settlement,static,matern32,static - matern32,61,-0.002786885245901636,-0.1699999999999998,-0.00696721311475409,0.0,-0.4249999999999995,0.0,0.23847615238476152,0.9527047295270473,0.1596840315968403,61,-0.002786885245901636,-0.1699999999999998,-0.00696721311475409,0.0,-0.4249999999999995,0.0,0.2746725327467253,0.9498050194980502,0.1401859814018598,1.0,False,False
within_strategy_model_pairwise,fixed_settlement,fixed_settlement,rbf,matern32,rbf - matern32,61,-0.002786885245901636,-0.1699999999999998,-0.00696721311475409,0.0,-0.4249999999999995,0.0,0.23807619238076191,0.9534046595340466,0.1583841615838416,61,-0.002786885245901636,-0.1699999999999998,-0.00696721311475409,0.0,-0.4249999999999995,0.0,0.27187281271872815,0.9507049295070493,0.14138586141385862,1.0,False,False
within_strategy_model_pairwise,taec11,taec11,raw,static,raw - static,61,-0.014942622950819653,-0.9114999999999989,-0.11317397540983604,0.0439030737704918,-6.903612499999999,2.6780875,0.7506249375062494,0.43795620437956206,0.5623437656234377,61,-0.014942622950819653,-0.9114999999999989,-0.0929360655737705,0.061910245901639356,-5.6691,3.776525000000001,0.7097290270972902,0.6481351864813518,0.35196480351964804,1.0,False,False
within_strategy_model_pairwise,taec11,taec11,raw,rbf,raw - rbf,61,-0.0037295081967212897,-0.22749999999999868,-0.09818995901639342,0.048773155737704875,-5.989587499999999,2.9751624999999975,0.9378062193780622,0.31316868313168683,0.686931306869313,61,-0.0037295081967212897,-0.22749999999999868,-0.08040389344262294,0.07121454918032785,-4.9046375,4.344087499999999,0.9194080591940806,0.5436456354364564,0.45655434456554345,1.0,False,False
within_strategy_model_pairwise,taec11,taec11,raw,matern32,raw - matern32,61,-0.014852459016393416,-0.9059999999999984,-0.10929610655737705,0.04122172131147542,-6.6670625,2.5145250000000003,0.7362263773622638,0.45515448455154484,0.545045495450455,61,-0.014852459016393416,-0.9059999999999984,-0.09159077868852458,0.05959651639344253,-5.587037499999999,3.6353874999999944,0.6995300469953005,0.6567343265673433,0.34356564343565643,1.0,False,False
within_strategy_model_pairwise,taec11,taec11,static,rbf,static - rbf,61,0.011213114754098363,0.6840000000000002,0.0045737704918032826,0.019836065573770496,0.27900000000000025,1.2100000000000002,0.006999300069993001,0.006999300069993001,0.9931006899310069,61,0.011213114754098363,0.6840000000000002,0.0029508196721311506,0.02126229508196721,0.1800000000000002,1.297,0.0173982601739826,0.015298470152984701,0.9848015198480152,0.041995800419958006,True,False
within_strategy_model_pairwise,taec11,taec11,static,matern32,static - matern32,61,9.016393442623026e-05,0.0055000000000000465,-0.0044674180327868825,0.010549385245901637,-0.2725124999999998,0.6435124999999998,0.989001099890011,0.781921807819218,0.21897810218978103,61,9.016393442623026e-05,0.0055000000000000465,-0.01044282786885246,0.009631147540983606,-0.6370125000000001,0.5875,0.9862013798620138,0.5089491050894911,0.49235076492350766,1.0,False,False
within_strategy_model_pairwise,taec11,taec11,rbf,matern32,rbf - matern32,61,-0.011122950819672133,-0.6785000000000001,-0.01721311475409836,-0.0009918032786885272,-1.05,-0.06050000000000016,0.012598740125987402,0.9977002299770023,0.0023997600239976003,61,-0.011122950819672133,-0.6785000000000001,-0.021475819672131153,-0.002786885245901639,-1.3100250000000004,-0.16999999999999998,0.021397860213978603,0.9798020197980202,0.020497950204979503,0.062993700629937,False,False
