empirical_period,strategy,model,metric,bootstrap_method,observed,ci95_lower,ci95_upper
external_validation,fixed_settlement,matern32,daily_pnl_sd,mbb,0.20902350411669982,0.11903349067490498,0.2923046833516162
external_validation,fixed_settlement,matern32,nonannualised_sharpe,mbb,0.1922287545539348,0.0587304240069437,0.3011890365497459
external_validation,fixed_settlement,matern32,sortino,mbb,2.1126205855919884,0.34531113273936215,5.155390820872419
external_validation,fixed_settlement,matern32,empirical_var95_loss,mbb,0.06,0.014,0.0699999999999999
external_validation,fixed_settlement,matern32,empirical_expected_shortfall95_loss,mbb,0.06774999999999998,0.0289999999999999,0.07449999999999997
external_validation,fixed_settlement,matern32,maximum_drawdown,mbb,0.2539999999999998,0.08299999999999996,0.4404999999999998
external_validation,fixed_settlement,matern32,roi_on_entry_capital,mbb,4.464480874316943,0.8000588209628865,8.33162308687374
external_validation,fixed_settlement,matern32,total_net_pnl,ordinary,2.4510000000000005,-0.38553750000000003,6.119025
external_validation,fixed_settlement,matern32,mean_daily_pnl,ordinary,0.040180327868852464,-0.006320286885245901,0.10031188524590164
external_validation,fixed_settlement,matern32,daily_pnl_sd,ordinary,0.20902350411669982,0.018632187050303742,0.30383365808790047
external_validation,fixed_settlement,matern32,nonannualised_sharpe,ordinary,0.1922287545539348,-0.3565253328070604,0.3251804666267079
external_validation,fixed_settlement,matern32,sortino,ordinary,2.1126205855919884,-0.33829426974309723,6.614696597939882
external_validation,fixed_settlement,matern32,empirical_var95_loss,ordinary,0.06,0.013,0.0699999999999999
external_validation,fixed_settlement,matern32,empirical_expected_shortfall95_loss,ordinary,0.06774999999999998,0.02709999999999998,0.07449999999999998
external_validation,fixed_settlement,matern32,maximum_drawdown,ordinary,0.2539999999999998,0.07799999999999985,0.5379999999999997
external_validation,fixed_settlement,matern32,roi_on_entry_capital,ordinary,4.464480874316943,-1.0,10.976047904191624
external_validation,taec11,raw,total_net_pnl,mbb,-6.260999999999999,-9.650012499999999,-3.289912500000001
external_validation,taec11,raw,mean_daily_pnl,mbb,-0.10263934426229507,-0.15819692622950818,-0.053932991803278714
external_validation,taec11,raw,daily_pnl_sd,mbb,0.20968925682120554,0.15444647321369956,0.23906800085989316
external_validation,taec11,raw,nonannualised_sharpe,mbb,-0.48948308472384894,-0.9725252690194074,-0.2348904402094942
external_validation,taec11,raw,sortino,mbb,-0.5130524718657217,-0.7398277969250975,-0.2976120022485296
external_validation,taec11,raw,empirical_var95_loss,mbb,0.3964999999999999,0.244,0.4605
external_validation,taec11,raw,empirical_expected_shortfall95_loss,mbb,0.47574999999999995,0.34261874999999997,0.5576249999999999
external_validation,taec11,raw,maximum_drawdown,mbb,7.068499999999999,3.8774250000000015,9.772499999999992
external_validation,taec11,raw,roi_on_entry_capital,mbb,-0.024183969670575012,-0.03767695608499613,-0.012526086656041954
external_validation,taec11,raw,total_net_pnl,ordinary,-6.260999999999999,-9.350525,-3.021475000000001
external_validation,taec11,raw,mean_daily_pnl,ordinary,-0.10263934426229507,-0.1532872950819672,-0.04953237704918034
external_validation,taec11,raw,daily_pnl_sd,ordinary,0.20968925682120554,0.16589950843100737,0.24412299945574512
external_validation,taec11,raw,nonannualised_sharpe,ordinary,-0.48948308472384894,-0.8478672261331814,-0.22267682947365347
external_validation,taec11,raw,sortino,ordinary,-0.5130524718657217,-0.6959199414334766,-0.2857608879035396
external_validation,taec11,raw,empirical_var95_loss,ordinary,0.3964999999999999,0.283,0.4605
external_validation,taec11,raw,empirical_expected_shortfall95_loss,ordinary,0.47574999999999995,0.3315,0.5576249999999999
external_validation,taec11,raw,maximum_drawdown,ordinary,7.068499999999999,3.5664875000000005,9.4985125
external_validation,taec11,raw,roi_on_entry_capital,ordinary,-0.024183969670575012,-0.036419993988805556,-0.0116656279421851
external_validation,taec11,static,total_net_pnl,mbb,-5.349499999999999,-8.255125000000001,0.017524999999999978
external_validation,taec11,static,mean_daily_pnl,mbb,-0.08769672131147539,-0.1353299180327869,0.00028729508196721277
external_validation,taec11,static,daily_pnl_sd,mbb,0.27050097471618173,0.2125048558332893,0.32002853689928995
external_validation,taec11,static,nonannualised_sharpe,mbb,-0.3242011286779635,-0.5859841694753902,0.0010827939771524027
external_validation,taec11,static,sortino,mbb,-0.37296251130384284,-0.5568594104138116,0.0016873542473549276
external_validation,taec11,static,empirical_var95_loss,mbb,0.4465,0.321,0.454
external_validation,taec11,static,empirical_expected_shortfall95_loss,mbb,0.560125,0.39530000000000004,0.6285
external_validation,taec11,static,maximum_drawdown,mbb,5.349499999999999,2.2169625,8.627524999999997
external_validation,taec11,static,roi_on_entry_capital,mbb,-0.037447979195178206,-0.05906150761814509,0.00011457170654766331
external_validation,taec11,static,total_net_pnl,ordinary,-5.349499999999999,-9.348,-1.2224875000000008
external_validation,taec11,static,mean_daily_pnl,ordinary,-0.08769672131147539,-0.15324590163934426,-0.0200407786885246
external_validation,taec11,static,daily_pnl_sd,ordinary,0.27050097471618173,0.22066411781194545,0.3152388884466854
external_validation,taec11,static,nonannualised_sharpe,ordinary,-0.3242011286779635,-0.6240707976485481,-0.07220528407017926
external_validation,taec11,static,sortino,ordinary,-0.37296251130384284,-0.5798063933243971,-0.10046631241213652
external_validation,taec11,static,empirical_var95_loss,ordinary,0.4465,0.365,0.6285
external_validation,taec11,static,empirical_expected_shortfall95_loss,ordinary,0.560125,0.40490000000000004,0.69075
external_validation,taec11,static,maximum_drawdown,ordinary,5.349499999999999,2.4914875000000003,9.604524999999997
external_validation,taec11,static,roi_on_entry_capital,ordinary,-0.037447979195178206,-0.06677906826595019,-0.008523990934875261
external_validation,taec11,rbf,total_net_pnl,mbb,-6.0335,-8.769012499999999,-0.9638875000000019
external_validation,taec11,rbf,mean_daily_pnl,mbb,-0.09890983606557377,-0.14375430327868852,-0.01580143442622954
external_validation,taec11,rbf,daily_pnl_sd,mbb,0.262252351565509,0.20428786128666046,0.31197751849159316
external_validation,taec11,rbf,nonannualised_sharpe,mbb,-0.377155192222811,-0.6345929310506825,-0.05670716823108344
