family,model,comparison,mbb_n_dates,mbb_observed_mean,mbb_observed_total,mbb_ci95_mean_lower,mbb_ci95_mean_upper,mbb_ci95_total_lower,mbb_ci95_total_upper,mbb_p_two_sided,mbb_p_one_sided_positive,mbb_p_one_sided_negative,ordinary_n_dates,ordinary_observed_mean,ordinary_observed_total,ordinary_ci95_mean_lower,ordinary_ci95_mean_upper,ordinary_ci95_total_lower,ordinary_ci95_total_upper,ordinary_p_two_sided,ordinary_p_one_sided_positive,ordinary_p_one_sided_negative,holm_p_two_sided,holm_reject_5pct,dependence_sensitive_5pct
taec_minus_fixed_by_model,raw,TAEC - Fixed (raw),61,-0.10914754098360657,-6.658000000000001,-0.1587547131147541,-0.052836065573770505,-9.684037499999999,-3.2230000000000008,0.00019998000199980003,0.9999000099990001,0.00019998000199980003,61,-0.10914754098360657,-6.658000000000001,-0.1891581967213115,-0.03252397540983608,-11.538650000000002,-1.9839625000000007,0.0065993400659934,0.9953004699530047,0.0047995200479952005,0.0007999200079992001,True,False
taec_minus_fixed_by_model,static,TAEC - Fixed (static),61,-0.12509016393442624,-7.6305,-0.181684631147541,-0.035671926229508176,-11.082762500000001,-2.175987499999999,0.0024997500249975004,1.0,9.999000099990002e-05,61,-0.12509016393442624,-7.6305,-0.1996850409836065,-0.050983196721311505,-12.180787499999997,-3.1099750000000017,0.0010998900109989002,0.9996000399960004,0.0004999500049995,0.003999600039996,True,False
taec_minus_fixed_by_model,rbf,TAEC - Fixed (rbf),61,-0.13630327868852457,-8.314499999999999,-0.19149241803278685,-0.048286270491803285,-11.681037499999999,-2.9454625000000005,0.0010998900109989002,1.0,9.999000099990002e-05,61,-0.13630327868852457,-8.314499999999999,-0.21164159836065574,-0.061662090163934466,-12.9101375,-3.7613875000000023,0.00019998000199980003,0.9999000099990001,0.00019998000199980003,0.0032996700329967006,True,False
taec_minus_fixed_by_model,matern32,TAEC - Fixed (matern32),61,-0.1279672131147541,-7.806,-0.18447540983606556,-0.04516147540983609,-11.252999999999998,-2.7548500000000016,0.001999800019998,1.0,9.999000099990002e-05,61,-0.1279672131147541,-7.806,-0.19920491803278692,-0.05705368852459021,-12.151500000000002,-3.480275000000003,0.00039996000399960006,0.9998000199980002,0.00029997000299970003,0.003999600039996,True,False
