strategy,model,metric,stage4_observed,stage3_observed,absolute_difference,passed
fixed_settlement,matern32,total_net_pnl,2.4510000000000005,2.4510000000000005,0.0,True
fixed_settlement,matern32,daily_pnl_sd,0.20902350411669982,0.2090235041166998,2.7755575615628914e-17,True
fixed_settlement,matern32,nonannualised_sharpe,0.1922287545539348,0.1922287545539348,0.0,True
fixed_settlement,matern32,sortino,2.1126205855919884,2.1126205855919884,0.0,True
fixed_settlement,matern32,empirical_var95_loss,0.06,0.06,0.0,True
fixed_settlement,matern32,empirical_expected_shortfall95_loss,0.06774999999999998,0.0677499999999999,8.326672684688674e-17,True
fixed_settlement,matern32,maximum_drawdown,0.2539999999999998,0.2539999999999998,0.0,True
fixed_settlement,matern32,roi_on_entry_capital,4.464480874316943,4.464480874316943,0.0,True
fixed_settlement,raw,total_net_pnl,0.39700000000000096,0.3970000000000009,5.551115123125783e-17,True
fixed_settlement,raw,daily_pnl_sd,0.3290503316591966,0.3290503316591966,0.0,True
fixed_settlement,raw,nonannualised_sharpe,0.019778727128140834,0.0197787271281408,3.469446951953614e-17,True
fixed_settlement,raw,sortino,0.046539581942371705,0.0465395819423717,6.938893903907228e-18,True
fixed_settlement,raw,empirical_var95_loss,0.28,0.28,0.0,True
fixed_settlement,raw,empirical_expected_shortfall95_loss,0.33,0.33,0.0,True
fixed_settlement,raw,maximum_drawdown,2.5429999999999993,2.5429999999999997,4.440892098500626e-16,True
fixed_settlement,raw,roi_on_entry_capital,0.0522162304353546,0.0522162304353546,0.0,True
fixed_settlement,rbf,total_net_pnl,2.2810000000000006,2.2810000000000006,0.0,True
fixed_settlement,rbf,daily_pnl_sd,0.21012246656720016,0.2101224665672001,5.551115123125783e-17,True
fixed_settlement,rbf,nonannualised_sharpe,0.1779602306876208,0.1779602306876208,0.0,True
fixed_settlement,rbf,sortino,1.5283462014586047,1.528346201458605,2.220446049250313e-16,True
fixed_settlement,rbf,empirical_var95_loss,0.0699999999999999,0.0699999999999999,0.0,True
fixed_settlement,rbf,empirical_expected_shortfall95_loss,0.07899999999999993,0.0789999999999999,2.7755575615628914e-17,True
fixed_settlement,rbf,maximum_drawdown,0.33899999999999963,0.3389999999999996,5.551115123125783e-17,True
fixed_settlement,rbf,roi_on_entry_capital,3.1724617524339394,3.17246175243394,4.440892098500626e-16,True
fixed_settlement,static,total_net_pnl,2.2810000000000006,2.2810000000000006,0.0,True
fixed_settlement,static,daily_pnl_sd,0.21012246656720016,0.2101224665672001,5.551115123125783e-17,True
fixed_settlement,static,nonannualised_sharpe,0.1779602306876208,0.1779602306876208,0.0,True
fixed_settlement,static,sortino,1.5283462014586047,1.528346201458605,2.220446049250313e-16,True
fixed_settlement,static,empirical_var95_loss,0.0699999999999999,0.0699999999999999,0.0,True
fixed_settlement,static,empirical_expected_shortfall95_loss,0.07899999999999993,0.0789999999999999,2.7755575615628914e-17,True
fixed_settlement,static,maximum_drawdown,0.33899999999999963,0.3389999999999996,5.551115123125783e-17,True
fixed_settlement,static,roi_on_entry_capital,3.1724617524339394,3.17246175243394,4.440892098500626e-16,True
taec11,matern32,total_net_pnl,-5.3549999999999995,-5.355,8.881784197001252e-16,True
taec11,matern32,daily_pnl_sd,0.2545865841420883,0.2545865841420883,0.0,True
taec11,matern32,nonannualised_sharpe,-0.3448213327569003,-0.3448213327569003,0.0,True
taec11,matern32,sortino,-0.39304761853417486,-0.3930476185341748,5.551115123125783e-17,True
taec11,matern32,empirical_var95_loss,0.4085,0.4085,0.0,True
taec11,matern32,empirical_expected_shortfall95_loss,0.498,0.498,0.0,True
taec11,matern32,maximum_drawdown,5.3549999999999995,5.355,8.881784197001252e-16,True
taec11,matern32,roi_on_entry_capital,-0.03817460515481922,-0.0381746051548192,2.0816681711721685e-17,True
taec11,raw,total_net_pnl,-6.260999999999999,-6.260999999999999,0.0,True
taec11,raw,daily_pnl_sd,0.20968925682120554,0.2096892568212055,2.7755575615628914e-17,True
taec11,raw,nonannualised_sharpe,-0.48948308472384894,-0.4894830847238489,5.551115123125783e-17,True
taec11,raw,sortino,-0.5130524718657217,-0.5130524718657217,0.0,True
taec11,raw,empirical_var95_loss,0.3964999999999999,0.3964999999999999,0.0,True
taec11,raw,empirical_expected_shortfall95_loss,0.47574999999999995,0.4757499999999999,5.551115123125783e-17,True
taec11,raw,maximum_drawdown,7.068499999999999,7.068499999999999,0.0,True
taec11,raw,roi_on_entry_capital,-0.024183969670575012,-0.024183969670575,1.0408340855860843e-17,True
taec11,rbf,total_net_pnl,-6.0335,-6.0335,0.0,True
taec11,rbf,daily_pnl_sd,0.262252351565509,0.262252351565509,0.0,True
taec11,rbf,nonannualised_sharpe,-0.377155192222811,-0.377155192222811,0.0,True
taec11,rbf,sortino,-0.41676913602095994,-0.4167691360209599,5.551115123125783e-17,True
taec11,rbf,empirical_var95_loss,0.4465,0.4465,0.0,True
taec11,rbf,empirical_expected_shortfall95_loss,0.560125,0.560125,0.0,True
taec11,rbf,maximum_drawdown,6.033499999999998,6.033499999999998,0.0,True
taec11,rbf,roi_on_entry_capital,-0.04247149091932986,-0.0424714909193298,6.245004513516506e-17,True
taec11,static,total_net_pnl,-5.349499999999999,-5.349499999999999,0.0,True
taec11,static,daily_pnl_sd,0.27050097471618173,0.2705009747161817,5.551115123125783e-17,True
taec11,static,nonannualised_sharpe,-0.3242011286779635,-0.3242011286779635,0.0,True
taec11,static,sortino,-0.37296251130384284,-0.3729625113038428,5.551115123125783e-17,True
taec11,static,empirical_var95_loss,0.4465,0.4465,0.0,True
taec11,static,empirical_expected_shortfall95_loss,0.560125,0.560125,0.0,True
taec11,static,maximum_drawdown,5.349499999999999,5.349499999999999,0.0,True
taec11,static,roi_on_entry_capital,-0.037447979195178206,-0.0374479791951782,6.938893903907228e-18,True
