decision_rule,selected_threshold,best_mean_threshold,best_mean_date_net_pnl,best_mean_standard_error,one_standard_error_cutoff,selected_training_dates,selected_training_trades,selected_training_trade_frequency,selected_training_total_net_pnl,selected_training_mean_date_net_pnl,selected_training_standard_error,selected_training_return_on_capital,primary_rule_selection_score,minimum_training_trade_constraint,minimum_trade_constraint_relaxed,selected_primary_decision_rule
12h_prior,0.17,0.17,0.0083,0.016144278866304134,-0.007844278866304134,60,10,0.16666666666666666,0.49800000000000005,0.0083,0.016144278866304134,0.9920318725099603,-0.007844278866304134,10,False,False
24h_prior,0.13,0.06,0.09263636363636363,0.0481806251043442,0.04445573853201943,55,19,0.34545454545454546,2.6679999999999997,0.048509090909090904,0.03538840165270986,1.144082332761578,0.013120689256381046,10,False,False
6h_prior,0.12,0.07,0.0641551724137931,0.04312585376535761,0.021029318648435484,58,34,0.5862068965517241,1.2305,0.02121551724137931,0.03024174656563563,0.4443040259974724,-0.00902622932425632,10,False,False
event_day_open,0.12,0.09,0.09098412698412697,0.04338946495705312,0.04759466202707385,63,42,0.6666666666666666,4.494999999999999,0.07134920634920634,0.039052514689833624,1.2824536376604847,0.03229669165937272,10,False,True
