sample_period,decision_rule,selected_primary_decision_rule,frozen_threshold,transaction_cost_per_share,dates,trade_count,total_net_pnl,mean_date_net_pnl,bootstrap_mean_ci_lower,bootstrap_mean_ci_upper,bootstrap_total_ci_lower,bootstrap_total_ci_upper,bootstrap_probability_total_positive
weather_plus_market_training,12h_prior,False,0.17,0.0,60,10,0.5980000000000001,0.009966666666666669,-0.009250208333333333,0.04457520833333333,-0.5550124999999999,2.6745125,0.6336
weather_plus_market_training,12h_prior,False,0.17,0.005,60,10,0.5479999999999998,0.00913333333333333,-0.0105,0.04393395833333333,-0.63,2.6360374999999996,0.6239
weather_plus_market_training,12h_prior,False,0.17,0.01,60,10,0.49800000000000005,0.0083,-0.01157520833333333,0.042650416666666656,-0.6945124999999998,2.559024999999999,0.6262
weather_plus_market_training,12h_prior,False,0.17,0.02,60,10,0.39799999999999996,0.006633333333333333,-0.013791875,0.041833541666666654,-0.8275125,2.5100124999999998,0.6331
out_of_sample_validation,12h_prior,False,0.17,0.0,28,1,0.945,0.033749999999999995,0.0,0.10124999999999999,0.0,2.835,0.638
out_of_sample_validation,12h_prior,False,0.17,0.005,28,1,0.94,0.03357142857142857,0.0,0.10071428571428571,0.0,2.82,0.6403
out_of_sample_validation,12h_prior,False,0.17,0.01,28,1,0.9349999999999999,0.03339285714285714,0.0,0.10017857142857142,0.0,2.8049999999999997,0.6485
out_of_sample_validation,12h_prior,False,0.17,0.02,28,1,0.9249999999999999,0.033035714285714286,0.0,0.09910714285714285,0.0,2.775,0.6481
weather_plus_market_training,24h_prior,False,0.13,0.0,55,19,2.8579999999999997,0.05196363636363636,-0.01048204545454546,0.1263822727272727,-0.5765125000000003,6.951025,0.9443
weather_plus_market_training,24h_prior,False,0.13,0.005,55,19,2.763,0.050236363636363635,-0.013428181818181813,0.12364681818181815,-0.7385499999999997,6.8005749999999985,0.9308
weather_plus_market_training,24h_prior,False,0.13,0.01,55,19,2.6679999999999997,0.048509090909090904,-0.013054999999999997,0.12100090909090906,-0.7180249999999999,6.655049999999998,0.927
weather_plus_market_training,24h_prior,False,0.13,0.02,55,19,2.4779999999999998,0.04505454545454545,-0.01582045454545453,0.11813181818181809,-0.8701249999999991,6.497249999999996,0.9116
out_of_sample_validation,24h_prior,False,0.13,0.0,27,10,-0.4805,-0.017796296296296296,-0.034611111111111106,-0.005981481481481482,-0.9344999999999999,-0.1615,0.0
out_of_sample_validation,24h_prior,False,0.13,0.005,27,10,-0.5305,-0.019648148148148147,-0.03703796296296295,-0.006944444444444446,-1.0000249999999997,-0.18750000000000003,0.0
out_of_sample_validation,24h_prior,False,0.13,0.01,27,10,-0.5805,-0.021500000000000002,-0.03896342592592592,-0.008240740740740741,-1.0520125,-0.2225,0.0
out_of_sample_validation,24h_prior,False,0.13,0.02,27,10,-0.6804999999999999,-0.0252037037037037,-0.0444824074074074,-0.010296296296296296,-1.2010249999999998,-0.278,0.0
