sample_period,decision_rule,threshold,transaction_cost_per_share,dates,trade_count,trade_frequency,winning_trades,losing_trades,win_rate,total_gross_pnl,total_transaction_cost,total_net_pnl,mean_date_net_pnl,standard_deviation_date_net_pnl,standard_error_date_net_pnl,mean_trade_net_pnl,median_trade_net_pnl,total_capital_committed,return_on_committed_capital,maximum_drawdown,mean_traded_value_gap,mean_entry_price,mean_gp_probability
weather_plus_market_training,12h_prior,0.0,0.01,60,60,1.0,3,57,0.05,-1.4834999999999998,0.6000000000000001,-2.0835,-0.034725,0.17929460239826667,0.023146833638445573,-0.034725,-0.058750000000000004,5.0835,-0.40985541457657126,2.8955000000000006,0.12025668933607718,0.074725,0.19498168933607715
weather_plus_market_training,12h_prior,0.01,0.01,60,60,1.0,3,57,0.05,-1.4834999999999998,0.6000000000000001,-2.0835,-0.034725,0.17929460239826667,0.023146833638445573,-0.034725,-0.058750000000000004,5.0835,-0.40985541457657126,2.8955000000000006,0.12025668933607718,0.074725,0.19498168933607715
weather_plus_market_training,12h_prior,0.02,0.01,60,60,1.0,3,57,0.05,-1.4834999999999998,0.6000000000000001,-2.0835,-0.034725,0.17929460239826667,0.023146833638445573,-0.034725,-0.058750000000000004,5.0835,-0.40985541457657126,2.8955000000000006,0.12025668933607718,0.074725,0.19498168933607715
weather_plus_market_training,12h_prior,0.03,0.01,60,59,0.9833333333333333,3,56,0.05084745762711865,-1.3235,0.5900000000000001,-1.9135,-0.031891666666666665,0.17846195748215243,0.023039339641998415,-0.0324322033898305,-0.057,4.9135,-0.38943726467894574,2.8955000000000006,0.12186996685615144,0.07327966101694917,0.19514962787310058
weather_plus_market_training,12h_prior,0.04,0.01,60,58,0.9666666666666667,3,55,0.05172413793103448,-1.2485,0.5800000000000001,-1.8285,-0.030475,0.1783705775169459,0.023027542539217686,-0.031525862068965516,-0.056,4.8285,-0.37868903386144764,2.8105000000000007,0.12340901265309466,0.07325,0.19665901265309466
weather_plus_market_training,12h_prior,0.05,0.01,60,56,0.9333333333333333,3,53,0.05357142857142857,-1.1584999999999999,0.56,-1.7185,-0.028641666666666666,0.1783326992570173,0.023022652476888127,-0.030687500000000003,-0.056,4.7185,-0.3642047260782028,2.8105000000000007,0.126097246437329,0.07425892857142857,0.2003561750087576
weather_plus_market_training,12h_prior,0.06,0.01,60,53,0.8833333333333333,3,50,0.05660377358490566,-1.0075,0.53,-1.5375,-0.025625000000000002,0.17793068125117845,0.022970752175505146,-0.029009433962264145,-0.057,4.5375,-0.3388429752066116,2.759500000000001,0.13026966902502898,0.07561320754716981,0.20588287657219878
weather_plus_market_training,12h_prior,0.07,0.01,60,48,0.8,3,45,0.0625,-0.6925000000000001,0.48000000000000004,-1.1725,-0.01954166666666667,0.17692891638961183,0.022841424887983037,-0.024427083333333335,-0.058750000000000004,4.1725,-0.2810065907729179,2.433,0.13692609319565074,0.07692708333333333,0.21385317652898408
weather_plus_market_training,12h_prior,0.08,0.01,60,45,0.75,3,42,0.06666666666666667,-0.42000000000000026,0.45000000000000007,-0.8700000000000003,-0.014500000000000006,0.1754978390904678,0.022656673603092356,-0.019333333333333334,-0.057,3.8700000000000006,-0.22480620155038766,2.255,0.14101749435861116,0.076,0.21701749435861117
weather_plus_market_training,12h_prior,0.09,0.01,60,44,0.7333333333333333,3,41,0.06818181818181818,-0.2750000000000002,0.44000000000000006,-0.7150000000000002,-0.01191666666666667,0.17453277014104643,0.02253208373745733,-0.01625,-0.056,3.7150000000000003,-0.19246298788694485,2.255,0.14225964092655097,0.07443181818181818,0.2166914591083691
weather_plus_market_training,12h_prior,0.1,0.01,60,40,0.6666666666666666,3,37,0.075,-0.05250000000000021,0.4,-0.45250000000000024,-0.0075416666666666705,0.17383223676737297,0.02244164526780067,-0.011312500000000008,-0.056,3.4525,-0.13106444605358442,2.1424999999999996,0.1471060081089603,0.0763125,0.2234185081089603
weather_plus_market_training,12h_prior,0.11,0.01,60,35,0.5833333333333334,3,32,0.08571428571428572,0.2599999999999998,0.35,-0.09000000000000011,-0.0015000000000000018,0.1723324044604457,0.0222480177495729,-0.002571428571428576,-0.057,3.0900000000000003,-0.029126213592233042,1.78,0.15316546939566733,0.07828571428571428,0.23145118368138162
weather_plus_market_training,12h_prior,0.12,0.01,60,31,0.5166666666666667,3,28,0.0967741935483871,0.4999999999999997,0.31000000000000005,0.18999999999999984,0.003166666666666664,0.1710895708187318,0.022087568616357422,0.006129032258064511,-0.057,2.81,0.06761565836298926,1.5,0.15774221135136518,0.08064516129032256,0.2383873726416878
weather_plus_market_training,12h_prior,0.13,0.01,60,23,0.38333333333333336,2,21,0.08695652173913043,0.16850000000000004,0.23000000000000004,-0.06150000000000004,-0.0010250000000000007,0.13336703608298162,0.017217610322747715,-0.002673913043478275,-0.0455,2.0615,-0.029832646131457696,1.1205000000000003,0.16949267712754698,0.07963043478260869,0.24912311191015576
weather_plus_market_training,12h_prior,0.14,0.01,60,19,0.31666666666666665,2,17,0.10526315789473684,0.39949999999999997,0.19,0.20949999999999985,0.003491666666666664,0.13196624156362632,0.017036768527916992,0.011026315789473683,-0.045000000000000005,1.7905,0.11700642278693095,0.9045,0.17638168601650075,0.08423684210526317,0.26061852812176395
weather_plus_market_training,12h_prior,0.15,0.01,60,16,0.26666666666666666,2,14,0.125,0.5840000000000001,0.16000000000000003,0.4239999999999999,0.007066666666666665,0.1304967194427152,0.01684705403787792,0.026499999999999996,-0.044750000000000005,1.576,0.2690355329949238,0.6899999999999998,0.1814432800106005,0.0885,0.26994328001060053
weather_plus_market_training,12h_prior,0.16,0.01,60,12,0.2,1,11,0.08333333333333333,0.51,0.12000000000000001,0.38999999999999996,0.0065,0.12559013239873668,0.016213616374276388,0.032499999999999994,-0.044750000000000005,0.61,0.6393442622950819,0.4840000000000001,0.19043984243440848,0.04083333333333333,0.23127317576774178
weather_plus_market_training,12h_prior,0.17,0.01,60,10,0.16666666666666666,1,9,0.1,0.5980000000000001,0.09999999999999999,0.49800000000000005,0.0083,0.12505304637144854,0.016144278866304134,0.0498,-0.044750000000000005,0.502,0.9920318725099603,0.37600000000000006,0.19559696820273273,0.0402,0.23579696820273272
weather_plus_market_training,12h_prior,0.18,0.01,60,6,0.1,1,5,0.16666666666666666,0.7765,0.06,0.7165,0.011941666666666666,0.12386012790769571,0.0159902737548542,0.11941666666666666,-0.035,0.2835,2.5273368606701943,0.2325,0.2103075535839379,0.03725,0.2475575535839379
weather_plus_market_training,12h_prior,0.19,0.01,60,5,0.08333333333333333,1,4,0.2,0.8424999999999999,0.05,0.7925,0.013208333333333332,0.12333303032868564,0.015922225750009792,0.1585,-0.025500000000000002,0.20750000000000002,3.8192771084337345,0.1565,0.2153683605033115,0.0315,0.2468683605033115
weather_plus_market_training,12h_prior,0.2,0.01,60,2,0.03333333333333333,0,2,0.0,-0.0895,0.02,-0.10950000000000001,-0.0018250000000000002,0.010088937136407029,0.0013024761836745989,-0.05475000000000001,-0.05475000000000001,0.10950000000000001,-1.0,0.10950000000000001,0.2457609075313546,0.04475,0.29051090753135456
weather_plus_market_training,12h_prior,0.21,0.01,60,2,0.03333333333333333,0,2,0.0,-0.0895,0.02,-0.10950000000000001,-0.0018250000000000002,0.010088937136407029,0.0013024761836745989,-0.05475000000000001,-0.05475000000000001,0.10950000000000001,-1.0,0.10950000000000001,0.2457609075313546,0.04475,0.29051090753135456
weather_plus_market_training,12h_prior,0.22,0.01,60,2,0.03333333333333333,0,2,0.0,-0.0895,0.02,-0.10950000000000001,-0.0018250000000000002,0.010088937136407029,0.0013024761836745989,-0.05475000000000001,-0.05475000000000001,0.10950000000000001,-1.0,0.10950000000000001,0.2457609075313546,0.04475,0.29051090753135456
weather_plus_market_training,12h_prior,0.23,0.01,60,1,0.016666666666666666,0,1,0.0,-0.055,0.01,-0.065,-0.0010833333333333333,0.008391463916782747,0.0010833333333333346,-0.065,-0.065,0.065,-1.0,0.065,0.2693353084127802,0.055,0.3243353084127802
weather_plus_market_training,12h_prior,0.24,0.01,60,1,0.016666666666666666,0,1,0.0,-0.055,0.01,-0.065,-0.0010833333333333333,0.008391463916782747,0.0010833333333333346,-0.065,-0.065,0.065,-1.0,0.065,0.2693353084127802,0.055,0.3243353084127802
weather_plus_market_training,12h_prior,0.25,0.01,60,1,0.016666666666666666,0,1,0.0,-0.055,0.01,-0.065,-0.0010833333333333333,0.008391463916782747,0.0010833333333333346,-0.065,-0.065,0.065,-1.0,0.065,0.2693353084127802,0.055,0.3243353084127802
weather_plus_market_training,24h_prior,0.0,0.01,55,55,1.0,11,44,0.2,4.634999999999999,0.55,4.085000000000001,0.07427272727272728,0.36517638835608557,0.049240374160899276,0.07427272727272728,-0.065,6.914999999999999,0.5907447577729575,1.347999999999999,0.11327496529599301,0.11572727272727275,0.22900223802326575
weather_plus_market_training,24h_prior,0.01,0.01,55,55,1.0,11,44,0.2,4.634999999999999,0.55,4.085000000000001,0.07427272727272728,0.36517638835608557,0.049240374160899276,0.07427272727272728,-0.065,6.914999999999999,0.5907447577729575,1.347999999999999,0.11327496529599301,0.11572727272727275,0.22900223802326575
weather_plus_market_training,24h_prior,0.02,0.01,55,53,0.9636363636363636,11,42,0.20754716981132076,4.834999999999999,0.5300000000000001,4.305000000000001,0.07827272727272729,0.36345932853853613,0.04900884586233267,0.08122641509433962,-0.065,6.694999999999999,0.6430171769977596,1.347999999999999,0.11694412762163238,0.11632075471698115,0.23326488233861356
weather_plus_market_training,24h_prior,0.03,0.01,55,52,0.9454545454545454,11,41,0.21153846153846154,4.914999999999999,0.5200000000000001,4.3950000000000005,0.07990909090909092,0.3628898553804545,0.04893205811736164,0.08451923076923076,-0.061,6.6049999999999995,0.6654049962149887,1.2579999999999991,0.11879851391594119,0.11701923076923079,0.235817744685172
weather_plus_market_training,24h_prior,0.04,0.01,55,52,0.9454545454545454,11,41,0.21153846153846154,4.914999999999999,0.5200000000000001,4.3950000000000005,0.07990909090909092,0.3628898553804545,0.04893205811736164,0.08451923076923076,-0.061,6.6049999999999995,0.6654049962149887,1.2579999999999991,0.11879851391594119,0.11701923076923079,0.235817744685172
weather_plus_market_training,24h_prior,0.05,0.01,55,51,0.9272727272727272,11,40,0.21568627450980393,5.004999999999999,0.5100000000000001,4.495,0.08172727272727273,0.3622216660465458,0.04884195948595752,0.08813725490196077,-0.057,6.505,0.6910069177555727,1.2579999999999991,0.12021982403485688,0.11754901960784316,0.23776884364270004
weather_plus_market_training,24h_prior,0.06,0.01,55,46,0.8363636363636363,11,35,0.2391304347826087,5.554999999999999,0.4600000000000001,5.095,0.09263636363636363,0.3573170790061608,0.0481806251043442,0.11076086956521738,-0.052750000000000005,5.905,0.8628281117696867,0.968,0.12737214308774708,0.11836956521739135,0.2457417083051384
weather_plus_market_training,24h_prior,0.07,0.01,55,45,0.8181818181818182,10,35,0.2222222222222222,4.629999999999999,0.45000000000000007,4.18,0.076,0.3391589270206193,0.04573218039009646,0.09288888888888888,-0.055,5.82,0.7182130584192439,0.968,0.12871794583713764,0.11933333333333336,0.248051279170471
