empirical_period,model,threshold,positions,active_dates,yes_positions,no_positions,target_hits,gross_pre_cost_pnl,total_cost,net_pnl,is_frozen_baseline_threshold,diagnostic_only_no_reselection
market_development,static,0.1,179,80,68,111,29,4.178,3.58,0.5979999999999994,False,True
external_validation,static,0.1,134,54,48,86,17,3.3689999999999998,2.68,0.6889999999999998,False,True
market_development,rbf,0.1,189,81,71,118,28,3.0819999999999994,3.7800000000000002,-0.6980000000000003,False,True
external_validation,rbf,0.1,134,55,48,86,16,3.3089999999999993,2.68,0.6289999999999996,False,True
market_development,matern32,0.1,191,81,73,118,29,3.5394999999999994,3.8200000000000003,-0.28050000000000064,False,True
external_validation,matern32,0.1,134,55,48,86,17,3.306,2.68,0.6259999999999996,False,True
market_development,raw,0.15,319,90,90,229,0,-2.835,6.38,-9.215,False,True
external_validation,raw,0.15,215,61,61,154,0,1.1684999999999992,4.3,-3.1315,False,True
market_development,static,0.15,67,49,15,52,11,2.9295,1.34,1.5895000000000001,False,True
external_validation,static,0.15,64,36,19,45,5,1.6039999999999999,1.28,0.3239999999999996,False,True
market_development,rbf,0.15,73,51,17,56,11,3.171,1.46,1.7110000000000003,False,True
external_validation,rbf,0.15,69,40,19,50,6,1.8089999999999997,1.3800000000000001,0.4289999999999997,False,True
market_development,matern32,0.15,76,52,17,59,12,3.0444999999999998,1.52,1.5244999999999997,False,True
external_validation,matern32,0.15,63,40,14,49,5,1.731,1.26,0.47099999999999975,False,True
