month,strategy,model,dates,active_dates,positions,total_net_pnl,mean_daily_pnl,nonannualised_sharpe,entry_capital
2026-07,fixed_settlement,matern32,31,8,8,1.6450000000000002,0.05306451612903226,0.22087255404380013,0.3549999999999997
2026-07,fixed_settlement,raw,31,31,31,-0.3104999999999995,-0.010016129032258049,-0.03295860513174545,3.310499999999999
2026-07,fixed_settlement,rbf,31,9,9,1.5600000000000005,0.050322580645161305,0.20849786395183412,0.4399999999999996
2026-07,fixed_settlement,static,31,9,9,1.5600000000000005,0.050322580645161305,0.20849786395183412,0.4399999999999996
2026-07,taec11,matern32,31,31,197,-2.9075000000000006,-0.09379032258064518,-0.33375966080220076,73.14049999999999
2026-07,taec11,raw,31,31,186,-2.997,-0.0966774193548387,-0.4746216303767184,130.8265
2026-07,taec11,rbf,31,31,200,-3.4225000000000003,-0.11040322580645162,-0.37499643369254837,75.0905
2026-07,taec11,static,31,31,197,-3.0810000000000004,-0.09938709677419356,-0.3282390943073168,75.40599999999999
2026-08,fixed_settlement,matern32,30,4,4,0.8059999999999999,0.026866666666666664,0.15428427445323456,0.194
2026-08,fixed_settlement,raw,30,30,30,0.7075000000000002,0.02358333333333334,0.06594785617041783,4.2924999999999995
2026-08,fixed_settlement,rbf,30,5,5,0.7210000000000001,0.024033333333333337,0.13711597528323213,0.2789999999999999
2026-08,fixed_settlement,static,30,5,5,0.7210000000000001,0.024033333333333337,0.13711597528323213,0.2789999999999999
2026-08,taec11,matern32,30,30,186,-2.4475,-0.08158333333333333,-0.3566375552411026,67.13600000000001
2026-08,taec11,raw,30,30,179,-3.264,-0.1088,-0.4967443165825652,128.064
2026-08,taec11,rbf,30,30,187,-2.6109999999999998,-0.08703333333333332,-0.38041860863420107,66.96950000000001
2026-08,taec11,static,30,30,183,-2.2684999999999995,-0.07561666666666665,-0.31883256735991367,67.44550000000001
