strategy,model,baseline_total_pnl,min_remaining_total_pnl,max_remaining_total_pnl,mean_remaining_total_pnl,baseline_sign_preserved_all_windows
fixed_settlement,matern32,2.4510000000000005,1.4720000000000004,2.6205000000000003,2.1390545454545458,True
fixed_settlement,raw,0.39700000000000096,-2.042999999999999,1.552000000000001,0.44379090909091,False
fixed_settlement,rbf,2.2810000000000006,1.3020000000000005,2.4505000000000003,1.9906909090909095,True
fixed_settlement,static,2.2810000000000006,1.3020000000000005,2.4505000000000003,1.9906909090909095,True
taec11,matern32,-5.3549999999999995,-6.525499999999999,-3.7549999999999994,-4.833309090909091,True
taec11,raw,-6.260999999999999,-6.5569999999999995,-4.5555,-5.508645454545453,True
taec11,rbf,-6.0335,-7.254,-4.3085,-5.453927272727272,True
taec11,static,-5.349499999999999,-6.674999999999999,-3.6245,-4.849663636363636,True
