empirical_period,strategy,model,cost_per_position,positions,gross_pre_cost_pnl,total_cost,net_pnl,is_frozen_baseline_cost
external_validation,fixed_settlement,rbf,0.05,14,2.421,0.7000000000000001,1.7209999999999996,False
external_validation,fixed_settlement,static,0.0,14,2.421,0.0,2.421,False
external_validation,fixed_settlement,static,0.0025,14,2.421,0.035,2.3859999999999997,False
external_validation,fixed_settlement,static,0.005,14,2.421,0.07,2.351,False
external_validation,fixed_settlement,static,0.0075,14,2.421,0.105,2.316,False
external_validation,fixed_settlement,static,0.01,14,2.421,0.14,2.2809999999999997,True
external_validation,fixed_settlement,static,0.015,14,2.421,0.21,2.211,False
external_validation,fixed_settlement,static,0.02,14,2.421,0.28,2.141,False
external_validation,fixed_settlement,static,0.025,14,2.421,0.35000000000000003,2.0709999999999997,False
external_validation,fixed_settlement,static,0.03,14,2.421,0.42,2.001,False
external_validation,fixed_settlement,static,0.04,14,2.421,0.56,1.8609999999999998,False
external_validation,fixed_settlement,static,0.05,14,2.421,0.7000000000000001,1.7209999999999996,False
market_development,fixed_settlement,matern32,0.0,15,2.6215,0.0,2.6215,False
market_development,fixed_settlement,matern32,0.0025,15,2.6215,0.0375,2.584,False
market_development,fixed_settlement,matern32,0.005,15,2.6215,0.075,2.5465,False
market_development,fixed_settlement,matern32,0.0075,15,2.6215,0.11249999999999999,2.5090000000000003,False
market_development,fixed_settlement,matern32,0.01,15,2.6215,0.15,2.4715000000000003,True
market_development,fixed_settlement,matern32,0.015,15,2.6215,0.22499999999999998,2.3965,False
market_development,fixed_settlement,matern32,0.02,15,2.6215,0.3,2.3215000000000003,False
market_development,fixed_settlement,matern32,0.025,15,2.6215,0.375,2.2465,False
market_development,fixed_settlement,matern32,0.03,15,2.6215,0.44999999999999996,2.1715,False
market_development,fixed_settlement,matern32,0.04,15,2.6215,0.6,2.0215,False
market_development,fixed_settlement,matern32,0.05,15,2.6215,0.75,1.8715000000000002,False
market_development,fixed_settlement,raw,0.0,90,-7.3065,0.0,-7.3065,False
market_development,fixed_settlement,raw,0.0025,90,-7.3065,0.225,-7.531499999999999,False
market_development,fixed_settlement,raw,0.005,90,-7.3065,0.45,-7.7565,False
market_development,fixed_settlement,raw,0.0075,90,-7.3065,0.6749999999999999,-7.9815,False
market_development,fixed_settlement,raw,0.01,90,-7.3065,0.9,-8.2065,True
market_development,fixed_settlement,raw,0.015,90,-7.3065,1.3499999999999999,-8.6565,False
market_development,fixed_settlement,raw,0.02,90,-7.3065,1.8,-9.1065,False
market_development,fixed_settlement,raw,0.025,90,-7.3065,2.25,-9.5565,False
market_development,fixed_settlement,raw,0.03,90,-7.3065,2.6999999999999997,-10.006499999999999,False
market_development,fixed_settlement,raw,0.04,90,-7.3065,3.6,-10.9065,False
market_development,fixed_settlement,raw,0.05,90,-7.3065,4.5,-11.8065,False
market_development,fixed_settlement,rbf,0.0,15,2.6410000000000005,0.0,2.6410000000000005,False
market_development,fixed_settlement,rbf,0.0025,15,2.6410000000000005,0.0375,2.6035000000000004,False
market_development,fixed_settlement,rbf,0.005,15,2.6410000000000005,0.075,2.5660000000000003,False
market_development,fixed_settlement,rbf,0.0075,15,2.6410000000000005,0.11249999999999999,2.5285000000000006,False
market_development,fixed_settlement,rbf,0.01,15,2.6410000000000005,0.15,2.4910000000000005,True
market_development,fixed_settlement,rbf,0.015,15,2.6410000000000005,0.22499999999999998,2.4160000000000004,False
market_development,fixed_settlement,rbf,0.02,15,2.6410000000000005,0.3,2.3410000000000006,False
market_development,fixed_settlement,rbf,0.025,15,2.6410000000000005,0.375,2.2660000000000005,False
market_development,fixed_settlement,rbf,0.03,15,2.6410000000000005,0.44999999999999996,2.1910000000000007,False
market_development,fixed_settlement,rbf,0.04,15,2.6410000000000005,0.6,2.0410000000000004,False
market_development,fixed_settlement,rbf,0.05,15,2.6410000000000005,0.75,1.8910000000000005,False
market_development,fixed_settlement,static,0.0,14,2.1460000000000004,0.0,2.1460000000000004,False
market_development,fixed_settlement,static,0.0025,14,2.1460000000000004,0.035,2.111,False
market_development,fixed_settlement,static,0.005,14,2.1460000000000004,0.07,2.0760000000000005,False
market_development,fixed_settlement,static,0.0075,14,2.1460000000000004,0.105,2.0410000000000004,False
market_development,fixed_settlement,static,0.01,14,2.1460000000000004,0.14,2.0060000000000002,True
market_development,fixed_settlement,static,0.015,14,2.1460000000000004,0.21,1.9360000000000004,False
market_development,fixed_settlement,static,0.02,14,2.1460000000000004,0.28,1.8660000000000003,False
market_development,fixed_settlement,static,0.025,14,2.1460000000000004,0.35000000000000003,1.7960000000000003,False
market_development,fixed_settlement,static,0.03,14,2.1460000000000004,0.42,1.7260000000000004,False
market_development,fixed_settlement,static,0.04,14,2.1460000000000004,0.56,1.5860000000000003,False
market_development,fixed_settlement,static,0.05,14,2.1460000000000004,0.7000000000000001,1.4460000000000002,False
external_validation,taec11,matern32,0.0,383,2.3049999999999997,0.0,2.3049999999999997,False
external_validation,taec11,matern32,0.0025,383,2.3049999999999997,0.9575,1.3474999999999997,False
external_validation,taec11,matern32,0.005,383,2.3049999999999997,1.915,0.3899999999999997,False
external_validation,taec11,matern32,0.0075,383,2.3049999999999997,2.8725,-0.5675000000000003,False
external_validation,taec11,matern32,0.01,383,2.3049999999999997,3.83,-1.5250000000000004,False
