contrast,model,block_length,n_dates,observed_mean,observed_total,ci95_total_lower,ci95_total_upper,p_two_sided,reject_5pct_unadjusted,diagnostic_only_primary_block_remains_7
taec_minus_fixed,raw,3,61,-0.10914754098360657,-6.658000000000001,-10.808774999999999,-2.507225000000003,0.0021997800219978004,True,True
taec_minus_fixed,raw,5,61,-0.10914754098360657,-6.658000000000001,-10.270525,-3.0454750000000024,0.00029997000299970003,True,True
taec_minus_fixed,raw,7,61,-0.10914754098360657,-6.658000000000001,-10.02655,-3.289450000000001,0.00029997000299970003,True,True
taec_minus_fixed,raw,10,61,-0.10914754098360657,-6.658000000000001,-9.905525000000003,-3.410474999999999,9.999000099990002e-05,True,True
taec_minus_fixed,raw,14,61,-0.10914754098360657,-6.658000000000001,-9.848075000000001,-3.4679250000000006,9.999000099990002e-05,True,True
fixed_profitability,raw,3,61,0.006508196721311491,0.39700000000000096,-4.457549999999999,5.251550000000001,0.8769123087691231,False,True
fixed_profitability,raw,5,61,0.006508196721311491,0.39700000000000096,-4.179525000000001,4.973525000000002,0.8758124187581242,False,True
fixed_profitability,raw,7,61,0.006508196721311491,0.39700000000000096,-3.880574999999998,4.674575,0.8726127387261274,False,True
fixed_profitability,raw,10,61,0.006508196721311491,0.39700000000000096,-3.8170249999999992,4.611025000000001,0.8723127687231277,False,True
fixed_profitability,raw,14,61,0.006508196721311491,0.39700000000000096,-3.553599999999998,4.3476,0.8517148285171483,False,True
precost_convergence,raw,3,61,0.01703278688524591,1.0390000000000004,-2.5996749999999955,4.677674999999996,0.581941805819418,False,True
precost_convergence,raw,5,61,0.01703278688524591,1.0390000000000004,-2.535524999999998,4.613524999999999,0.5928407159284071,False,True
precost_convergence,raw,7,61,0.01703278688524591,1.0390000000000004,-2.249549999999999,4.32755,0.5529447055294471,False,True
precost_convergence,raw,10,61,0.01703278688524591,1.0390000000000004,-1.984025,4.062025,0.5187481251874813,False,True
precost_convergence,raw,14,61,0.01703278688524591,1.0390000000000004,-1.9205250000000011,3.9985250000000017,0.49525047495250474,False,True
taec_minus_fixed,static,3,61,-0.12509016393442624,-7.6305,-12.501525,-2.7594750000000015,0.0045995400459954,True,True
taec_minus_fixed,static,5,61,-0.12509016393442624,-7.6305,-12.529575,-2.731425000000001,0.0036996300369963003,True,True
taec_minus_fixed,static,7,61,-0.12509016393442624,-7.6305,-12.41805,-2.84295,0.0030996900309969004,True,True
taec_minus_fixed,static,10,61,-0.12509016393442624,-7.6305,-11.884074999999998,-3.3769250000000013,0.00019998000199980003,True,True
taec_minus_fixed,static,14,61,-0.12509016393442624,-7.6305,-11.535674999999998,-3.725325000000003,9.999000099990002e-05,True,True
fixed_profitability,static,3,61,0.03739344262295083,2.2810000000000006,-0.5535499999999993,5.115550000000001,0.11438856114388561,False,True
fixed_profitability,static,5,61,0.03739344262295083,2.2810000000000006,-0.4480499999999977,5.010049999999999,0.09879012098790121,False,True
fixed_profitability,static,7,61,0.03739344262295083,2.2810000000000006,-0.39702499999999863,4.9590250000000005,0.08489151084891511,False,True
fixed_profitability,static,10,61,0.03739344262295083,2.2810000000000006,0.2799500000000009,4.28205,0.038696130386961305,True,True
fixed_profitability,static,14,61,0.03739344262295083,2.2810000000000006,0.41600000000000054,4.146000000000001,0.007599240075992401,True,True
precost_convergence,static,3,61,0.03689344262295082,2.2505,-2.6391499999999963,7.140149999999997,0.3635636436356364,False,True
precost_convergence,static,5,61,0.03689344262295082,2.2505,-2.7415499999999984,7.242549999999999,0.36646335366463356,False,True
precost_convergence,static,7,61,0.03689344262295082,2.2505,-2.626999999999999,7.127999999999999,0.35536446355364465,False,True
precost_convergence,static,10,61,0.03689344262295082,2.2505,-1.6775249999999966,6.178524999999996,0.27007299270072993,False,True
precost_convergence,static,14,61,0.03689344262295082,2.2505,-1.3019999999999987,5.802999999999999,0.2390760923907609,False,True
taec_minus_fixed,rbf,3,61,-0.13630327868852457,-8.314499999999999,-13.128574999999996,-3.500425000000001,0.0013998600139986002,True,True
taec_minus_fixed,rbf,5,61,-0.13630327868852457,-8.314499999999999,-13.051499999999995,-3.5775000000000015,0.0016998300169983002,True,True
taec_minus_fixed,rbf,7,61,-0.13630327868852457,-8.314499999999999,-12.989499999999996,-3.639500000000001,0.0014998500149985001,True,True
taec_minus_fixed,rbf,10,61,-0.13630327868852457,-8.314499999999999,-12.563574999999997,-4.065425000000002,0.00029997000299970003,True,True
taec_minus_fixed,rbf,14,61,-0.13630327868852457,-8.314499999999999,-12.25805,-4.370949999999996,0.00019998000199980003,True,True
fixed_profitability,rbf,3,61,0.03739344262295083,2.2810000000000006,-0.5864999999999984,5.148499999999999,0.11818818118188182,False,True
fixed_profitability,rbf,5,61,0.03739344262295083,2.2810000000000006,-0.4590249999999994,5.021025000000001,0.0964903509649035,False,True
fixed_profitability,rbf,7,61,0.03739344262295083,2.2810000000000006,-0.36802499999999905,4.9300250000000005,0.0790920907909209,False,True
fixed_profitability,rbf,10,61,0.03739344262295083,2.2810000000000006,0.27997500000000164,4.282024999999999,0.039896010398960104,True,True
fixed_profitability,rbf,14,61,0.03739344262295083,2.2810000000000006,0.4274750000000013,4.134525,0.006399360063993601,True,True
precost_convergence,rbf,3,61,0.027975409836065578,1.7065000000000001,-2.993499999999998,6.406499999999998,0.4694530546945305,False,True
precost_convergence,rbf,5,61,0.027975409836065578,1.7065000000000001,-3.0585999999999975,6.471599999999999,0.4747525247475253,False,True
precost_convergence,rbf,7,61,0.027975409836065578,1.7065000000000001,-2.8991499999999952,6.3121499999999955,0.45535446455354467,False,True
precost_convergence,rbf,10,61,0.027975409836065578,1.7065000000000001,-1.9275499999999977,5.340549999999998,0.3635636436356364,False,True
precost_convergence,rbf,14,61,0.027975409836065578,1.7065000000000001,-1.661549999999996,5.074549999999996,0.35866413358664134,False,True
taec_minus_fixed,matern32,3,61,-0.1279672131147541,-7.806,-12.454574999999998,-3.1574250000000004,0.001999800019998,True,True
