contrast,model,block_length,n_dates,observed_mean,observed_total,ci95_total_lower,ci95_total_upper,p_two_sided,reject_5pct_unadjusted,diagnostic_only_primary_block_remains_7
taec_minus_fixed,matern32,5,61,-0.1279672131147541,-7.806,-12.365024999999997,-3.2469750000000004,0.0015998400159984002,True,True
taec_minus_fixed,matern32,7,61,-0.1279672131147541,-7.806,-12.180649999999996,-3.4313500000000023,0.0010998900109989002,True,True
taec_minus_fixed,matern32,10,61,-0.1279672131147541,-7.806,-11.78205,-3.8299499999999993,0.00029997000299970003,True,True
taec_minus_fixed,matern32,14,61,-0.1279672131147541,-7.806,-11.3481,-4.2639,0.00019998000199980003,True,True
fixed_profitability,matern32,3,61,0.040180327868852464,2.4510000000000005,-0.4210499999999978,5.3230499999999985,0.11238876112388761,False,True
fixed_profitability,matern32,5,61,0.040180327868852464,2.4510000000000005,-0.31302499999999944,5.215025000000001,0.09569043095690431,False,True
fixed_profitability,matern32,7,61,0.040180327868852464,2.4510000000000005,-0.24004999999999954,5.14205,0.0821917808219178,False,True
fixed_profitability,matern32,10,61,0.040180327868852464,2.4510000000000005,0.4669000000000018,4.4350999999999985,0.0357964203579642,True,True
fixed_profitability,matern32,14,61,0.040180327868852464,2.4510000000000005,0.5790000000000006,4.3229999999999995,0.007399260073992601,True,True
precost_convergence,matern32,3,61,0.03778688524590164,2.305,-2.2780250000000013,6.888025000000001,0.31496850314968505,False,True
precost_convergence,matern32,5,61,0.03778688524590164,2.305,-2.343624999999997,6.953624999999997,0.31986801319868013,False,True
precost_convergence,matern32,7,61,0.03778688524590164,2.305,-2.2191499999999973,6.829149999999998,0.3127687231276872,False,True
precost_convergence,matern32,10,61,0.03778688524590164,2.305,-1.3085249999999984,5.918524999999998,0.2104789521047895,False,True
precost_convergence,matern32,14,61,0.03778688524590164,2.305,-0.849524999999998,5.4595249999999975,0.16998300169983002,False,True
