strategy,model,dates,baseline_total_pnl,gross_profit,top1_winner_pnl,top1_winner_share_of_gross_profit,top3_winners_pnl,top3_winner_share_of_gross_profit,pnl_after_removing_top1_winner,pnl_after_removing_top3_winners,pnl_after_removing_worst_day,leave_one_date_out_min_total,leave_one_date_out_max_total,absolute_pnl_hhi,effective_number_of_abs_pnl_dates
fixed_settlement,matern32,61,2.4510000000000005,2.844,0.979,0.34423347398030946,2.844,1.0,1.4720000000000004,-0.39299999999999935,2.5270000000000006,1.4720000000000004,2.5270000000000006,0.2595808008059424,3.8523650319870173
fixed_settlement,raw,61,0.39700000000000096,6.485,0.93,0.14340786430223593,2.665,0.41094834232845023,-0.532999999999999,-2.267999999999999,0.7620000000000009,-0.532999999999999,0.7620000000000009,0.04111220568120148,24.323676714267098
fixed_settlement,rbf,61,2.2810000000000006,2.844,0.979,0.34423347398030946,2.844,1.0,1.3020000000000005,-0.5629999999999993,2.3660000000000005,1.3020000000000005,2.3660000000000005,0.23556721089688368,4.245072971712249
fixed_settlement,static,61,2.2810000000000006,2.844,0.979,0.34423347398030946,2.844,1.0,1.3020000000000005,-0.5629999999999993,2.3660000000000005,1.3020000000000005,2.3660000000000005,0.23556721089688368,4.245072971712249
taec11,matern32,61,-5.3549999999999995,4.2395,0.6605,0.15579667413610096,1.363,0.32150017690765426,-6.015499999999999,-6.718,-4.7265,-6.015499999999999,-4.7265,0.022776510673898732,43.90488140687735
taec11,raw,61,-6.260999999999999,3.1024999999999996,0.3789999999999999,0.12215954875100724,1.0484999999999998,0.3379532634971797,-6.639999999999999,-7.309499999999999,-5.670999999999999,-6.639999999999999,-5.670999999999999,0.021111812063997783,47.36684832967567
taec11,rbf,61,-6.0335,4.069499999999999,0.6605,0.1623049514682394,1.4179999999999997,0.3484457550067576,-6.694,-7.451499999999999,-5.322,-6.694,-5.322,0.023515662560702727,42.52484902003614
taec11,static,61,-5.349499999999999,4.527499999999999,0.6605,0.14588625069022643,1.4415,0.318387631143015,-6.009999999999999,-6.790999999999999,-4.637999999999999,-6.009999999999999,-4.637999999999999,0.023419871529694027,42.69878247334112
