probability_source,month,settled_dates,trade_count,total_net_pnl,mean_daily_pnl,sample_sharpe,maximum_drawdown
raw,2026-07,31,31,-0.3105000000,-0.0100161290,-0.0329586051,1.3580000000
raw,2026-08,30,30,0.7075000000,0.0235833333,0.0659478562,2.1600000000
selected_gp,2026-07,31,8,1.6450000000,0.0530645161,0.2208725540,0.2540000000
selected_gp,2026-08,30,4,0.8060000000,0.0268666667,0.1542842745,0.1390000000
static,2026-07,31,9,1.5600000000,0.0503225806,0.2084978640,0.3390000000
static,2026-08,30,5,0.7210000000,0.0240333333,0.1371159753,0.2240000000
