event_date,market_id,decision_rule,p_market,decision_cutoff_utc,selected_price_timestamp_utc,price_staleness_hours,source_cutoff_column,source_price_timestamp_column,condition_id,event_id,event_slug,market_slug,question,canonical_label,event_type,contract_event_type,lower_bound_c,upper_bound_c,bound_reference_c,bound_reconstruction_applied,bound_reference_source,source_lower_bound_column,source_upper_bound_column,selected_yes_token_id,no_token_id,sample_block,source_block,decision_rule_order
2026-03-18,1609283,12h_prior,0.035,2026-03-17 04:00:00+00:00,2026-03-17 03:00:39+00:00,0.9891666666666666,decision_cutoff_utc,decision_price_timestamp_utc,,,highest-temperature-in-hong-kong-on-march-18-2026,highest-temperature-in-hong-kong-on-march-18-2026-18corbelow,Will the highest temperature in Hong Kong be 18°C or below on March 18?,18°C or below,lower,lower_tail_endpoint,,19.0,18.0,True,group_item_title,event_lower_bound_C,event_upper_bound_C,110474255066493490332588316800377380653285496596456220682434262080826926516690,,march_may_baseline,march_may_baseline,1
2026-03-18,1609284,12h_prior,0.045,2026-03-17 04:00:00+00:00,2026-03-17 03:00:38+00:00,0.9894444444444443,decision_cutoff_utc,decision_price_timestamp_utc,,,highest-temperature-in-hong-kong-on-march-18-2026,highest-temperature-in-hong-kong-on-march-18-2026-19c,Will the highest temperature in Hong Kong be 19°C on March 18?,19°C,interior,interior_bin,19.0,20.0,19.0,False,group_item_title,event_lower_bound_C,event_upper_bound_C,37360368221043859735577577762103864480884668984172010078154389162590441254438,,march_may_baseline,march_may_baseline,1
2026-03-18,1609285,12h_prior,0.06,2026-03-17 04:00:00+00:00,2026-03-17 03:00:43+00:00,0.9880555555555556,decision_cutoff_utc,decision_price_timestamp_utc,,,highest-temperature-in-hong-kong-on-march-18-2026,highest-temperature-in-hong-kong-on-march-18-2026-20c,Will the highest temperature in Hong Kong be 20°C on March 18?,20°C,interior,interior_bin,20.0,21.0,20.0,False,group_item_title,event_lower_bound_C,event_upper_bound_C,22145438231607492786248212827857227280720837366678546698439731971698231574617,,march_may_baseline,march_may_baseline,1
2026-03-18,1609286,12h_prior,0.08,2026-03-17 04:00:00+00:00,2026-03-17 03:00:26+00:00,0.9927777777777778,decision_cutoff_utc,decision_price_timestamp_utc,,,highest-temperature-in-hong-kong-on-march-18-2026,highest-temperature-in-hong-kong-on-march-18-2026-21c,Will the highest temperature in Hong Kong be 21°C on March 18?,21°C,interior,interior_bin,21.0,22.0,21.0,False,group_item_title,event_lower_bound_C,event_upper_bound_C,22934479917760701215287278315472904846214466137533312331227437532354462195085,,march_may_baseline,march_may_baseline,1
2026-03-18,1609287,12h_prior,0.11,2026-03-17 04:00:00+00:00,2026-03-17 03:00:37+00:00,0.9897222222222222,decision_cutoff_utc,decision_price_timestamp_utc,,,highest-temperature-in-hong-kong-on-march-18-2026,highest-temperature-in-hong-kong-on-march-18-2026-22c,Will the highest temperature in Hong Kong be 22°C on March 18?,22°C,interior,interior_bin,22.0,23.0,22.0,False,group_item_title,event_lower_bound_C,event_upper_bound_C,14905800807098121335450400627311466522885081603036629837583273111730697417676,,march_may_baseline,march_may_baseline,1
2026-03-18,1609288,12h_prior,0.095,2026-03-17 04:00:00+00:00,2026-03-17 03:00:28+00:00,0.9922222222222222,decision_cutoff_utc,decision_price_timestamp_utc,,,highest-temperature-in-hong-kong-on-march-18-2026,highest-temperature-in-hong-kong-on-march-18-2026-23c,Will the highest temperature in Hong Kong be 23°C on March 18?,23°C,interior,interior_bin,23.0,24.0,23.0,False,group_item_title,event_lower_bound_C,event_upper_bound_C,38643976793577449599167113728084786609484981080463675275750414431860275832645,,march_may_baseline,march_may_baseline,1
2026-03-18,1609289,12h_prior,0.1,2026-03-17 04:00:00+00:00,2026-03-17 03:00:42+00:00,0.9883333333333332,decision_cutoff_utc,decision_price_timestamp_utc,,,highest-temperature-in-hong-kong-on-march-18-2026,highest-temperature-in-hong-kong-on-march-18-2026-24c,Will the highest temperature in Hong Kong be 24°C on March 18?,24°C,interior,interior_bin,24.0,25.0,24.0,False,group_item_title,event_lower_bound_C,event_upper_bound_C,55799776111437449950755224612061328454593820669968373633248129469898230341057,,march_may_baseline,march_may_baseline,1
2026-03-18,1609290,12h_prior,0.205,2026-03-17 04:00:00+00:00,2026-03-17 03:00:28+00:00,0.9922222222222222,decision_cutoff_utc,decision_price_timestamp_utc,,,highest-temperature-in-hong-kong-on-march-18-2026,highest-temperature-in-hong-kong-on-march-18-2026-25c,Will the highest temperature in Hong Kong be 25°C on March 18?,25°C,interior,interior_bin,25.0,26.0,25.0,False,group_item_title,event_lower_bound_C,event_upper_bound_C,49564577024420605914456724618800305233138629860131859992441195347379033049612,,march_may_baseline,march_may_baseline,1
2026-03-18,1609291,12h_prior,0.22,2026-03-17 04:00:00+00:00,2026-03-17 03:00:27+00:00,0.9925,decision_cutoff_utc,decision_price_timestamp_utc,,,highest-temperature-in-hong-kong-on-march-18-2026,highest-temperature-in-hong-kong-on-march-18-2026-26c,Will the highest temperature in Hong Kong be 26°C on March 18?,26°C,interior,interior_bin,26.0,27.0,26.0,False,group_item_title,event_lower_bound_C,event_upper_bound_C,12656638109055951261831148616722371673366233304846545884747086856267391003970,,march_may_baseline,march_may_baseline,1
2026-03-18,1609292,12h_prior,0.225,2026-03-17 04:00:00+00:00,2026-03-17 03:00:41+00:00,0.9886111111111112,decision_cutoff_utc,decision_price_timestamp_utc,,,highest-temperature-in-hong-kong-on-march-18-2026,highest-temperature-in-hong-kong-on-march-18-2026-27c,Will the highest temperature in Hong Kong be 27°C on March 18?,27°C,interior,interior_bin,27.0,28.0,27.0,False,group_item_title,event_lower_bound_C,event_upper_bound_C,65325550865731780765945673249095015807109286488076063591627840343472326859602,,march_may_baseline,march_may_baseline,1
