phase,relative_path,format,recommended_placement,rationale,sha256
17,outputs/v2_completion/phase17_figures/phase17_missing_support_matrix.pdf,pdf,APPENDIX_CANDIDATE,Useful diagnostic or audit figure; normally place in the appendix unless it carries a central result.,23bc34d4e1048588978a9c19ac9ef8f3d98051a9c36d01846d104a1c43771b04
17,outputs/v2_completion/phase17_figures/phase17_missing_support_matrix.png,png,APPENDIX_CANDIDATE,Useful diagnostic or audit figure; normally place in the appendix unless it carries a central result.,db531cb3248963a0defe5cc88a04f55b388821bcc2627774db23683236327a58
17,outputs/v2_completion/phase17_figures/phase17_rule_error_boxplot.pdf,pdf,APPENDIX_CANDIDATE,Useful diagnostic or audit figure; normally place in the appendix unless it carries a central result.,09cd8568c62148f6551dd2e18583a7dbfde068130640a248b7ca7602cb5a59a5
17,outputs/v2_completion/phase17_figures/phase17_rule_error_boxplot.png,png,APPENDIX_CANDIDATE,Useful diagnostic or audit figure; normally place in the appendix unless it carries a central result.,df1c25a24543e18388c5fd8f6339d218ed7555db5dbd56b336017a697cbbe14e
18,outputs/v2_completion/phase18_figures/phase18_matern_crps_rule_block_heatmap.pdf,pdf,REVIEW,Inspect for duplication and thesis relevance before inclusion.,7344c2cf0478f69a7fa5e8ead0c24b9d4a49e0ad9e7badbbfa58f56dbf947166
18,outputs/v2_completion/phase18_figures/phase18_matern_crps_rule_block_heatmap.png,png,REVIEW,Inspect for duplication and thesis relevance before inclusion.,bef719a9a8f0600d2dfa96e0406f960abbda938776526bb4979a4b6881e20232
18,outputs/v2_completion/phase18_figures/phase18_matern_length_scale_stability.pdf,pdf,MAIN_TEXT_CANDIDATE,"Potentially central to the model-comparison, calibration or model-market argument; retain only if legible and non-duplicative.",38c727663a7f31c88eb1677d3ad704f59834933d842f63e0a09dc29119dc5640
18,outputs/v2_completion/phase18_figures/phase18_matern_length_scale_stability.png,png,MAIN_TEXT_CANDIDATE,"Potentially central to the model-comparison, calibration or model-market argument; retain only if legible and non-duplicative.",5359c04b30cc8699f5888e8af90397ffa57d10e5e60a14cb67927c3c0a507d1f
18,outputs/v2_completion/phase18_figures/phase18_matern_minus_static_heatmap.pdf,pdf,REVIEW,Inspect for duplication and thesis relevance before inclusion.,3a2ecf38b22c29c0e2e67ba440ea002b1c6d323ea97a065a58d04c37b6b27953
18,outputs/v2_completion/phase18_figures/phase18_matern_minus_static_heatmap.png,png,REVIEW,Inspect for duplication and thesis relevance before inclusion.,a4a5e6404dc328f93aaa233ca1cf1b167cdd39dbdcca4404e7c396fb768d4d27
19,outputs/v2_completion/phase19_figures/phase19_central_coverage_errors.pdf,pdf,MAIN_TEXT_CANDIDATE,"Potentially central to the model-comparison, calibration or model-market argument; retain only if legible and non-duplicative.",4bfd88ceb884e794276bc8f26d61971ec59c8d4435dc96f686ddbb073cfa2589
