 M .gitignore
?? archive_manifest/
?? data/manual/
?? docs/research_outputs/18e0_hko_historical_seed_discovery_report.md
?? docs/research_outputs/18e_hko_historical_alignment_report.md
?? docs/research_outputs/18j_gamma_metadata_settlement_family_audit_report.md
?? docs/research_outputs/18j_v2_contract_event_parsing_fix_report.md
?? docs/research_outputs/18l_full_hko_contract_event_clob_price_recovery_report.md
?? notebooks/18n_june_2026_contract_event_audit.ipynb
?? notebooks/18o_june_2026_hko_realised_outcomes.ipynb
?? notebooks/18p_june_2026_clob_market_price_recovery.ipynb
?? notebooks/18q_june_2026_ecmwf_single_run_forecasts.ipynb
?? notebooks/18r_june_2026_market_weather_common_support.ipynb
?? notebooks/18sA_canonical_source_adapters.ipynb
?? notebooks/18sB_expanded_sample_freeze.ipynb
?? notebooks/18tA_hko_publication_availability.ipynb
?? notebooks/18tB_admissible_historical_information_sets.ipynb
?? notebooks/18uA_chronological_partition_and_folds.ipynb
?? notebooks/18uB_model_specific_freeze_support.ipynb
?? notebooks/18vA_residual_model_design_and_features.ipynb
?? notebooks/18vB1_baseline_gp_temporal_oof.ipynb
?? notebooks/18vB2_tree_temporal_oof.ipynb
?? notebooks/18vC_common_support_scoring_and_selection.ipynb
?? notebooks/18vD_selected_models_blind_predictions.ipynb
?? notebooks/18wA_contract_probability_mapping.ipynb
?? notebooks/18wB_development_probability_calibration.ipynb
?? notebooks/18wC_blind_calibrated_probability_release.ipynb
?? notebooks/18wD_holdout_external_probability_evaluation.ipynb
?? notebooks/18xA_development_trading_selection.ipynb
?? notebooks/18xB_blind_trading_signal_release.ipynb
?? notebooks/18xC_controlled_unblinding_trading_simulation.ipynb
?? notebooks/18xD_trading_robustness_and_figures.ipynb
?? notebooks/18yA_final_empirical_synthesis.ipynb
?? notebooks/18yB_thesis_output_freeze.ipynb
?? reports/18n_june_2026_contract_event_audit/
?? reports/18o_june_2026_hko_realised_outcomes/
?? reports/18p_june_2026_clob_market_price_recovery/
?? reports/18q_june_2026_ecmwf_single_run_forecasts/
?? reports/18r_june_2026_market_weather_common_support/
?? reports/18sA_canonical_source_adapters/
?? reports/18s_expanded_march_june_canonical_sample/
?? reports/18tA_hko_publication_availability/
?? reports/18tB_admissible_historical_information_sets/
?? reports/18uA_chronological_partition_and_folds/
?? reports/18uB_model_specific_freeze_support/
?? reports/18vA_residual_model_design_and_features/
?? reports/18vB1_baseline_gp_temporal_oof/
?? reports/18vB2_tree_temporal_oof/
?? reports/18vC_common_support_scoring_and_selection/
?? reports/18vD_selected_models_blind_predictions/
?? reports/18wA_contract_probability_mapping/
?? reports/18wB_development_probability_calibration/
?? reports/18wC_blind_calibrated_probability_release/
?? reports/18wD_holdout_external_probability_evaluation/
?? reports/18xA_development_trading_selection/
?? reports/18xB_blind_trading_signal_release/
?? reports/18xC_controlled_unblinding_trading_simulation/
?? reports/18xD_trading_robustness_and_figures/
?? reports/18yA_final_empirical_synthesis/
?? reports/18yB_thesis_output_freeze/
?? scripts/18g_polymarket_clob_price_history_repair.py
