check,passed,observed,expected,note
probability_reconstruction,True,"[{'model': 'raw', 'rows': 6996, 'max_abs_error': 0.0, 'mean_abs_error': 0.0, 'rows_error_gt_1e_8': 0, 'passed': True}, {'model': 'static', 'rows': 6996, 'max_abs_error': 9.969238976004213e-17, 'mean_abs_error': 3.793379244697087e-17, 'rows_error_gt_1e_8': 0, 'passed': True}, {'model': 'rbf', 'rows': 6996, 'max_abs_error': 9.974659986866641e-17, 'mean_abs_error': 3.85807329453323e-17, 'rows_error_gt_1e_8': 0, 'passed': True}, {'model': 'matern32', 'rows': 6996, 'max_abs_error': 9.996344030316351e-17, 'mean_abs_error': 3.896685411448968e-17, 'rows_error_gt_1e_8': 0, 'passed': True}]",all models max error <= 1e-8,
risk_rows_16,True,16,16,
external_eight_portfolios,True,8,8,
pnl_reconciliation,True,1.7763568394002505e-15,<=1e-10,
greek_delta_mass_zero,True,2.220446049250313e-16,<=1e-8,
greek_gamma_mass_zero,True,3.6914915568786455e-15,<=1e-8,
portfolio_greek_rows,True,16,16,
stress_shift_grid,True,"[-1.0, -0.5, -0.25, 0.0, 0.25, 0.5, 1.0]","[-1.0, -0.5, -0.25, 0.0, 0.25, 0.5, 1.0]",
zero_shift_reproduces_policy,True,1.7763568394002505e-15,<=1e-10,
rbf_distinct_from_static,True,0.2551941978498634,>1e-12,
