empirical_period,strategy,model,dates,active_dates,positions,total_net_pnl,gross_pre_cost_pnl,total_transaction_cost,transaction_cost_share_of_abs_gross_pre_cost_pnl,mean_daily_pnl,median_daily_pnl,gross_profit_daily,gross_loss_daily,profit_factor_daily,cumulative_entry_capital,roi_on_entry_capital,mean_capital_per_active_date,max_capital_per_date,gross_cashflow_notional,daily_pnl_sd,nonannualised_sharpe,downside_deviation,sortino,pnl_quantile_05,empirical_var95_loss,empirical_expected_shortfall95_loss,worst_daily_loss,best_daily_pnl,maximum_drawdown,drawdown_duration_dates,daily_win_rate,position_win_rate,mean_position_gain,mean_position_loss,mean_positions_per_active_date,max_positions_per_date,yes_positions,no_positions,yes_position_share,no_position_share,top1_positive_day_share_of_gross_profit,top3_positive_day_share_of_gross_profit,top1_absolute_day_share_of_absolute_pnl,largest_gross_exposure,mean_gap_closed_fraction,median_gap_closed_fraction,convergence_rate,divergence_rate,flat_move_rate,mean_signed_market_move_toward_model,target_hit_rate,forced_open_exit_rate,exit_12h_share,exit_6h_share,exit_open_share
external_validation,fixed_settlement,matern32,61,12,12,2.4510000000000005,2.5710000000000006,0.11999999999999998,0.046674445740956805,0.040180327868852464,0.0,2.844,-0.3929999999999998,7.236641221374049,0.5489999999999997,4.464480874316943,0.04574999999999998,0.08,3.429,0.20902350411669982,0.1922287545539348,0.01901918789529987,2.1126205855919884,-0.06,0.06,0.06774999999999998,-0.076,0.979,0.2539999999999998,23,0.04918032786885246,0.25,0.948,-0.043666666666666645,1.0,1,12,0,1.0,0.0,0.34423347398030946,1.0,0.30244053135619403,0.08,,,,,,,,,,,
external_validation,fixed_settlement,raw,61,61,61,0.39700000000000096,1.007000000000001,0.6100000000000001,0.6057596822244284,0.006508196721311491,-0.0699999999999999,6.485,-6.087999999999999,1.065210249671485,7.602999999999999,0.0522162304353546,0.12463934426229506,0.365,14.992999999999999,0.3290503316591966,0.019778727128140834,0.1398421827117046,0.046539581942371705,-0.28,0.28,0.33,-0.365,0.93,2.5429999999999993,34,0.13114754098360656,0.13114754098360656,0.8106249999999999,-0.11486792452830187,1.0,1,61,0,1.0,0.0,0.14340786430223593,0.41094834232845023,0.07396802672393224,0.365,,,,,,,,,,,
external_validation,fixed_settlement,rbf,61,14,14,2.2810000000000006,2.4210000000000007,0.13999999999999999,0.05782734407269721,0.03739344262295083,0.0,2.844,-0.5629999999999996,5.0515097690941415,0.7189999999999994,3.1724617524339394,0.05135714285714282,0.0849999999999999,3.5789999999999997,0.21012246656720016,0.1779602306876208,0.02446660487477492,1.5283462014586047,-0.0699999999999999,0.0699999999999999,0.07899999999999993,-0.0849999999999999,0.979,0.33899999999999963,23,0.04918032786885246,0.21428571428571427,0.948,-0.05118181818181815,1.0,1,14,0,1.0,0.0,0.34423347398030946,1.0,0.2873495744056355,0.0849999999999999,,,,,,,,,,,
external_validation,fixed_settlement,static,61,14,14,2.2810000000000006,2.4210000000000007,0.13999999999999999,0.05782734407269721,0.03739344262295083,0.0,2.844,-0.5629999999999996,5.0515097690941415,0.7189999999999994,3.1724617524339394,0.05135714285714282,0.0849999999999999,3.5789999999999997,0.21012246656720016,0.1779602306876208,0.02446660487477492,1.5283462014586047,-0.0699999999999999,0.0699999999999999,0.07899999999999993,-0.0849999999999999,0.979,0.33899999999999963,23,0.04918032786885246,0.21428571428571427,0.948,-0.05118181818181815,1.0,1,14,0,1.0,0.0,0.34423347398030946,1.0,0.2873495744056355,0.0849999999999999,,,,,,,,,,,
external_validation,taec11,matern32,61,61,383,-5.3549999999999995,2.3049999999999997,7.659999999999999,3.3232104121475055,-0.08778688524590163,-0.1134999999999999,4.2395,-9.594499999999998,0.4418677367241649,140.27650000000003,-0.03817460515481922,2.299614754098361,4.2775,275.19800000000004,0.2545865841420883,-0.3448213327569003,0.22334923583379682,-0.39304761853417486,-0.4085,0.4085,0.498,-0.6285,0.6605,5.3549999999999995,61,0.32786885245901637,0.34464751958224543,0.06658333333333329,-0.056350597609561744,6.278688524590164,9,211,172,0.5509138381201044,0.4490861618798956,0.15579667413610096,0.32150017690765426,0.047744687003035996,4.2775,0.001853449829751226,-0.0094631497746532,0.4516971279373368,0.5169712793733682,0.031331592689295036,0.006018276762402088,0.195822454308094,0.804177545691906,0.04960835509138381,0.09138381201044386,0.8590078328981723
external_validation,taec11,raw,61,61,365,-6.260999999999999,1.0389999999999997,7.299999999999999,7.025986525505295,-0.10263934426229507,-0.148,3.1024999999999996,-9.363499999999998,0.3313397767928659,258.8905,-0.024183969670575012,4.244106557377049,5.609999999999999,511.52,0.20968925682120554,-0.48948308472384894,0.2000562318490462,-0.5130524718657217,-0.3964999999999999,0.3964999999999999,0.47574999999999995,-0.59,0.3789999999999999,7.068499999999999,61,0.22950819672131148,0.4246575342465753,0.06501290322580641,-0.07779999999999997,5.983606557377049,7,61,304,0.16712328767123288,0.8328767123287671,0.12215954875100724,0.3379532634971797,0.0473287341569068,5.609999999999999,0.02984084488268426,0.0677966101694915,0.5397260273972603,0.44931506849315067,0.010958904109589041,0.0028465753424657546,0.0,1.0,0.0,0.0,1.0
external_validation,taec11,rbf,61,61,387,-6.0335,1.7064999999999984,7.739999999999998,4.535599179607387,-0.09890983606557377,-0.122,4.069499999999999,-10.102999999999998,0.40280114817380974,142.06,-0.04247149091932986,2.3288524590163933,4.2775,278.0865,0.262252351565509,-0.377155192222811,0.23732524200304372,-0.41676913602095994,-0.4465,0.4465,0.560125,-0.7115,0.6605,6.033499999999998,61,0.32786885245901637,0.330749354005168,0.06788281249999997,-0.05684362934362933,6.344262295081967,9,213,174,0.5503875968992248,0.4496124031007752,0.1623049514682394,0.3484457550067576,0.050202857646851305,4.2775,-0.06541994110809862,-0.0163177861123942,0.4418604651162791,0.524547803617571,0.03359173126614987,0.004409560723514212,0.17829457364341086,0.8217054263565892,0.041343669250646,0.09302325581395349,0.8656330749354005
external_validation,taec11,static,61,61,380,-5.349499999999999,2.2505000000000006,7.6,3.3770273272606075,-0.08769672131147539,-0.1109999999999999,4.527499999999999,-9.876999999999999,0.45838817454692715,142.8515,-0.037447979195178206,2.3418278688524587,4.2775,280.3535,0.27050097471618173,-0.3242011286779635,0.2351354858827384,-0.37296251130384284,-0.4465,0.4465,0.560125,-0.7115,0.6605,5.349499999999999,61,0.3442622950819672,0.3447368421052632,0.0683511450381679,-0.05744377510040159,6.229508196721311,9,206,174,0.5421052631578948,0.45789473684210524,0.14588625069022643,0.318387631143015,0.049394286507688574,4.2775,0.005325504234856321,-0.0082285329605963,0.45263157894736844,0.5157894736842106,0.031578947368421054,0.005922368421052632,0.18947368421052632,0.8105263157894737,0.042105263157894736,0.09736842105263158,0.8605263157894737
market_development,fixed_settlement,matern32,90,15,15,2.4715000000000003,2.6215,0.15,0.057219149341979775,0.027461111111111113,0.0,3.6515000000000004,-1.1799999999999997,3.09449152542373,1.5284999999999997,1.6169447170428528,0.10189999999999998,0.475,5.378500000000001,0.20010671630123744,0.13723233092172477,0.05753868264046371,0.4772634660877561,-0.06912499999999999,0.06912499999999999,0.18319999999999995,-0.475,0.9225,0.4750000000000001,25,0.044444444444444446,0.26666666666666666,0.912875,-0.10727272727272727,1.0,1,15,0,1.0,0.0,0.2526359030535396,0.7537998082979597,0.19093449239366656,0.475,,,,,,,,,,,
market_development,fixed_settlement,raw,90,90,90,-8.206499999999998,-7.306499999999998,0.8999999999999999,0.12317799219872719,-0.09118333333333331,-0.10999999999999995,3.948,-12.154499999999997,0.32481796865358514,13.206499999999997,-0.6213985537424753,0.14673888888888886,0.385,17.3065,0.23467882008290739,-0.3885452181032785,0.1652780065357894,-0.5516967153980552,-0.31275,0.31275,0.337,-0.385,0.9225,9.584499999999995,75,0.05555555555555555,0.05555555555555555,0.7895999999999999,-0.1429941176470588,1.0,1,90,0,1.0,0.0,0.2336626139817629,0.6732522796352584,0.057289240801117844,0.385,,,,,,,,,,,
