empirical_period,strategy,model,temperature_shift_c,positions,active_dates,total_net_pnl,total_entry_capital,baseline_total_net_pnl,baseline_positions,pnl_change_from_zero_shift,position_change_from_zero_shift
external_validation,taec11,static,0.0,380,61,-5.349500000000001,142.85150000000002,-5.349500000000001,380,0.0,0
market_development,fixed_settlement,rbf,0.0,15,15,2.4909999999999997,1.509,2.4909999999999997,15,0.0,0
external_validation,fixed_settlement,rbf,0.0,14,14,2.281,0.7190000000000001,2.281,14,0.0,0
market_development,taec11,rbf,0.0,514,90,-5.308000000000001,203.235,-5.308000000000001,514,0.0,0
external_validation,taec11,rbf,0.0,387,61,-6.0335,142.06,-6.0335,387,0.0,0
market_development,fixed_settlement,matern32,0.0,15,15,2.4715,1.5284999999999997,2.4715,15,0.0,0
external_validation,fixed_settlement,matern32,0.0,12,12,2.451,0.5489999999999999,2.451,12,0.0,0
market_development,taec11,matern32,0.0,515,90,-5.296500000000002,200.72899999999998,-5.296500000000002,515,0.0,0
external_validation,taec11,matern32,0.0,383,61,-5.355,140.2765,-5.355,383,0.0,0
market_development,fixed_settlement,raw,0.25,90,90,-4.0685,15.068499999999998,-8.2065,90,4.138,0
external_validation,fixed_settlement,raw,0.25,61,61,1.5029999999999997,8.497,0.3970000000000003,61,1.1059999999999994,0
market_development,taec11,raw,0.25,498,90,-9.502,348.02150000000006,-11.664000000000001,500,2.162000000000001,-2
external_validation,taec11,raw,0.25,365,61,-5.774,260.677,-6.261,365,0.4870000000000001,0
market_development,fixed_settlement,static,0.25,18,18,2.9439999999999995,3.056,2.0060000000000002,14,0.9379999999999993,4
external_validation,fixed_settlement,static,0.25,12,12,2.451,0.5489999999999999,2.281,14,0.16999999999999993,-2
market_development,taec11,static,0.25,489,90,-3.724,200.08300000000003,-4.216000000000001,502,0.4920000000000009,-13
external_validation,taec11,static,0.25,366,61,-5.1645,131.359,-5.349500000000001,380,0.1850000000000005,-14
market_development,fixed_settlement,rbf,0.25,16,16,3.291499999999999,2.7085,2.4909999999999997,15,0.8004999999999995,1
external_validation,fixed_settlement,rbf,0.25,11,11,2.527,0.473,2.281,14,0.246,-3
market_development,taec11,rbf,0.25,504,90,-3.998500000000001,202.053,-5.308000000000001,514,1.3094999999999999,-10
external_validation,taec11,rbf,0.25,371,61,-5.224500000000001,133.5005,-6.0335,387,0.8089999999999993,-16
market_development,fixed_settlement,matern32,0.25,14,14,2.4615,2.5385,2.4715,15,-0.009999999999999787,-1
external_validation,fixed_settlement,matern32,0.25,11,11,2.527,0.473,2.451,12,0.07600000000000007,-1
market_development,taec11,matern32,0.25,501,90,-3.592500000000001,199.84,-5.296500000000002,515,1.7040000000000006,-14
external_validation,taec11,matern32,0.25,373,61,-5.3675000000000015,132.292,-5.355,383,-0.012500000000001066,-10
market_development,fixed_settlement,raw,0.5,90,90,0.27850000000000025,19.721500000000002,-8.2065,90,8.485000000000001,0
external_validation,fixed_settlement,raw,0.5,61,61,3.935999999999999,11.063999999999998,0.3970000000000003,61,3.538999999999999,0
market_development,taec11,raw,0.5,496,90,-6.788,355.3365,-11.664000000000001,500,4.876000000000001,-4
external_validation,taec11,raw,0.5,359,61,-5.888999999999999,259.7875,-6.261,365,0.3720000000000008,-6
market_development,fixed_settlement,static,0.5,24,24,1.898,5.102,2.0060000000000002,14,-0.10800000000000032,10
external_validation,fixed_settlement,static,0.5,7,7,1.6715,0.3285,2.281,14,-0.6095000000000002,-7
market_development,taec11,static,0.5,463,90,-3.548,200.51,-4.216000000000001,502,0.668000000000001,-39
external_validation,taec11,static,0.5,365,61,-4.317500000000001,133.51999999999998,-5.349500000000001,380,1.032,-15
market_development,fixed_settlement,rbf,0.5,17,17,1.6329999999999998,3.367,2.4909999999999997,15,-0.8579999999999999,2
external_validation,fixed_settlement,rbf,0.5,7,7,1.6715,0.3285,2.281,14,-0.6095000000000002,-7
market_development,taec11,rbf,0.5,481,90,-3.731,198.45600000000002,-5.308000000000001,514,1.5770000000000008,-33
external_validation,taec11,rbf,0.5,365,61,-4.0840000000000005,129.548,-6.0335,387,1.9494999999999996,-22
market_development,fixed_settlement,matern32,0.5,16,16,1.6784999999999997,3.3215000000000003,2.4715,15,-0.7930000000000001,1
external_validation,fixed_settlement,matern32,0.5,7,7,1.6715,0.3285,2.451,12,-0.7795000000000001,-5
market_development,taec11,matern32,0.5,486,90,-3.6495000000000006,198.0485,-5.296500000000002,515,1.6470000000000011,-29
external_validation,taec11,matern32,0.5,367,61,-4.614000000000001,128.978,-5.355,383,0.7409999999999997,-16
market_development,fixed_settlement,raw,1.0,90,90,7.498,25.502,-8.2065,90,15.7045,0
external_validation,fixed_settlement,raw,1.0,61,61,3.3989999999999996,14.601,0.3970000000000003,61,3.0019999999999993,0
market_development,taec11,raw,1.0,495,90,-8.888,365.8985,-11.664000000000001,500,2.7760000000000016,-5
external_validation,taec11,raw,1.0,356,61,-6.635,263.867,-6.261,365,-0.37399999999999967,-9
market_development,fixed_settlement,static,1.0,43,43,0.742,8.258000000000001,2.0060000000000002,14,-1.2640000000000002,29
external_validation,fixed_settlement,static,1.0,10,10,-0.6695,0.6695,2.281,14,-2.9505,-4
market_development,taec11,static,1.0,466,90,-4.029000000000001,220.0845,-4.216000000000001,502,0.18700000000000028,-36
external_validation,taec11,static,1.0,380,61,-4.384000000000001,147.519,-5.349500000000001,380,0.9654999999999996,0
market_development,fixed_settlement,rbf,1.0,34,34,1.517,6.4830000000000005,2.4909999999999997,15,-0.9739999999999998,19
external_validation,fixed_settlement,rbf,1.0,8,8,-0.4475,0.4475,2.281,14,-2.7285000000000004,-6
market_development,taec11,rbf,1.0,464,90,-2.809500000000002,209.039,-5.308000000000001,514,2.4984999999999986,-50
external_validation,taec11,rbf,1.0,380,61,-4.4645,144.4435,-6.0335,387,1.569,-7
market_development,fixed_settlement,matern32,1.0,34,34,1.6769999999999998,6.323,2.4715,15,-0.7945,19
external_validation,fixed_settlement,matern32,1.0,9,9,-0.4725,0.4725,2.451,12,-2.9235,-3
market_development,taec11,matern32,1.0,463,90,-2.4905000000000004,209.09300000000002,-5.296500000000002,515,2.8060000000000014,-52
external_validation,taec11,matern32,1.0,386,61,-4.842500000000001,145.3245,-5.355,383,0.5124999999999993,3
