model,rows,max_abs_error,mean_abs_error,rows_error_gt_1e_8,passed
raw,6996,0.0,0.0,0,True
static,6996,9.969238976004213e-17,3.793379244697087e-17,0,True
rbf,6996,9.974659986866641e-17,3.85807329453323e-17,0,True
matern32,6996,9.996344030316351e-17,3.896685411448968e-17,0,True
