empirical_period,strategy,model,temperature_shift_c,baseline_positions,shifted_positions,shared_positions,added_positions,removed_positions,position_set_jaccard
external_validation,fixed_settlement,matern32,-1.0,12,35,6,29,6,0.14634146341463414
external_validation,fixed_settlement,matern32,-0.5,12,21,9,12,3,0.375
external_validation,fixed_settlement,matern32,-0.25,12,14,12,2,0,0.8571428571428571
external_validation,fixed_settlement,matern32,0.0,12,12,12,0,0,1.0
external_validation,fixed_settlement,matern32,0.25,12,11,11,0,1,0.9166666666666666
external_validation,fixed_settlement,matern32,0.5,12,7,5,2,7,0.35714285714285715
external_validation,fixed_settlement,matern32,1.0,12,9,0,9,12,0.0
external_validation,fixed_settlement,raw,-1.0,61,61,1,60,60,0.008264462809917356
external_validation,fixed_settlement,raw,-0.5,61,61,34,27,27,0.38636363636363635
external_validation,fixed_settlement,raw,-0.25,61,61,42,19,19,0.525
external_validation,fixed_settlement,raw,0.0,61,61,61,0,0,1.0
external_validation,fixed_settlement,raw,0.25,61,61,54,7,7,0.7941176470588235
external_validation,fixed_settlement,raw,0.5,61,61,28,33,33,0.2978723404255319
external_validation,fixed_settlement,raw,1.0,61,61,0,61,61,0.0
external_validation,fixed_settlement,rbf,-1.0,14,36,6,30,8,0.13636363636363635
external_validation,fixed_settlement,rbf,-0.5,14,22,10,12,4,0.38461538461538464
external_validation,fixed_settlement,rbf,-0.25,14,16,12,4,2,0.6666666666666666
external_validation,fixed_settlement,rbf,0.0,14,14,14,0,0,1.0
external_validation,fixed_settlement,rbf,0.25,14,11,11,0,3,0.7857142857142857
external_validation,fixed_settlement,rbf,0.5,14,7,5,2,9,0.3125
external_validation,fixed_settlement,rbf,1.0,14,8,0,8,14,0.0
external_validation,fixed_settlement,static,-1.0,14,36,6,30,8,0.13636363636363635
external_validation,fixed_settlement,static,-0.5,14,25,10,15,4,0.3448275862068966
external_validation,fixed_settlement,static,-0.25,14,16,14,2,0,0.875
external_validation,fixed_settlement,static,0.0,14,14,14,0,0,1.0
external_validation,fixed_settlement,static,0.25,14,12,12,0,2,0.8571428571428571
external_validation,fixed_settlement,static,0.5,14,7,5,2,9,0.3125
external_validation,fixed_settlement,static,1.0,14,10,0,10,14,0.0
external_validation,taec11,matern32,-1.0,383,452,311,141,72,0.5935114503816794
external_validation,taec11,matern32,-0.5,383,409,335,74,48,0.7330415754923414
external_validation,taec11,matern32,-0.25,383,398,358,40,25,0.8463356973995272
external_validation,taec11,matern32,0.0,383,383,383,0,0,1.0
external_validation,taec11,matern32,0.25,383,373,347,26,36,0.8484107579462102
external_validation,taec11,matern32,0.5,383,367,304,63,79,0.6816143497757847
external_validation,taec11,matern32,1.0,383,386,256,130,127,0.49902534113060426
external_validation,taec11,raw,-1.0,365,383,273,110,92,0.5747368421052632
external_validation,taec11,raw,-0.5,365,371,319,52,46,0.7649880095923262
external_validation,taec11,raw,-0.25,365,369,333,36,32,0.830423940149626
external_validation,taec11,raw,0.0,365,365,365,0,0,1.0
external_validation,taec11,raw,0.25,365,365,352,13,13,0.9312169312169312
external_validation,taec11,raw,0.5,365,359,301,58,64,0.7115839243498818
external_validation,taec11,raw,1.0,365,356,245,111,120,0.5147058823529411
external_validation,taec11,rbf,-1.0,387,454,317,137,70,0.6049618320610687
external_validation,taec11,rbf,-0.5,387,415,338,77,49,0.728448275862069
external_validation,taec11,rbf,-0.25,387,394,355,39,32,0.8333333333333334
external_validation,taec11,rbf,0.0,387,387,387,0,0,1.0
external_validation,taec11,rbf,0.25,387,371,344,27,43,0.8309178743961353
external_validation,taec11,rbf,0.5,387,365,305,60,82,0.6823266219239373
external_validation,taec11,rbf,1.0,387,380,253,127,134,0.49221789883268485
external_validation,taec11,static,-1.0,380,452,312,140,68,0.6
external_validation,taec11,static,-0.5,380,412,331,81,49,0.7180043383947939
external_validation,taec11,static,-0.25,380,392,350,42,30,0.8293838862559242
external_validation,taec11,static,0.0,380,380,380,0,0,1.0
external_validation,taec11,static,0.25,380,366,338,28,42,0.8284313725490197
external_validation,taec11,static,0.5,380,365,305,60,75,0.6931818181818182
external_validation,taec11,static,1.0,380,380,250,130,130,0.49019607843137253
market_development,fixed_settlement,matern32,-1.0,15,52,2,50,13,0.03076923076923077
market_development,fixed_settlement,matern32,-0.5,15,31,8,23,7,0.21052631578947367
market_development,fixed_settlement,matern32,-0.25,15,21,10,11,5,0.38461538461538464
market_development,fixed_settlement,matern32,0.0,15,15,15,0,0,1.0
market_development,fixed_settlement,matern32,0.25,15,14,8,6,7,0.38095238095238093
market_development,fixed_settlement,matern32,0.5,15,16,6,10,9,0.24
market_development,fixed_settlement,matern32,1.0,15,34,5,29,10,0.11363636363636363
market_development,fixed_settlement,raw,-1.0,90,90,0,90,90,0.0
market_development,fixed_settlement,raw,-0.5,90,90,51,39,39,0.3953488372093023
market_development,fixed_settlement,raw,-0.25,90,90,66,24,24,0.5789473684210527
market_development,fixed_settlement,raw,0.0,90,90,90,0,0,1.0
market_development,fixed_settlement,raw,0.25,90,90,71,19,19,0.6513761467889908
market_development,fixed_settlement,raw,0.5,90,90,39,51,51,0.2765957446808511
market_development,fixed_settlement,raw,1.0,90,90,0,90,90,0.0
market_development,fixed_settlement,rbf,-1.0,15,51,3,48,12,0.047619047619047616
market_development,fixed_settlement,rbf,-0.5,15,28,9,19,6,0.2647058823529412
