event_date,market_id,event_type,lower_bound_c,upper_bound_c,bound_reference_c,hko_daily_max_c,Y_event_int,condition_id,event_id,event_slug,market_slug,question,canonical_label,selected_yes_token_id,no_token_id,bound_reconstruction_applied,bound_reference_source,source_lower_bound_column,source_upper_bound_column,Y_no_int,contract_event_type,sample_block,final_modelling_split,outcome_history_admissibility_status,source_block
2026-03-16,1609036,lower,,15.0,14.0,24.0,0,,,highest-temperature-in-hong-kong-on-march-16-2026,highest-temperature-in-hong-kong-on-march-16-2026-14corbelow,Will the highest temperature in Hong Kong be 14°C or below on March 16?,14°C or below,18417729625237348344675915135810781093247776356764996381548944727108053313255,,True,group_item_title,event_lower_bound_C,event_upper_bound_C,1,lower_tail_endpoint,march_may_baseline,UNASSIGNED,NOT_YET_APPLIED,march_may_baseline
2026-03-16,1609037,interior,15.0,16.0,15.0,24.0,0,,,highest-temperature-in-hong-kong-on-march-16-2026,highest-temperature-in-hong-kong-on-march-16-2026-15c,Will the highest temperature in Hong Kong be 15°C on March 16?,15°C,92194745892873700692131269123045862416446526760956163556337457001334693550570,,False,group_item_title,event_lower_bound_C,event_upper_bound_C,1,interior_bin,march_may_baseline,UNASSIGNED,NOT_YET_APPLIED,march_may_baseline
2026-03-16,1609038,interior,16.0,17.0,16.0,24.0,0,,,highest-temperature-in-hong-kong-on-march-16-2026,highest-temperature-in-hong-kong-on-march-16-2026-16c,Will the highest temperature in Hong Kong be 16°C on March 16?,16°C,43383111321855602240881631648775717433482999690109088066836459052155991479336,,False,group_item_title,event_lower_bound_C,event_upper_bound_C,1,interior_bin,march_may_baseline,UNASSIGNED,NOT_YET_APPLIED,march_may_baseline
2026-03-16,1609039,interior,17.0,18.0,17.0,24.0,0,,,highest-temperature-in-hong-kong-on-march-16-2026,highest-temperature-in-hong-kong-on-march-16-2026-17c,Will the highest temperature in Hong Kong be 17°C on March 16?,17°C,112907527436634703549261434316170788658307100875401341819250820785128312639422,,False,group_item_title,event_lower_bound_C,event_upper_bound_C,1,interior_bin,march_may_baseline,UNASSIGNED,NOT_YET_APPLIED,march_may_baseline
2026-03-16,1609040,interior,18.0,19.0,18.0,24.0,0,,,highest-temperature-in-hong-kong-on-march-16-2026,highest-temperature-in-hong-kong-on-march-16-2026-18c,Will the highest temperature in Hong Kong be 18°C on March 16?,18°C,36508786251613910457392706003537456882985892516067813312291216658502301372664,,False,group_item_title,event_lower_bound_C,event_upper_bound_C,1,interior_bin,march_may_baseline,UNASSIGNED,NOT_YET_APPLIED,march_may_baseline
2026-03-16,1609041,interior,19.0,20.0,19.0,24.0,0,,,highest-temperature-in-hong-kong-on-march-16-2026,highest-temperature-in-hong-kong-on-march-16-2026-19c,Will the highest temperature in Hong Kong be 19°C on March 16?,19°C,9827907711204688573935195419582402659184868615344114097880668693645597576674,,False,group_item_title,event_lower_bound_C,event_upper_bound_C,1,interior_bin,march_may_baseline,UNASSIGNED,NOT_YET_APPLIED,march_may_baseline
2026-03-16,1609042,interior,20.0,21.0,20.0,24.0,0,,,highest-temperature-in-hong-kong-on-march-16-2026,highest-temperature-in-hong-kong-on-march-16-2026-20c,Will the highest temperature in Hong Kong be 20°C on March 16?,20°C,644711705538099671147569167239114773748644373529666158431981360770582588485,,False,group_item_title,event_lower_bound_C,event_upper_bound_C,1,interior_bin,march_may_baseline,UNASSIGNED,NOT_YET_APPLIED,march_may_baseline
2026-03-16,1609043,interior,21.0,22.0,21.0,24.0,0,,,highest-temperature-in-hong-kong-on-march-16-2026,highest-temperature-in-hong-kong-on-march-16-2026-21c,Will the highest temperature in Hong Kong be 21°C on March 16?,21°C,107366954408886783324179645534286962077498931146085491007251864326908619994162,,False,group_item_title,event_lower_bound_C,event_upper_bound_C,1,interior_bin,march_may_baseline,UNASSIGNED,NOT_YET_APPLIED,march_may_baseline
2026-03-16,1609044,interior,22.0,23.0,22.0,24.0,0,,,highest-temperature-in-hong-kong-on-march-16-2026,highest-temperature-in-hong-kong-on-march-16-2026-22c,Will the highest temperature in Hong Kong be 22°C on March 16?,22°C,38575858483837832981114034857956969719203526165201675460878372130157035147479,,False,group_item_title,event_lower_bound_C,event_upper_bound_C,1,interior_bin,march_may_baseline,UNASSIGNED,NOT_YET_APPLIED,march_may_baseline
2026-03-16,1609045,interior,23.0,24.0,23.0,24.0,0,,,highest-temperature-in-hong-kong-on-march-16-2026,highest-temperature-in-hong-kong-on-march-16-2026-23c,Will the highest temperature in Hong Kong be 23°C on March 16?,23°C,93841664961403431322117383569371933138371976309205073100030056447093674795185,,False,group_item_title,event_lower_bound_C,event_upper_bound_C,1,interior_bin,march_may_baseline,UNASSIGNED,NOT_YET_APPLIED,march_may_baseline
