check,passed,detail
git_branch_expected,True,edward-17j-hko-upper-tail-audit
tracked_worktree_clean,True,clean
21d_headline_nonempty,True,rows=6
all_recorded_integrity_files_present,True,"[{'step': '18m', 'integrity_file': 'data/processed/18m_market_only_integrity_checks.csv', 'checks_passed': 9, 'checks_total': 9, 'all_checks_passed': True, 'file_present': True}, {'step': '19b', 'integrity_file': 'data/processed/19b_common_support_integrity_checks.csv', 'checks_passed': 11, 'checks_total': 11, 'all_checks_passed': True, 'file_present': True}, {'step': '19c', 'integrity_file': 'data/processed/19c_integrity_checks.csv', 'checks_passed': 14, 'checks_total': 14, 'all_checks_passed': True, 'file_present': True}, {'step': '20b', 'integrity_file': 'data/processed/20b_integrity_checks.csv', 'checks_passed': 14, 'checks_total': 14, 'all_checks_passed': True, 'file_present': True}, {'step': '20d', 'integrity_file': 'data/processed/20d_integrity_checks.csv', 'checks_passed': 13, 'checks_total': 13, 'all_checks_passed': True, 'file_present': True}, {'step': '20e', 'integrity_file': 'data/processed/20e_locked_holdout_integrity_checks.csv', 'checks_passed': 16, 'checks_total': 16, 'all_checks_passed': True, 'file_present': True}, {'step': '21a', 'integrity_file': 'data/processed/21a_simple_edge_integrity_checks.csv', 'checks_passed': 19, 'checks_total': 19, 'all_checks_passed': True, 'file_present': True}, {'step': '21b', 'integrity_file': 'data/processed/21b_full_event_book_integrity_checks.csv', 'checks_passed': 19, 'checks_total': 19, 'all_checks_passed': True, 'file_present': True}, {'step': '21c', 'integrity_file': 'data/processed/21c_integrity_checks.csv', 'checks_passed': 30, 'checks_total': 30, 'all_checks_passed': True, 'file_present': True}, {'step': '21d', 'integrity_file': 'data/processed/21d_integrity_checks.csv', 'checks_passed': 10, 'checks_total': 10, 'all_checks_passed': True, 'file_present': True}]"
all_recorded_integrity_checks_pass,True,"[{'step': '18m', 'integrity_file': 'data/processed/18m_market_only_integrity_checks.csv', 'checks_passed': 9, 'checks_total': 9, 'all_checks_passed': True, 'file_present': True}, {'step': '19b', 'integrity_file': 'data/processed/19b_common_support_integrity_checks.csv', 'checks_passed': 11, 'checks_total': 11, 'all_checks_passed': True, 'file_present': True}, {'step': '19c', 'integrity_file': 'data/processed/19c_integrity_checks.csv', 'checks_passed': 14, 'checks_total': 14, 'all_checks_passed': True, 'file_present': True}, {'step': '20b', 'integrity_file': 'data/processed/20b_integrity_checks.csv', 'checks_passed': 14, 'checks_total': 14, 'all_checks_passed': True, 'file_present': True}, {'step': '20d', 'integrity_file': 'data/processed/20d_integrity_checks.csv', 'checks_passed': 13, 'checks_total': 13, 'all_checks_passed': True, 'file_present': True}, {'step': '20e', 'integrity_file': 'data/processed/20e_locked_holdout_integrity_checks.csv', 'checks_passed': 16, 'checks_total': 16, 'all_checks_passed': True, 'file_present': True}, {'step': '21a', 'integrity_file': 'data/processed/21a_simple_edge_integrity_checks.csv', 'checks_passed': 19, 'checks_total': 19, 'all_checks_passed': True, 'file_present': True}, {'step': '21b', 'integrity_file': 'data/processed/21b_full_event_book_integrity_checks.csv', 'checks_passed': 19, 'checks_total': 19, 'all_checks_passed': True, 'file_present': True}, {'step': '21c', 'integrity_file': 'data/processed/21c_integrity_checks.csv', 'checks_passed': 30, 'checks_total': 30, 'all_checks_passed': True, 'file_present': True}, {'step': '21d', 'integrity_file': 'data/processed/21d_integrity_checks.csv', 'checks_passed': 10, 'checks_total': 10, 'all_checks_passed': True, 'file_present': True}]"
no_missing_core_release_files,True,[]
release_index_nonempty,True,rows=233
release_paths_are_repository_relative,True,checked
release_hashes_are_sha256,True,checked
release_excludes_backups_logs_and_review_bundles,True,checked
