scope,event,threshold_c,empirical_probability,fitted_gaussian_probability,empirical_minus_gaussian,empirical_to_gaussian_ratio
pooled_all_rules,residual_above_threshold,0.0,0.8246575342465754,0.8340790352074658,-0.00942150096089045,0.9887043067105181
pooled_all_rules,residual_above_threshold,0.5,0.7167808219178082,0.7359878568144506,-0.019207034896642328,0.9739030546240593
pooled_all_rules,residual_above_threshold,1.0,0.5859589041095891,0.6147187477053818,-0.028759843595792756,0.9532146307508153
pooled_all_rules,residual_above_threshold,1.5,0.46335616438356164,0.4809591590558733,-0.017602994672311634,0.9634002298513943
pooled_all_rules,residual_above_threshold,2.0,0.3407534246575342,0.3493292125751889,-0.008575787917654676,0.9754506992002312
pooled_all_rules,absolute_residual_above_threshold,0.5,0.8017123287671233,0.8311202657483411,-0.029407936981217797,0.9646165083524478
pooled_all_rules,absolute_residual_above_threshold,1.0,0.6291095890410959,0.6642739500262115,-0.03516436098511555,0.9470634653312417
pooled_all_rules,absolute_residual_above_threshold,1.5,0.48424657534246573,0.5043336456811021,-0.020087070338636326,0.960171068278602
pooled_all_rules,absolute_residual_above_threshold,2.0,0.351027397260274,0.35928651139364864,-0.008259114133374656,0.9770124569905558
24h_prior,residual_above_threshold,0.0,0.8041095890410959,0.8244360275801187,-0.02032643853902283,0.9753450384759568
24h_prior,residual_above_threshold,0.5,0.7150684931506849,0.7289481741514813,-0.013879681000796396,0.9809593034279114
24h_prior,residual_above_threshold,1.0,0.5876712328767123,0.6128926256781349,-0.02522139280142255,0.95884859477055
24h_prior,residual_above_threshold,1.5,0.46986301369863015,0.4856800537478505,-0.015817040049220354,0.9674332105525749
24h_prior,residual_above_threshold,2.0,0.35342465753424657,0.3599205313682847,-0.006495873834038157,0.9819519219719329
24h_prior,absolute_residual_above_threshold,0.5,0.810958904109589,0.8336562651095757,-0.02269736099998665,0.9727737174781463
24h_prior,absolute_residual_above_threshold,1.0,0.6410958904109589,0.6701821936404302,-0.029086303229471255,0.9565994090778891
24h_prior,absolute_residual_above_threshold,1.5,0.4931506849315068,0.5143500676281989,-0.021199382696692082,0.9587841354926852
24h_prior,absolute_residual_above_threshold,2.0,0.36712328767123287,0.37301230469345437,-0.005889017022221499,0.9842122714234289
12h_prior,residual_above_threshold,0.0,0.8287671232876712,0.8320988627868124,-0.0033317394991412286,0.9959959811890827
12h_prior,residual_above_threshold,0.5,0.7123287671232876,0.7337647806783318,-0.02143601355504421,0.9707862599575472
12h_prior,residual_above_threshold,1.0,0.5835616438356165,0.6125556229858367,-0.028993979150220173,0.9526671896196265
12h_prior,residual_above_threshold,1.5,0.46301369863013697,0.4791579468566163,-0.016144248226479307,0.9663070427353043
12h_prior,residual_above_threshold,2.0,0.33972602739726027,0.34807594104007544,-0.008349913642815177,0.9760112301417184
12h_prior,absolute_residual_above_threshold,0.5,0.7972602739726027,0.830437542039745,-0.033177268067142274,0.9600484486941049
12h_prior,absolute_residual_above_threshold,1.0,0.626027397260274,0.6631623715695181,-0.03713497430924406,0.9440031945398891
12h_prior,absolute_residual_above_threshold,1.5,0.4863013698630137,0.5031645205107269,-0.01686315064771321,0.9664858113791557
12h_prior,absolute_residual_above_threshold,2.0,0.3506849315068493,0.35836859035737334,-0.007683658850524022,0.9785593406976273
6h_prior,residual_above_threshold,0.0,0.8315068493150685,0.8349802484101548,-0.0034733990950863713,0.9958401422049206
6h_prior,residual_above_threshold,0.5,0.7150684931506849,0.7370604125248778,-0.02199191937419287,0.9701626637376206
6h_prior,residual_above_threshold,1.0,0.5863013698630137,0.6158440486805747,-0.029542678817561008,0.9520289610967985
6h_prior,residual_above_threshold,1.5,0.4671232876712329,0.48199722932819955,-0.01487394165696665,0.9691410224957149
6h_prior,residual_above_threshold,2.0,0.33972602739726027,0.3501680233952582,-0.010441995997997944,0.9701800412934583
6h_prior,absolute_residual_above_threshold,0.5,0.7958904109589041,0.8315239696018056,-0.03563355864290152,0.9571466849476805
6h_prior,absolute_residual_above_threshold,1.0,0.6273972602739726,0.6649601564364613,-0.03756289616248876,0.9435110573183975
6h_prior,absolute_residual_above_threshold,1.5,0.4904109589041096,0.5051164464733364,-0.01470548756922685,0.9708869357315549
6h_prior,absolute_residual_above_threshold,2.0,0.3493150684931507,0.35999378878965804,-0.010678720296507349,0.970336376268017
event_day_open,residual_above_threshold,0.0,0.8342465753424657,0.8456965550583028,-0.011449979715837055,0.986460888781736
event_day_open,residual_above_threshold,0.5,0.7246575342465753,0.7450927841026889,-0.020435249856113558,0.9725735501777492
event_day_open,residual_above_threshold,1.0,0.5863013698630137,0.6179510040278476,-0.031649634164833906,0.948782939167443
event_day_open,residual_above_threshold,1.5,0.4534246575342466,0.47650827331320245,-0.023083615778955846,0.9515567366365887
event_day_open,residual_above_threshold,2.0,0.33013698630136984,0.3379947688378706,-0.007857782536500768,0.9767517628645016
event_day_open,absolute_residual_above_threshold,0.5,0.8027397260273973,0.8293222551547144,-0.026582529127317067,0.9679466830148457
event_day_open,absolute_residual_above_threshold,1.0,0.6219178082191781,0.6592156564715651,-0.03729784825238702,0.9434208701109698
event_day_open,absolute_residual_above_threshold,1.5,0.4671232876712329,0.49458407332749776,-0.027460785656264863,0.9444770118222525
event_day_open,absolute_residual_above_threshold,2.0,0.336986301369863,0.34505388351888167,-0.008067582149018648,0.9766193556010878
