scope,dates,rows,probability,empirical_quantile_c,fitted_gaussian_quantile_c,empirical_minus_gaussian_c,fitted_gaussian_mean_c,fitted_gaussian_sd_c
pooled_all_rules,730,2920,0.01,-2.080999999999998,-1.9976351962300885,-0.08336480376990973,1.4296575342465752,1.4732503116670568
pooled_all_rules,730,2920,0.05,-0.9000000000000021,-0.9936235843063708,0.09362358430636863,1.4296575342465752,1.4732503116670568
pooled_all_rules,730,2920,0.1,-0.4000000000000021,-0.4583887091094119,0.0583887091094098,1.4296575342465752,1.4732503116670568
pooled_all_rules,730,2920,0.25,0.4000000000000021,0.43596529955396246,-0.035965299553960384,1.4296575342465752,1.4732503116670568
pooled_all_rules,730,2920,0.5,1.400000000000002,1.4296575342465752,-0.029657534246573247,1.4296575342465752,1.4732503116670568
pooled_all_rules,730,2920,0.75,2.5,2.423349768939188,0.07665023106081215,1.4296575342465752,1.4732503116670568
pooled_all_rules,730,2920,0.9,3.3999999999999986,3.317703777602562,0.08229622239743639,1.4296575342465752,1.4732503116670568
pooled_all_rules,730,2920,0.95,3.804999999999976,3.85293865279952,-0.04793865279954401,1.4296575342465752,1.4732503116670568
pooled_all_rules,730,2920,0.99,4.580999999999993,4.856950264723238,-0.275950264723245,1.4296575342465752,1.4732503116670568
24h_prior,730,730,0.01,-2.313000000000001,-2.159354505893518,-0.15364549410648287,1.4443835616438356,1.5490968086719121
24h_prior,730,730,0.05,-1.1549999999999978,-1.1036539425991108,-0.051346057400887046,1.4443835616438356,1.5490968086719121
24h_prior,730,730,0.1,-0.5,-0.5408638786897977,0.040863878689797684,1.4443835616438356,1.5490968086719121
24h_prior,730,730,0.25,0.3999999999999986,0.39953364213317033,0.00046635786682824865,1.4443835616438356,1.5490968086719121
24h_prior,730,730,0.5,1.3999999999999986,1.4443835616438356,-0.044383561643837055,1.4443835616438356,1.5490968086719121
24h_prior,730,730,0.75,2.5,2.4892334811545007,0.010766518845499284,1.4443835616438356,1.5490968086719121
24h_prior,730,730,0.9,3.499999999999997,3.429631001977469,0.07036899802252794,1.4443835616438356,1.5490968086719121
24h_prior,730,730,0.95,4.0,3.992421065886781,0.00757893411321886,1.4443835616438356,1.5490968086719121
24h_prior,730,730,0.99,4.671000000000004,5.048121629181189,-0.3771216291811852,1.4443835616438356,1.5490968086719121
12h_prior,730,730,0.01,-2.0709999999999984,-2.016027407635078,-0.05497259236492047,1.422739726027397,1.4781826793984059
12h_prior,730,730,0.05,-0.9000000000000021,-1.0086544154779171,0.10865441547791499,1.422739726027397,1.4781826793984059
12h_prior,730,730,0.1,-0.3999999999999986,-0.4716276009165421,0.07162760091654352,1.422739726027397,1.4781826793984059
12h_prior,730,730,0.25,0.4000000000000021,0.42572065985579155,-0.025720659855789474,1.422739726027397,1.4781826793984059
12h_prior,730,730,0.5,1.400000000000002,1.422739726027397,-0.022739726027395157,1.422739726027397,1.4781826793984059
12h_prior,730,730,0.75,2.5,2.4197587921990027,0.0802412078009973,1.422739726027397,1.4781826793984059
12h_prior,730,730,0.9,3.3999999999999986,3.3171070529713362,0.08289294702866234,1.422739726027397,1.4781826793984059
12h_prior,730,730,0.95,3.899999999999999,3.8541338675327106,0.045866132467288434,1.422739726027397,1.4781826793984059
12h_prior,730,730,0.99,4.571000000000006,4.8615068596898725,-0.29050685968986656,1.422739726027397,1.4781826793984059
6h_prior,730,730,0.01,-2.0,-1.990304480222191,-0.009695519777809025,1.4335616438356165,1.4717773563721532
6h_prior,730,730,0.05,-0.9000000000000021,-0.9872966788581703,0.08729667885816816,1.4335616438356165,1.4717773563721532
6h_prior,730,730,0.1,-0.3999999999999986,-0.4525969313562097,0.05259693135621113,1.4335616438356165,1.4717773563721532
6h_prior,730,730,0.25,0.4000000000000021,0.4408629023919133,-0.040862902391911204,1.4335616438356165,1.4717773563721532
6h_prior,730,730,0.5,1.5,1.4335616438356165,0.06643835616438354,1.4335616438356165,1.4717773563721532
6h_prior,730,730,0.75,2.5,2.4262603852793196,0.07373961472068036,1.4335616438356165,1.4717773563721532
6h_prior,730,730,0.9,3.3999999999999986,3.3197202190274426,0.08027978097255595,1.4335616438356165,1.4717773563721532
6h_prior,730,730,0.95,3.899999999999999,3.8544199665294023,0.04558003347059669,1.4335616438356165,1.4717773563721532
6h_prior,730,730,0.99,4.571000000000006,4.857427767893424,-0.28642776789341795,1.4335616438356165,1.4717773563721532
event_day_open,730,730,0.01,-1.870999999999999,-1.821887105222612,-0.04911289477738712,1.417945205479452,1.3926688896594432
event_day_open,730,730,0.05,-0.7999999999999992,-0.8727912688193638,0.0727912688193646,1.417945205479452,1.3926688896594432
event_day_open,730,730,0.1,-0.3999999999999986,-0.3668317903488678,-0.033168209651130764,1.417945205479452,1.3926688896594432
event_day_open,730,730,0.25,0.4000000000000021,0.4786043139871996,-0.07860431398719753,1.417945205479452,1.3926688896594432
event_day_open,730,730,0.5,1.3999999999999986,1.417945205479452,-0.01794520547945333,1.417945205479452,1.3926688896594432
event_day_open,730,730,0.75,2.400000000000002,2.357286096971704,0.04271390302829792,1.417945205479452,1.3926688896594432
event_day_open,730,730,0.9,3.3000000000000007,3.202722201307772,0.09727779869222886,1.417945205479452,1.3926688896594432
event_day_open,730,730,0.95,3.6999999999999993,3.708681679778267,-0.008681679778267615,1.417945205479452,1.3926688896594432
event_day_open,730,730,0.99,4.371000000000003,4.657777516181516,-0.2867775161815125,1.417945205479452,1.3926688896594432
