analysis,decision_rule,forecast_level_quartile,rows,dates,mean_residual_c,standard_deviation_c,median_residual_c,median_absolute_deviation_c,interquartile_range_c,mean_absolute_error_c,root_mean_squared_error_c,skewness,excess_kurtosis,minimum_c,maximum_c,q01_c,q05_c,q10_c,q25_c,q50_c,q75_c,q90_c,q95_c,q99_c,underforecast_rate,overforecast_rate,exact_zero_rate
residual_stability_by_forecast_level_quartile,12h_prior,Q1,183,183,1.1486338797814206,1.3357657360043398,1.0,0.7000000000000028,1.5,1.3704918032786884,1.7589428022027223,0.43796320296952324,0.5753826333534433,-2.3000000000000007,5.199999999999999,-2.018,-0.7800000000000005,-0.3000000000000007,0.3000000000000007,1.0,1.8000000000000007,2.900000000000002,3.5899999999999985,4.954000000000001,0.8087431693989071,0.16939890710382513,0.02185792349726776
residual_stability_by_forecast_level_quartile,12h_prior,Q2,182,182,0.9587912087912086,1.4542772389256096,0.8000000000000007,0.9999999999999982,1.900000000000002,1.371978021978022,1.7385575680955803,0.24572950876385682,0.578690313877503,-3.0,6.5,-2.2520000000000016,-1.1000000000000014,-0.8999999999999986,0.0,0.8000000000000007,1.900000000000002,2.6999999999999997,3.1949999999999985,4.157,0.7417582417582418,0.24175824175824176,0.016483516483516484
residual_stability_by_forecast_level_quartile,12h_prior,Q3,182,182,1.6500000000000004,1.4915878298456469,1.6500000000000004,0.9500000000000011,1.9000000000000017,1.9005494505494507,2.2215107224836643,-0.2624810307637948,-0.07836467396900337,-2.6999999999999997,5.399999999999999,-1.7189999999999996,-0.9000000000000021,-0.3999999999999986,0.799999999999998,1.6500000000000004,2.6999999999999997,3.5900000000000016,3.899999999999999,4.619,0.8516483516483516,0.13736263736263737,0.01098901098901099
residual_stability_by_forecast_level_quartile,12h_prior,Q4,183,183,1.93224043715847,1.4312443318583767,2.1000000000000014,1.1000000000000014,2.3000000000000007,2.053551912568306,2.4022530408204603,-0.40910431054658947,-0.1388015009547705,-2.700000000000003,4.699999999999999,-2.0540000000000003,-0.2899999999999977,0.1999999999999957,0.7999999999999989,2.1000000000000014,3.0999999999999996,3.7800000000000025,4.099999999999998,4.336000000000002,0.912568306010929,0.07650273224043716,0.01092896174863388
residual_stability_by_forecast_level_quartile,24h_prior,Q1,183,183,1.2584699453551915,1.4726897937065224,1.0,0.8999999999999984,1.75,1.4868852459016395,1.9340916168872822,0.6346737558571055,1.5201435091389506,-2.6999999999999997,7.600000000000001,-2.018,-0.7000000000000025,-0.3,0.25,1.0,2.0,3.1999999999999997,3.8000000000000007,4.936000000000001,0.8087431693989071,0.18032786885245902,0.01092896174863388
residual_stability_by_forecast_level_quartile,24h_prior,Q2,182,182,1.0329670329670328,1.5466631303183558,1.099999999999998,1.1499999999999988,2.175,1.512087912087912,1.8563523254069945,-0.07027273982786722,0.04790203707948404,-4.0,5.0,-2.5,-1.3949999999999987,-0.8899999999999987,-0.1000000000000014,1.099999999999998,2.0749999999999984,2.8999999999999986,3.395000000000001,4.737999999999999,0.7197802197802198,0.2692307692307692,0.01098901098901099
residual_stability_by_forecast_level_quartile,24h_prior,Q3,182,182,1.534615384615385,1.5770661674633653,1.7000000000000028,1.099999999999996,2.1000000000000014,1.8554945054945058,2.197388559976702,-0.3104484855064365,-0.34568470491141046,-2.8000000000000007,4.599999999999998,-2.419000000000002,-1.1949999999999994,-0.6999999999999993,0.5,1.7000000000000028,2.6000000000000014,3.5,4.094999999999997,4.5,0.8021978021978022,0.17582417582417584,0.02197802197802198
residual_stability_by_forecast_level_quartile,24h_prior,Q4,183,183,1.9497267759562842,1.4566208945477046,2.000000000000004,1.1000000000000054,2.150000000000002,2.0885245901639347,2.4313750635090323,-0.34897258903172135,-0.3961121458567436,-2.400000000000002,4.799999999999997,-1.5359999999999998,-0.47999999999999976,0.0,0.8999999999999986,2.000000000000004,3.0500000000000007,3.7799999999999994,4.100000000000001,4.536000000000001,0.8852459016393442,0.09836065573770492,0.01639344262295082
residual_stability_by_forecast_level_quartile,6h_prior,Q1,183,183,1.174863387978142,1.3432868733415637,1.0,0.6999999999999993,1.450000000000001,1.3934426229508197,1.7818146334504446,0.44066693608504637,0.7199249360151381,-2.3999999999999986,5.199999999999999,-2.0540000000000003,-0.5999999999999979,-0.37999999999999906,0.34999999999999964,1.0,1.8000000000000007,2.900000000000002,3.5900000000000016,4.954000000000001,0.819672131147541,0.16393442622950818,0.01639344262295082
residual_stability_by_forecast_level_quartile,6h_prior,Q2,182,182,0.9934065934065933,1.4442725288656033,0.8999999999999986,0.9999999999999999,1.950000000000001,1.3824175824175822,1.7496624478220595,0.22784914219960684,0.6030350442733634,-3.0,6.5,-2.1710000000000003,-1.1000000000000014,-0.8899999999999987,0.02499999999999945,0.8999999999999986,1.9750000000000005,2.6999999999999997,3.1949999999999985,4.157,0.7472527472527473,0.23626373626373626,0.016483516483516484
residual_stability_by_forecast_level_quartile,6h_prior,Q3,182,182,1.6532967032967034,1.4893971897478697,1.6999999999999993,1.0,1.899999999999999,1.9038461538461537,2.2224998300349754,-0.28151678720117185,-0.07752920598161905,-2.6999999999999997,5.399999999999999,-1.7189999999999996,-0.9000000000000021,-0.3999999999999986,0.8000000000000007,1.6999999999999993,2.6999999999999997,3.5,3.899999999999999,4.619,0.8516483516483516,0.13736263736263737,0.01098901098901099
