decision_rule,phase1_static_bias_c,phase2_residual_mean_c,bias_difference_c,within_rule_bias_spread_c,phase1_static_sd_c,phase2_residual_sd_c,sd_difference_c,within_rule_sd_spread_c,phase1_static_rows,passed,detail
12h_prior,1.4227397260274,1.422739726027397,2.886579864025407e-15,7.105427357601002e-15,1.4781826793984048,1.478182679398405,-2.220446049250313e-16,0.0,1023,True,
24h_prior,1.4443835616438379,1.4443835616438354,2.4424906541753444e-15,1.0658141036401503e-14,1.549096808671912,1.5490968086719121,-2.220446049250313e-16,0.0,1056,True,
6h_prior,1.433561643835616,1.4335616438356165,-4.440892098500626e-16,3.552713678800501e-15,1.4717773563721543,1.4717773563721535,8.881784197001252e-16,0.0,1001,True,
event_day_open,1.4179452054794515,1.417945205479452,-4.440892098500626e-16,7.105427357601002e-15,1.3926688896594432,1.3926688896594432,0.0,0.0,1045,True,
