scope,dates,rows,metric,point_estimate,bootstrap_method,block_length_days,bootstrap_lower_95,bootstrap_upper_95,bootstrap_replications,seed,bootstrap_unit
pooled_all_rules,730,2920,mean_residual_c,1.4296575342465752,ordinary_date,,1.32736301369863,1.5309246575342463,10000,20260731,settlement_date
pooled_all_rules,730,2920,median_residual_c,1.400000000000002,ordinary_date,,1.2999999999999972,1.5,10000,20260731,settlement_date
pooled_all_rules,730,2920,mean_absolute_error_c,1.680068493150685,ordinary_date,,1.6018484589041093,1.7615753424657532,10000,20260731,settlement_date
pooled_all_rules,730,2920,root_mean_squared_error_c,2.0527162092253373,ordinary_date,,1.968257347190914,2.1372234460193105,10000,20260731,settlement_date
pooled_all_rules,730,2920,underforecast_rate,0.8246575342465754,ordinary_date,,0.7996575342465754,0.8486301369863014,10000,20260731,settlement_date
pooled_all_rules,730,2920,prob_residual_above_0.5c,0.7167808219178082,ordinary_date,,0.6873202054794522,0.7462328767123287,10000,20260731,settlement_date
pooled_all_rules,730,2920,prob_residual_above_1c,0.5859589041095891,ordinary_date,,0.5534246575342465,0.6181506849315068,10000,20260731,settlement_date
pooled_all_rules,730,2920,prob_residual_above_1.5c,0.46335616438356164,ordinary_date,,0.43047945205479454,0.4969178082191781,10000,20260731,settlement_date
pooled_all_rules,730,2920,prob_residual_above_2c,0.3407534246575342,ordinary_date,,0.3099315068493151,0.37294520547945204,10000,20260731,settlement_date
pooled_all_rules,730,2920,prob_absolute_residual_above_0.5c,0.8017123287671233,ordinary_date,,0.7777397260273973,0.8256849315068493,10000,20260731,settlement_date
pooled_all_rules,730,2920,prob_absolute_residual_above_1c,0.6291095890410959,ordinary_date,,0.5986301369863014,0.6602739726027397,10000,20260731,settlement_date
pooled_all_rules,730,2920,prob_absolute_residual_above_1.5c,0.48424657534246573,ordinary_date,,0.4520547945205479,0.5171232876712328,10000,20260731,settlement_date
pooled_all_rules,730,2920,prob_absolute_residual_above_2c,0.351027397260274,ordinary_date,,0.3205393835616439,0.38287671232876713,10000,20260731,settlement_date
pooled_all_rules,730,2920,mean_residual_c,1.4296575342465752,circular_moving_block,3.0,1.2893150684931507,1.5721267123287672,10000,20260831,settlement_date
pooled_all_rules,730,2920,median_residual_c,1.400000000000002,circular_moving_block,3.0,1.1999999999999993,1.599999999999998,10000,20260831,settlement_date
pooled_all_rules,730,2920,mean_absolute_error_c,1.680068493150685,circular_moving_block,3.0,1.568865582191781,1.7913416095890409,10000,20260831,settlement_date
pooled_all_rules,730,2920,root_mean_squared_error_c,2.0527162092253373,circular_moving_block,3.0,1.9358114820116246,2.169124641937049,10000,20260831,settlement_date
pooled_all_rules,730,2920,underforecast_rate,0.8246575342465754,circular_moving_block,3.0,0.7948630136986301,0.8530821917808219,10000,20260831,settlement_date
pooled_all_rules,730,2920,prob_residual_above_0.5c,0.7167808219178082,circular_moving_block,3.0,0.6787671232876712,0.7527397260273972,10000,20260831,settlement_date
pooled_all_rules,730,2920,prob_residual_above_1c,0.5859589041095891,circular_moving_block,3.0,0.5417808219178082,0.6280821917808219,10000,20260831,settlement_date
pooled_all_rules,730,2920,prob_residual_above_1.5c,0.46335616438356164,circular_moving_block,3.0,0.41883561643835615,0.5065068493150685,10000,20260831,settlement_date
pooled_all_rules,730,2920,prob_residual_above_2c,0.3407534246575342,circular_moving_block,3.0,0.30034246575342466,0.3818493150684932,10000,20260831,settlement_date
pooled_all_rules,730,2920,prob_absolute_residual_above_0.5c,0.8017123287671233,circular_moving_block,3.0,0.772945205479452,0.8291095890410959,10000,20260831,settlement_date
pooled_all_rules,730,2920,prob_absolute_residual_above_1c,0.6291095890410959,circular_moving_block,3.0,0.5876712328767123,0.6681506849315069,10000,20260831,settlement_date
pooled_all_rules,730,2920,prob_absolute_residual_above_1.5c,0.48424657534246573,circular_moving_block,3.0,0.44143835616438354,0.5260273972602739,10000,20260831,settlement_date
pooled_all_rules,730,2920,prob_absolute_residual_above_2c,0.351027397260274,circular_moving_block,3.0,0.31095890410958904,0.3917808219178082,10000,20260831,settlement_date
pooled_all_rules,730,2920,mean_residual_c,1.4296575342465752,circular_moving_block,5.0,1.269380993150685,1.5919203767123287,10000,20260931,settlement_date
pooled_all_rules,730,2920,median_residual_c,1.400000000000002,circular_moving_block,5.0,1.1999999999999993,1.6000000000000014,10000,20260931,settlement_date
pooled_all_rules,730,2920,mean_absolute_error_c,1.680068493150685,circular_moving_block,5.0,1.5536643835616442,1.8127414383561644,10000,20260931,settlement_date
pooled_all_rules,730,2920,root_mean_squared_error_c,2.0527162092253373,circular_moving_block,5.0,1.9177113159945511,2.1887029567773593,10000,20260931,settlement_date
pooled_all_rules,730,2920,underforecast_rate,0.8246575342465754,circular_moving_block,5.0,0.7924657534246575,0.8554794520547945,10000,20260931,settlement_date
pooled_all_rules,730,2920,prob_residual_above_0.5c,0.7167808219178082,circular_moving_block,5.0,0.6746575342465754,0.7571917808219178,10000,20260931,settlement_date
