scope,dates,rows,decision_rules,mean_residual_c,standard_deviation_c,median_residual_c,median_absolute_deviation_c,interquartile_range_c,mean_absolute_error_c,root_mean_squared_error_c,skewness,excess_kurtosis,minimum_c,maximum_c,q01_c,q05_c,q10_c,q25_c,q50_c,q75_c,q90_c,q95_c,q99_c,underforecast_rate,overforecast_rate,exact_zero_rate
pooled_all_rules,730,2920,4,1.4296575342465752,1.4732503116670568,1.400000000000002,1.0000000000000033,2.099999999999998,1.680068493150685,2.0527162092253373,-0.015873915208792784,-0.13617463286382048,-4.0,7.600000000000001,-2.080999999999998,-0.9000000000000021,-0.4000000000000021,0.4000000000000021,1.400000000000002,2.5,3.3999999999999986,3.804999999999976,4.580999999999993,0.8246575342465754,0.16164383561643836,0.0136986301369863
24h_prior,730,730,1,1.4443835616438356,1.5490968086719121,1.3999999999999986,1.0999999999999979,2.1000000000000014,1.7358904109589042,2.1172287392359324,-0.04852448254030889,-0.031704536645897896,-4.0,7.600000000000001,-2.313000000000001,-1.1549999999999978,-0.5,0.3999999999999986,1.3999999999999986,2.5,3.499999999999997,4.0,4.671000000000004,0.8041095890410959,0.18082191780821918,0.015068493150684932
12h_prior,730,730,1,1.422739726027397,1.4781826793984059,1.400000000000002,1.0000000000000033,2.099999999999998,1.6742465753424658,2.05090691599648,0.00013639840513237709,-0.13528561811447348,-3.0,6.5,-2.0709999999999984,-0.9000000000000021,-0.3999999999999986,0.4000000000000021,1.400000000000002,2.5,3.3999999999999986,3.899999999999999,4.571000000000006,0.8287671232876712,0.15616438356164383,0.015068493150684932
6h_prior,730,730,1,1.4335616438356165,1.4717773563721532,1.5,1.0,2.099999999999998,1.6784931506849314,2.0538403720768086,-0.007034886586599277,-0.10237172526034533,-3.0,6.5,-2.0,-0.9000000000000021,-0.3999999999999986,0.4000000000000021,1.5,2.5,3.3999999999999986,3.899999999999999,4.571000000000006,0.8315068493150685,0.1547945205479452,0.0136986301369863
event_day_open,730,730,1,1.417945205479452,1.3926688896594432,1.3999999999999986,1.0,2.0,1.6316438356164382,1.9868161354701104,-0.007120259689095583,-0.3903358229207581,-2.3999999999999986,5.199999999999999,-1.870999999999999,-0.7999999999999992,-0.3999999999999986,0.4000000000000021,1.3999999999999986,2.400000000000002,3.3000000000000007,3.6999999999999993,4.371000000000003,0.8342465753424657,0.1547945205479452,0.010958904109589041
