analysis,decision_rule,calendar_quarter,rows,dates,mean_residual_c,standard_deviation_c,median_residual_c,median_absolute_deviation_c,interquartile_range_c,mean_absolute_error_c,root_mean_squared_error_c,skewness,excess_kurtosis,minimum_c,maximum_c,q01_c,q05_c,q10_c,q25_c,q50_c,q75_c,q90_c,q95_c,q99_c,underforecast_rate,overforecast_rate,exact_zero_rate
residual_stability_by_calendar_quarter,12h_prior,1,180,180,0.948888888888889,1.3198310747204132,0.8000000000000007,0.700000000000002,1.4000000000000021,1.26,1.6225494342751676,0.20897412995072662,0.7433074180060109,-3.0,5.199999999999999,-2.225999999999998,-1.0999999999999983,-0.5,0.1999999999999993,0.8000000000000007,1.6000000000000014,2.6100000000000008,3.1099999999999945,4.221,0.7888888888888889,0.18888888888888888,0.022222222222222223
residual_stability_by_calendar_quarter,12h_prior,2,182,182,1.7593406593406595,1.4814863390571047,1.8999999999999984,0.8999999999999984,1.7999999999999976,1.9945054945054947,2.2973946065101614,-0.33504568021013986,0.39892758973294473,-2.900000000000002,6.5,-1.8950000000000007,-0.7950000000000007,-0.3999999999999986,0.9000000000000021,1.8999999999999984,2.6999999999999997,3.6899999999999973,3.899999999999999,4.437999999999999,0.8461538461538461,0.14835164835164835,0.005494505494505495
residual_stability_by_calendar_quarter,12h_prior,3,184,184,2.1103260869565217,1.344306716796412,2.0999999999999996,1.0000000000000018,2.0250000000000004,2.166847826086957,2.5001630381619724,-0.1716500127359785,-0.47114970945067647,-2.0,5.399999999999999,-0.7510000000000023,0.014999999999999705,0.30000000000000177,1.1000000000000014,2.0999999999999996,3.1250000000000018,3.800000000000003,4.100000000000001,4.699999999999997,0.9456521739130435,0.04891304347826087,0.005434782608695652
residual_stability_by_calendar_quarter,12h_prior,4,184,184,0.8657608695652171,1.3789880931622986,0.7999999999999989,0.9000000000000004,1.7250000000000014,1.2701086956521737,1.6250585273741078,0.234623807561568,0.18428681181121176,-2.700000000000003,5.199999999999999,-2.1340000000000012,-1.384999999999999,-0.8999999999999986,0.0,0.7999999999999989,1.7250000000000014,2.5700000000000003,3.200000000000001,3.9869999999999868,0.7336956521739131,0.2391304347826087,0.02717391304347826
residual_stability_by_calendar_quarter,24h_prior,1,180,180,1.117777777777778,1.4421103234420987,1.0,0.9000000000000002,1.7250000000000019,1.4466666666666668,1.8214158107240521,0.11259231499579148,0.1665776888368442,-2.6999999999999997,5.100000000000001,-2.1839999999999984,-1.3000000000000007,-0.5,0.1999999999999993,1.0,1.9250000000000012,3.1100000000000008,3.705000000000001,4.421000000000002,0.7777777777777778,0.20555555555555555,0.016666666666666666
residual_stability_by_calendar_quarter,24h_prior,2,182,182,1.7434065934065934,1.587776317644716,1.9000000000000001,1.0999999999999994,2.1750000000000007,1.9906593406593407,2.3551323427035586,-0.08376517227526353,0.4295517704882057,-2.8000000000000007,7.600000000000001,-1.771000000000001,-0.8999999999999986,-0.4000000000000021,0.6999999999999993,1.9000000000000001,2.875,3.5900000000000016,4.099999999999998,4.918999999999999,0.8351648351648352,0.15384615384615385,0.01098901098901099
residual_stability_by_calendar_quarter,24h_prior,3,184,184,2.096195652173913,1.4061677894979072,2.200000000000001,1.0999999999999996,2.1999999999999997,2.177717391304348,2.522022566530077,-0.2334952185014278,-0.6836683860430703,-1.5,4.799999999999997,-0.7849999999999986,-0.2000000000000028,0.0,1.0,2.200000000000001,3.1999999999999997,3.8700000000000023,4.284999999999997,4.617,0.8913043478260869,0.09239130434782608,0.016304347826086956
residual_stability_by_calendar_quarter,24h_prior,4,184,184,0.8163043478260867,1.4271586793125977,0.8999999999999986,0.900000000000004,1.9000000000000021,1.325,1.6407514185248488,-0.12767912834010903,0.25083574174465983,-4.0,4.899999999999999,-2.4170000000000016,-1.4850000000000003,-1.1000000000000014,-0.1000000000000014,0.8999999999999986,1.8000000000000007,2.670000000000001,3.100000000000001,3.801999999999993,0.7119565217391305,0.2717391304347826,0.016304347826086956
residual_stability_by_calendar_quarter,6h_prior,1,180,180,0.9888888888888889,1.320228898762351,0.8000000000000007,0.7000000000000002,1.3250000000000028,1.288888888888889,1.6465789450318566,0.16836442926901324,0.9258554257813882,-3.0,5.199999999999999,-2.4629999999999987,-1.0999999999999983,-0.40999999999999853,0.2749999999999985,0.8000000000000007,1.6000000000000014,2.6100000000000008,3.1099999999999945,4.342000000000002,0.8111111111111111,0.17222222222222222,0.016666666666666666
residual_stability_by_calendar_quarter,6h_prior,2,182,182,1.7582417582417582,1.4780953799669914,1.9499999999999993,0.8500000000000013,1.7999999999999976,1.9934065934065939,2.294379180557526,-0.34517053197255854,0.41157164150442593,-2.900000000000002,6.5,-1.8950000000000007,-0.7950000000000007,-0.3999999999999986,0.9000000000000021,1.9499999999999993,2.6999999999999997,3.5900000000000016,3.899999999999999,4.437999999999999,0.8461538461538461,0.14835164835164835,0.005494505494505495
