scope,maximum_absolute_mean_change_c,most_influential_mean_date,maximum_absolute_mae_change_c,most_influential_mae_date,maximum_absolute_underforecast_rate_change,most_influential_underforecast_date
12h_prior,0.006964691733844397,2025-05-11,0.006619689197061129,2025-05-11,0.0011368547644550198,2024-03-16
24h_prior,0.008443918296785036,2025-05-11,0.008044046075502465,2025-05-11,0.0011030309863390153,2024-03-16
6h_prior,0.006949846853449015,2025-05-11,0.006613863990829749,2025-05-11,0.0011406129620233907,2024-03-16
event_day_open,0.00523723622150829,2025-03-31,0.004894864423022449,2024-12-26,0.0011443711595918726,2024-03-16
pooled_all_rules,0.0066465603096752535,2025-05-11,0.006303061051919467,2025-05-11,0.0011312174681022968,2024-03-16
