analysis,decision_rule,year_quarter,rows,dates,mean_residual_c,standard_deviation_c,median_residual_c,median_absolute_deviation_c,interquartile_range_c,mean_absolute_error_c,root_mean_squared_error_c,skewness,excess_kurtosis,minimum_c,maximum_c,q01_c,q05_c,q10_c,q25_c,q50_c,q75_c,q90_c,q95_c,q99_c,underforecast_rate,overforecast_rate,exact_zero_rate
residual_stability_by_year_quarter,12h_prior,2024Q1,16,16,1.7000000000000008,1.158159459372212,1.700000000000001,0.9499999999999995,1.7749999999999995,1.712500000000001,2.036541185441631,0.164202990095981,-0.5859248415738518,-0.1000000000000014,4.0,-0.08500000000000119,-0.02500000000000035,0.25,0.8500000000000014,1.700000000000001,2.625000000000001,2.900000000000002,3.1750000000000016,3.835,0.875,0.0625,0.0625
residual_stability_by_year_quarter,12h_prior,2024Q2,91,91,1.721978021978022,1.335315376630987,1.8000000000000007,0.7000000000000026,1.5,1.8956043956043955,2.1745531308021238,-0.2794005620206505,-0.23437041826797245,-1.6999999999999993,4.600000000000001,-0.9799999999999986,-0.6999999999999993,-0.3999999999999986,1.0,1.8000000000000007,2.5,3.3999999999999986,3.899999999999999,4.149999999999999,0.8461538461538461,0.14285714285714285,0.01098901098901099
residual_stability_by_year_quarter,12h_prior,2024Q3,92,92,1.8543478260869568,1.2250510680970697,1.8000000000000025,1.0499999999999972,2.0,1.891304347826087,2.218793248200668,-0.04905923811770594,-0.8743912236182618,-1.0,4.300000000000004,-0.36300000000000066,-0.04499999999999903,0.2000000000000028,0.8999999999999986,1.8000000000000025,2.8999999999999986,3.3999999999999986,3.8000000000000007,4.117999999999999,0.9347826086956522,0.05434782608695652,0.010869565217391304
residual_stability_by_year_quarter,12h_prior,2024Q4,92,92,0.9739130434782604,1.4138925744679793,0.7999999999999989,0.8500000000000014,1.6999999999999957,1.3152173913043474,1.7105173384731855,0.35789926826196156,0.7400934115512205,-2.700000000000003,5.199999999999999,-2.1540000000000017,-1.1450000000000002,-0.5899999999999981,0.1000000000000014,0.7999999999999989,1.7999999999999972,2.9700000000000015,3.380000000000001,4.927,0.7717391304347826,0.20652173913043478,0.021739130434782608
residual_stability_by_year_quarter,12h_prior,2025Q1,90,90,1.0222222222222221,1.2624016506605615,0.8999999999999986,0.6999999999999995,1.3000000000000007,1.2777777777777775,1.618915961033459,0.08585665452538542,1.503234250704585,-2.6999999999999997,5.199999999999999,-2.165999999999998,-0.7099999999999994,-0.29999999999999744,0.3000000000000007,0.8999999999999986,1.6000000000000014,2.599999999999998,2.9649999999999967,3.8649999999999984,0.8222222222222222,0.14444444444444443,0.03333333333333333
residual_stability_by_year_quarter,12h_prior,2025Q2,91,91,1.7967032967032963,1.6211416107484637,2.0,1.0,1.9000000000000004,2.0934065934065935,2.4139930897503907,-0.3866136412891606,0.5965679219328783,-2.900000000000002,6.5,-2.3600000000000008,-0.9000000000000021,-0.5,0.9000000000000004,2.0,2.8000000000000007,3.8000000000000007,3.9499999999999993,4.609999999999987,0.8461538461538461,0.15384615384615385,0.0
residual_stability_by_year_quarter,12h_prior,2025Q3,92,92,2.366304347826087,1.4145458770300265,2.5,1.0,1.924999999999999,2.4423913043478263,2.7529233473748844,-0.4064269393640698,-0.06812630246646068,-2.0,5.399999999999999,-0.8170000000000025,0.20999999999999738,0.5100000000000001,1.4750000000000005,2.5,3.3999999999999995,4.100000000000001,4.389999999999999,4.763000000000002,0.9565217391304348,0.043478260869565216,0.0
residual_stability_by_year_quarter,12h_prior,2025Q4,92,92,0.7576086956521741,1.342151274261019,0.75,0.9499999999999993,1.8250000000000037,1.225,1.5348488100022155,0.07189998390348899,-0.5452864889555853,-2.3000000000000007,3.6000000000000014,-1.7539999999999993,-1.3999999999999986,-1.0,-0.12500000000000086,0.75,1.7000000000000028,2.49,3.035,3.5090000000000003,0.6956521739130435,0.2717391304347826,0.03260869565217391
residual_stability_by_year_quarter,12h_prior,2026Q1,74,74,0.6972972972972974,1.3632126612229738,0.5499999999999989,0.7499999999999982,1.4750000000000005,1.1405405405405409,1.5229771697105177,0.4828420191533246,0.7762635485554239,-3.0,4.300000000000001,-1.9779999999999986,-1.1000000000000014,-0.9400000000000001,-0.1999999999999993,0.5499999999999989,1.2750000000000012,2.5,3.1049999999999973,4.226999999999999,0.7297297297297297,0.2702702702702703,0.0
residual_stability_by_year_quarter,24h_prior,2024Q1,16,16,1.9062500000000002,1.5176599311659602,1.9000000000000001,1.0500000000000007,2.099999999999999,2.1312500000000005,2.4068911483488407,-0.48986138913909777,-0.08662208049989406,-1.3000000000000007,4.199999999999999,-1.1800000000000006,-0.7000000000000002,0.15000000000000036,1.1000000000000005,1.9000000000000001,3.1999999999999997,3.6000000000000014,3.825000000000002,4.125,0.875,0.125,0.0
residual_stability_by_year_quarter,24h_prior,2024Q2,91,91,1.6021978021978023,1.5039930571632025,1.8999999999999984,1.0000000000000002,1.9000000000000004,1.887912087912088,2.1918430199664907,-0.4350408873898371,-0.16852625321892178,-2.8000000000000007,4.5,-1.7200000000000013,-0.8999999999999986,-0.5999999999999979,0.6999999999999993,1.8999999999999984,2.5999999999999996,3.3000000000000007,4.049999999999999,4.139999999999999,0.8241758241758241,0.16483516483516483,0.01098901098901099
