analysis,decision_rule,full_sample_chronological_block,rows,dates,mean_residual_c,standard_deviation_c,median_residual_c,median_absolute_deviation_c,interquartile_range_c,mean_absolute_error_c,root_mean_squared_error_c,skewness,excess_kurtosis,minimum_c,maximum_c,q01_c,q05_c,q10_c,q25_c,q50_c,q75_c,q90_c,q95_c,q99_c,underforecast_rate,overforecast_rate,exact_zero_rate
residual_stability_by_full_sample_chronological_block,12h_prior,1,183,183,1.7967213114754101,1.2627765343686572,1.8000000000000045,0.8999999999999952,1.6999999999999997,1.9005464480874321,2.194105366808016,-0.2006244176014518,-0.3702557368344035,-1.6999999999999993,4.600000000000001,-0.9179999999999988,-0.3999999999999986,0.0,1.0,1.8000000000000045,2.6999999999999997,3.3999999999999986,3.8899999999999997,4.136000000000004,0.8907103825136612,0.09836065573770492,0.01092896174863388
residual_stability_by_full_sample_chronological_block,12h_prior,2,182,182,1.034065934065934,1.3284993220424899,0.8000000000000007,0.7999999999999974,1.5,1.2879120879120876,1.6806265184464675,0.3880118315748016,0.9617293953117945,-2.700000000000003,5.199999999999999,-2.214000000000001,-0.8000000000000007,-0.3899999999999986,0.1999999999999993,0.8000000000000007,1.6999999999999993,2.9700000000000015,3.4949999999999988,4.956999999999998,0.8076923076923077,0.16483516483516483,0.027472527472527472
residual_stability_by_full_sample_chronological_block,12h_prior,3,183,183,1.9759562841530056,1.5642542155371284,2.1000000000000014,1.0,1.950000000000001,2.2087431693989075,2.517523286340716,-0.5251257061296036,0.45359776772974936,-2.900000000000002,6.5,-2.1359999999999983,-0.8800000000000022,-0.18000000000000257,1.0999999999999996,2.1000000000000014,3.0500000000000007,3.899999999999999,4.19,4.699999999999997,0.8797814207650273,0.11475409836065574,0.00546448087431694
residual_stability_by_full_sample_chronological_block,12h_prior,4,182,182,0.8791208791208791,1.4393841902653934,0.6999999999999993,0.8999999999999988,1.7999999999999998,1.2956043956043954,1.6832399422829483,0.3572517069980811,0.10300015307653121,-3.0,5.399999999999999,-1.8139999999999996,-1.2950000000000006,-0.9899999999999998,0.0,0.6999999999999993,1.7999999999999998,2.8000000000000003,3.400000000000002,4.338000000000001,0.7362637362637363,0.24725274725274726,0.016483516483516484
residual_stability_by_full_sample_chronological_block,24h_prior,1,183,183,1.7366120218579235,1.4048282118073534,1.9999999999999964,1.0000000000000036,2.0,1.9234972677595628,2.2312730077183915,-0.38186689843321925,-0.17092370407071655,-2.8000000000000007,4.5,-1.4360000000000017,-0.6999999999999993,-0.2000000000000021,0.7999999999999989,1.9999999999999964,2.799999999999999,3.5,3.980000000000001,4.254000000000001,0.8579234972677595,0.12568306010928962,0.01639344262295082
residual_stability_by_full_sample_chronological_block,24h_prior,2,182,182,1.065934065934066,1.416494761724632,1.0,0.8500000000000014,1.699999999999999,1.4065934065934067,1.7696463916976046,-0.11414850731346048,0.9820966971263809,-4.0,5.100000000000001,-2.4570000000000016,-1.1999999999999993,-0.5,0.1999999999999993,1.0,1.8999999999999984,2.8800000000000003,3.3000000000000007,4.413999999999996,0.7857142857142857,0.18681318681318682,0.027472527472527472
residual_stability_by_full_sample_chronological_block,24h_prior,3,183,183,2.0382513661202184,1.6255721569855965,2.299999999999997,1.0999999999999943,2.0500000000000007,2.2360655737704915,2.6043259514128,-0.19894730336090985,0.16950831499659413,-2.5,7.600000000000001,-1.771999999999999,-0.6899999999999995,-0.2000000000000021,1.0,2.299999999999997,3.0500000000000007,4.099999999999998,4.490000000000001,4.917999999999999,0.8633879781420765,0.13114754098360656,0.00546448087431694
residual_stability_by_full_sample_chronological_block,24h_prior,4,182,182,0.9318681318681319,1.471750873771925,0.8000000000000007,0.9500000000000011,1.900000000000005,1.3736263736263739,1.7385417661153477,0.1861470030514266,-0.3967681761323636,-2.5,4.5,-2.0949999999999998,-1.3999999999999986,-0.8899999999999987,-0.1000000000000014,0.8000000000000007,1.8000000000000036,3.0,3.4949999999999988,4.076,0.7087912087912088,0.2802197802197802,0.01098901098901099
residual_stability_by_full_sample_chronological_block,6h_prior,1,183,183,1.7967213114754101,1.2627765343686572,1.8000000000000045,0.8999999999999952,1.6999999999999997,1.9005464480874321,2.194105366808016,-0.2006244176014518,-0.3702557368344035,-1.6999999999999993,4.600000000000001,-0.9179999999999988,-0.3999999999999986,0.0,1.0,1.8000000000000045,2.6999999999999997,3.3999999999999986,3.8899999999999997,4.136000000000004,0.8907103825136612,0.09836065573770492,0.01092896174863388
residual_stability_by_full_sample_chronological_block,6h_prior,2,182,182,1.0423076923076922,1.3318541696115882,0.8000000000000007,0.700000000000002,1.5,1.2917582417582416,1.6883407551482328,0.4172330795524588,0.990889618834224,-2.700000000000003,5.199999999999999,-2.133,-0.8000000000000007,-0.3899999999999986,0.1999999999999993,0.8000000000000007,1.6999999999999993,2.9700000000000015,3.4949999999999988,4.956999999999998,0.8131868131868132,0.15934065934065933,0.027472527472527472
