analysis,decision_rule,target_year,rows,dates,mean_residual_c,standard_deviation_c,median_residual_c,median_absolute_deviation_c,interquartile_range_c,mean_absolute_error_c,root_mean_squared_error_c,skewness,excess_kurtosis,minimum_c,maximum_c,q01_c,q05_c,q10_c,q25_c,q50_c,q75_c,q90_c,q95_c,q99_c,underforecast_rate,overforecast_rate,exact_zero_rate
residual_stability_by_year,12h_prior,2024,291,291,1.5261168384879726,1.3658665457446615,1.5,1.0,1.9000000000000004,1.7006872852233679,2.046512413453494,-0.06370553493713635,-0.2215198926569113,-2.700000000000003,5.199999999999999,-1.6999999999999993,-0.6500000000000004,-0.1999999999999993,0.5999999999999996,1.5,2.5,3.3000000000000007,3.8000000000000007,4.330000000000011,0.852233676975945,0.13058419243986255,0.01718213058419244
residual_stability_by_year,12h_prior,2025,365,365,1.4873972602739725,1.5483259547267123,1.5,1.0999999999999979,2.1999999999999957,1.7613698630136985,2.1454826707319166,-0.04003050041242493,-0.09587444363448139,-2.900000000000002,6.5,-2.171999999999999,-1.0,-0.3999999999999986,0.4000000000000021,1.5,2.599999999999998,3.5,3.900000000000002,4.699999999999997,0.8301369863013699,0.15342465753424658,0.01643835616438356
residual_stability_by_year,12h_prior,2026,74,74,0.6972972972972974,1.3632126612229738,0.5499999999999989,0.7499999999999982,1.4750000000000005,1.1405405405405409,1.5229771697105177,0.4828420191533246,0.7762635485554239,-3.0,4.300000000000001,-1.9779999999999986,-1.1000000000000014,-0.9400000000000001,-0.1999999999999993,0.5499999999999989,1.2750000000000012,2.5,3.1049999999999973,4.226999999999999,0.7297297297297297,0.2702702702702703,0.0
residual_stability_by_year,24h_prior,2024,291,291,1.4687285223367696,1.4774458733924438,1.5,1.0,1.9000000000000021,1.7470790378006873,2.081467893354421,-0.34878521159331677,0.151436933618037,-4.0,4.899999999999999,-2.400000000000002,-1.0500000000000007,-0.5,0.5,1.5,2.400000000000002,3.3000000000000007,3.700000000000003,4.320000000000002,0.8213058419243986,0.16151202749140894,0.01718213058419244
residual_stability_by_year,24h_prior,2025,365,365,1.5315068493150685,1.5992509160222523,1.5,1.1000000000000014,2.2999999999999976,1.8076712328767122,2.212715433362613,0.05755009341524333,-0.08372541943595557,-2.6999999999999997,7.600000000000001,-2.099999999999998,-1.0,-0.5,0.4000000000000021,1.5,2.6999999999999997,3.599999999999998,4.1000000000000005,4.835999999999999,0.8054794520547945,0.1780821917808219,0.01643835616438356
residual_stability_by_year,24h_prior,2026,74,74,0.918918918918919,1.4897527307628116,0.799999999999998,0.8999999999999958,1.7749999999999977,1.3378378378378377,1.7417760429469065,0.3574317440294748,0.1140128919495238,-2.5,4.5,-2.135,-1.335,-0.7400000000000008,-0.0999999999999978,0.799999999999998,1.6749999999999998,3.070000000000001,3.7699999999999982,4.427000000000001,0.7297297297297297,0.2702702702702703,0.0
residual_stability_by_year,6h_prior,2024,291,291,1.5278350515463919,1.3694002413370787,1.5,1.0,1.9000000000000004,1.7017182130584194,2.050144576244601,-0.04713582558823942,-0.23604080400080418,-2.700000000000003,5.199999999999999,-1.6999999999999993,-0.6500000000000004,-0.1999999999999993,0.5999999999999996,1.5,2.5,3.3000000000000007,3.8000000000000007,4.330000000000011,0.852233676975945,0.13058419243986255,0.01718213058419244
residual_stability_by_year,6h_prior,2025,365,365,1.4964383561643837,1.5352142795841393,1.5,1.0999999999999979,2.1999999999999957,1.7621917808219176,2.142370982033115,-0.06213399551249179,-0.047215856813279444,-2.900000000000002,6.5,-2.3000000000000007,-0.9000000000000021,-0.3999999999999986,0.4000000000000021,1.5,2.599999999999998,3.5,3.9000000000000017,4.699999999999997,0.8328767123287671,0.15342465753424658,0.0136986301369863
residual_stability_by_year,6h_prior,2026,74,74,0.7527027027027028,1.3801154381907048,0.6000000000000014,0.7999999999999989,1.4999999999999991,1.1743243243243242,1.563822413364299,0.4892165782308219,0.9228642954259962,-3.0,4.5,-1.9779999999999986,-1.1000000000000014,-0.9400000000000001,-0.125,0.6000000000000014,1.3749999999999991,2.5,3.1049999999999973,4.354,0.7432432432432432,0.25675675675675674,0.0
residual_stability_by_year,ALL_DATE_RULES,2024,1164,291,1.5212199312714778,1.3789804786620572,1.599999999999998,0.9000000000000019,1.8999999999999986,1.714175257731959,2.0528184464007433,-0.15251701210104693,-0.08750971764247462,-4.0,5.199999999999999,-1.6999999999999993,-0.6999999999999993,-0.1999999999999993,0.5999999999999979,1.599999999999998,2.4999999999999964,3.3000000000000007,3.700000000000003,4.300000000000004,0.8470790378006873,0.13831615120274915,0.014604810996563574
