event_date,empirical_period,rules,static_binary_brier,static_binary_log,static_categorical_log,static_multiclass_brier,selected_gp_binary_brier,selected_gp_binary_log,selected_gp_categorical_log,selected_gp_multiclass_brier,pool_binary_brier,pool_binary_log,pool_categorical_log,pool_multiclass_brier,market_binary_brier,market_binary_log,market_categorical_log,market_multiclass_brier
2026-04-11,market_development,4,0.0644974770,0.2062560221,1.4324582622,0.7094722473,0.0621845035,0.2010266628,1.3916772089,0.6840295388,0.0917415899,0.2859665393,2.1148042780,1.0091574886,0.0993100170,0.3142694715,2.3715708650,1.1000581731
2026-04-12,market_development,4,0.0619294916,0.1977140629,1.3577143500,0.6812244077,0.0626214598,0.2012092164,1.3908736954,0.6888360579,0.0522511815,0.1672351677,1.0986478739,0.5747629961,0.0499458693,0.1607162353,1.0495719668,0.5607872731
2026-04-13,market_development,4,0.0692775122,0.2208395136,1.5587141818,0.7620526347,0.0737866019,0.2360618566,1.6954468806,0.8116526213,0.0620263059,0.1919591897,1.2896364026,0.6822893648,0.0601315739,0.1859413721,1.2237836841,0.6634584712
2026-04-14,market_development,3,0.0679724277,0.2130399680,1.4823929798,0.7476967042,0.0717897155,0.2265995842,1.6050938084,0.7896868708,0.0449766301,0.1498127853,0.9642642248,0.4947429309,0.0406531212,0.1377049230,0.8713890766,0.4507348615
2026-04-15,market_development,4,0.0649092664,0.2030323109,1.3939900706,0.7140019307,0.0631508502,0.2009028308,1.3839288515,0.6946593527,0.0595067072,0.1803752773,1.1810899380,0.6545737790,0.0596923011,0.1775047996,1.1454267329,0.6579435434
2026-04-16,market_development,1,0.0802131828,0.2534481576,1.8433317481,0.8823450112,0.0870255525,0.2858286779,2.1568214247,0.9572810772,0.0799428481,0.2386771011,1.6734240608,0.8793713293,0.0851176364,0.2401440218,1.5968094889,0.8764757132
2026-04-17,market_development,3,0.0611217781,0.1973966962,1.3593760429,0.6723395587,0.0614300260,0.1990628967,1.3754362334,0.6757302863,0.0609421242,0.1839841826,1.2035737131,0.6703633664,0.0625194394,0.1837567658,1.1763462023,0.6849460935
2026-04-18,market_development,3,0.0962968153,0.3039863589,2.2771195361,1.0592649688,0.0901982337,0.2815998839,2.0795424622,0.9921805704,0.0600028645,0.1860845275,1.2411141500,0.6600315091,0.0560415758,0.1737464595,1.1343377389,0.6203712272
2026-04-19,market_development,4,0.0804647933,0.2598825298,1.9138420868,0.8851127266,0.0829487870,0.2733513079,2.0467763123,0.9124366565,0.0901903751,0.2727717869,1.9737427555,0.9920941258,0.0933887159,0.2747533513,1.9634604758,1.0234367557
2026-04-20,market_development,4,0.0612850298,0.1983999060,1.3691727427,0.6741353282,0.0623650841,0.2021678791,1.4027922559,0.6860159248,0.0486627695,0.1574085407,1.0164692137,0.5352904649,0.0463739886,0.1497181533,0.9520865042,0.5111666230
2026-04-21,market_development,4,0.0661369365,0.2116759253,1.4801662969,0.7275063015,0.0677627325,0.2172365460,1.5299297550,0.7453900580,0.0525294079,0.1665829182,1.0859409345,0.5778234869,0.0506965625,0.1589832684,1.0161114623,0.5610927644
2026-04-22,market_development,4,0.0627321058,0.2015602932,1.3936368997,0.6900531635,0.0647554132,0.2081131468,1.4510586912,0.7123095455,0.0494224106,0.1589699680,1.0291302135,0.5436465166,0.0473342159,0.1513355744,0.9612480203,0.5215590809
2026-04-23,market_development,4,0.0776772130,0.2502505107,1.8258199457,0.8544493431,0.0797827460,0.2597703458,1.9172297834,0.8776102060,0.1040499037,0.3430000115,2.6462479309,1.1445489408,0.1126425170,0.3794742039,2.9641505859,1.2168007640
2026-04-24,market_development,4,0.0782705583,0.2551725630,1.8772816267,0.8609761409,0.0718808101,0.2305131309,1.6477023230,0.7906889108,0.0368985966,0.1321646518,0.8443701621,0.4058845627,0.0330221875,0.1193173001,0.7408640023,0.3553301356
2026-04-25,market_development,4,0.0614329112,0.1985667026,1.3699402733,0.6757620237,0.0619107299,0.2006082080,1.3889674518,0.6810180292,0.0629376896,0.1938602557,1.3016052537,0.6923145856,0.0644528693,0.1939059623,1.2867943695,0.7104098080
2026-04-26,market_development,4,0.0763127010,0.2440173188,1.7658023470,0.8394397114,0.0774203394,0.2490904822,1.8146183554,0.8516237331,0.0507004418,0.1655431436,1.0890068448,0.5577048598,0.0460112045,0.1525829430,0.9874272637,0.5143176200
2026-04-27,market_development,4,0.0612453258,0.1981911873,1.3671841492,0.6736985835,0.0620561823,0.2011601526,1.3939175194,0.6826180050,0.0662202200,0.1943477157,1.2708774823,0.7284224201,0.0695077216,0.1961581035,1.2487234244,0.7613314352
2026-04-28,market_development,4,0.0770778599,0.2468324245,1.7917576921,0.8478564590,0.0782560321,0.2527547812,1.8496929008,0.8608163527,0.0969072733,0.2963695215,2.1834664075,1.0659800068,0.1021399659,0.3091693129,2.2778633779,1.1227420642
2026-04-29,market_development,4,0.0756954221,0.2382316710,1.7045531762,0.8326496436,0.0757481178,0.2405402945,1.7312174730,0.8332292957,0.0955574707,0.2952844072,2.1862835400,1.0511321773,0.1019757841,0.3130392528,2.3293157743,1.1233457917
2026-04-30,market_development,3,0.0032079357,0.0289785214,0.1624015502,0.0352872924,0.0034719964,0.0304499851,0.1709154422,0.0381919605,0.0082868187,0.0472398327,0.2661325765,0.0911550059,0.0092306061,0.0500154738,0.2876598714,0.1061167334
