request_id,run_date,run_init_utc,run_parameter,cycle_utc,cycle_role,retrieval_selected,required_for_core_design,run_period,weather_only_training_start,weather_only_training_end,forecast_start_hkt,forecast_end_hkt,first_local_date_covered,last_local_date_covered,forecast_hours,model,hourly_variable,timezone,temperature_unit,cell_selection,latitude,longitude,endpoint,request_url,cache_path,request_status,network_request_made,market_price_accessed,outcome_accessed
ifs_20250910_06,2025-09-10,2025-09-10T06:00:00+00:00,2025-09-10T06:00,6,supplementary,False,False,weather_only_training,2024-03-16,2026-03-15,2025-09-10T14:00:00+00:00,2025-09-20T13:00:00+00:00,2025-09-10,2025-09-20,240,ecmwf_ifs,temperature_2m,Asia/Hong_Kong,celsius,land,22.3019444444,114.1741666667,https://single-runs-api.open-meteo.com/v1/forecast,https://single-runs-api.open-meteo.com/v1/forecast?latitude=22.3019444444&longitude=114.1741666667&run=2025-09-10T06%3A00&hourly=temperature_2m&models=ecmwf_ifs&timezone=Asia%2FHong_Kong&temperature_unit=celsius&cell_selection=land&forecast_hours=240,data/raw/v2/open_meteo_single_runs_two_year/2025/09/ecmwf_ifs_20250910_06.json,PLANNED,False,False,False
ifs_20250910_12,2025-09-10,2025-09-10T12:00:00+00:00,2025-09-10T12:00,12,core,True,True,weather_only_training,2024-03-16,2026-03-15,2025-09-10T20:00:00+00:00,2025-09-20T19:00:00+00:00,2025-09-10,2025-09-20,240,ecmwf_ifs,temperature_2m,Asia/Hong_Kong,celsius,land,22.3019444444,114.1741666667,https://single-runs-api.open-meteo.com/v1/forecast,https://single-runs-api.open-meteo.com/v1/forecast?latitude=22.3019444444&longitude=114.1741666667&run=2025-09-10T12%3A00&hourly=temperature_2m&models=ecmwf_ifs&timezone=Asia%2FHong_Kong&temperature_unit=celsius&cell_selection=land&forecast_hours=240,data/raw/v2/open_meteo_single_runs_two_year/2025/09/ecmwf_ifs_20250910_12.json,PLANNED,False,False,False
ifs_20250910_18,2025-09-10,2025-09-10T18:00:00+00:00,2025-09-10T18:00,18,supplementary,False,False,weather_only_training,2024-03-16,2026-03-15,2025-09-11T02:00:00+00:00,2025-09-21T01:00:00+00:00,2025-09-11,2025-09-21,240,ecmwf_ifs,temperature_2m,Asia/Hong_Kong,celsius,land,22.3019444444,114.1741666667,https://single-runs-api.open-meteo.com/v1/forecast,https://single-runs-api.open-meteo.com/v1/forecast?latitude=22.3019444444&longitude=114.1741666667&run=2025-09-10T18%3A00&hourly=temperature_2m&models=ecmwf_ifs&timezone=Asia%2FHong_Kong&temperature_unit=celsius&cell_selection=land&forecast_hours=240,data/raw/v2/open_meteo_single_runs_two_year/2025/09/ecmwf_ifs_20250910_18.json,PLANNED,False,False,False
ifs_20250911_00,2025-09-11,2025-09-11T00:00:00+00:00,2025-09-11T00:00,0,core,True,True,weather_only_training,2024-03-16,2026-03-15,2025-09-11T08:00:00+00:00,2025-09-21T07:00:00+00:00,2025-09-11,2025-09-21,240,ecmwf_ifs,temperature_2m,Asia/Hong_Kong,celsius,land,22.3019444444,114.1741666667,https://single-runs-api.open-meteo.com/v1/forecast,https://single-runs-api.open-meteo.com/v1/forecast?latitude=22.3019444444&longitude=114.1741666667&run=2025-09-11T00%3A00&hourly=temperature_2m&models=ecmwf_ifs&timezone=Asia%2FHong_Kong&temperature_unit=celsius&cell_selection=land&forecast_hours=240,data/raw/v2/open_meteo_single_runs_two_year/2025/09/ecmwf_ifs_20250911_00.json,PLANNED,False,False,False
ifs_20250911_06,2025-09-11,2025-09-11T06:00:00+00:00,2025-09-11T06:00,6,supplementary,False,False,weather_only_training,2024-03-16,2026-03-15,2025-09-11T14:00:00+00:00,2025-09-21T13:00:00+00:00,2025-09-11,2025-09-21,240,ecmwf_ifs,temperature_2m,Asia/Hong_Kong,celsius,land,22.3019444444,114.1741666667,https://single-runs-api.open-meteo.com/v1/forecast,https://single-runs-api.open-meteo.com/v1/forecast?latitude=22.3019444444&longitude=114.1741666667&run=2025-09-11T06%3A00&hourly=temperature_2m&models=ecmwf_ifs&timezone=Asia%2FHong_Kong&temperature_unit=celsius&cell_selection=land&forecast_hours=240,data/raw/v2/open_meteo_single_runs_two_year/2025/09/ecmwf_ifs_20250911_06.json,PLANNED,False,False,False
ifs_20250911_12,2025-09-11,2025-09-11T12:00:00+00:00,2025-09-11T12:00,12,core,True,True,weather_only_training,2024-03-16,2026-03-15,2025-09-11T20:00:00+00:00,2025-09-21T19:00:00+00:00,2025-09-11,2025-09-21,240,ecmwf_ifs,temperature_2m,Asia/Hong_Kong,celsius,land,22.3019444444,114.1741666667,https://single-runs-api.open-meteo.com/v1/forecast,https://single-runs-api.open-meteo.com/v1/forecast?latitude=22.3019444444&longitude=114.1741666667&run=2025-09-11T12%3A00&hourly=temperature_2m&models=ecmwf_ifs&timezone=Asia%2FHong_Kong&temperature_unit=celsius&cell_selection=land&forecast_hours=240,data/raw/v2/open_meteo_single_runs_two_year/2025/09/ecmwf_ifs_20250911_12.json,PLANNED,False,False,False
ifs_20250911_18,2025-09-11,2025-09-11T18:00:00+00:00,2025-09-11T18:00,18,supplementary,False,False,weather_only_training,2024-03-16,2026-03-15,2025-09-12T02:00:00+00:00,2025-09-22T01:00:00+00:00,2025-09-12,2025-09-22,240,ecmwf_ifs,temperature_2m,Asia/Hong_Kong,celsius,land,22.3019444444,114.1741666667,https://single-runs-api.open-meteo.com/v1/forecast,https://single-runs-api.open-meteo.com/v1/forecast?latitude=22.3019444444&longitude=114.1741666667&run=2025-09-11T18%3A00&hourly=temperature_2m&models=ecmwf_ifs&timezone=Asia%2FHong_Kong&temperature_unit=celsius&cell_selection=land&forecast_hours=240,data/raw/v2/open_meteo_single_runs_two_year/2025/09/ecmwf_ifs_20250911_18.json,PLANNED,False,False,False
ifs_20250912_00,2025-09-12,2025-09-12T00:00:00+00:00,2025-09-12T00:00,0,core,True,True,weather_only_training,2024-03-16,2026-03-15,2025-09-12T08:00:00+00:00,2025-09-22T07:00:00+00:00,2025-09-12,2025-09-22,240,ecmwf_ifs,temperature_2m,Asia/Hong_Kong,celsius,land,22.3019444444,114.1741666667,https://single-runs-api.open-meteo.com/v1/forecast,https://single-runs-api.open-meteo.com/v1/forecast?latitude=22.3019444444&longitude=114.1741666667&run=2025-09-12T00%3A00&hourly=temperature_2m&models=ecmwf_ifs&timezone=Asia%2FHong_Kong&temperature_unit=celsius&cell_selection=land&forecast_hours=240,data/raw/v2/open_meteo_single_runs_two_year/2025/09/ecmwf_ifs_20250912_00.json,PLANNED,False,False,False
ifs_20250912_06,2025-09-12,2025-09-12T06:00:00+00:00,2025-09-12T06:00,6,supplementary,False,False,weather_only_training,2024-03-16,2026-03-15,2025-09-12T14:00:00+00:00,2025-09-22T13:00:00+00:00,2025-09-12,2025-09-22,240,ecmwf_ifs,temperature_2m,Asia/Hong_Kong,celsius,land,22.3019444444,114.1741666667,https://single-runs-api.open-meteo.com/v1/forecast,https://single-runs-api.open-meteo.com/v1/forecast?latitude=22.3019444444&longitude=114.1741666667&run=2025-09-12T06%3A00&hourly=temperature_2m&models=ecmwf_ifs&timezone=Asia%2FHong_Kong&temperature_unit=celsius&cell_selection=land&forecast_hours=240,data/raw/v2/open_meteo_single_runs_two_year/2025/09/ecmwf_ifs_20250912_06.json,PLANNED,False,False,False
ifs_20250912_12,2025-09-12,2025-09-12T12:00:00+00:00,2025-09-12T12:00,12,core,True,True,weather_only_training,2024-03-16,2026-03-15,2025-09-12T20:00:00+00:00,2025-09-22T19:00:00+00:00,2025-09-12,2025-09-22,240,ecmwf_ifs,temperature_2m,Asia/Hong_Kong,celsius,land,22.3019444444,114.1741666667,https://single-runs-api.open-meteo.com/v1/forecast,https://single-runs-api.open-meteo.com/v1/forecast?latitude=22.3019444444&longitude=114.1741666667&run=2025-09-12T12%3A00&hourly=temperature_2m&models=ecmwf_ifs&timezone=Asia%2FHong_Kong&temperature_unit=celsius&cell_selection=land&forecast_hours=240,data/raw/v2/open_meteo_single_runs_two_year/2025/09/ecmwf_ifs_20250912_12.json,PLANNED,False,False,False
ifs_20250912_18,2025-09-12,2025-09-12T18:00:00+00:00,2025-09-12T18:00,18,supplementary,False,False,weather_only_training,2024-03-16,2026-03-15,2025-09-13T02:00:00+00:00,2025-09-23T01:00:00+00:00,2025-09-13,2025-09-23,240,ecmwf_ifs,temperature_2m,Asia/Hong_Kong,celsius,land,22.3019444444,114.1741666667,https://single-runs-api.open-meteo.com/v1/forecast,https://single-runs-api.open-meteo.com/v1/forecast?latitude=22.3019444444&longitude=114.1741666667&run=2025-09-12T18%3A00&hourly=temperature_2m&models=ecmwf_ifs&timezone=Asia%2FHong_Kong&temperature_unit=celsius&cell_selection=land&forecast_hours=240,data/raw/v2/open_meteo_single_runs_two_year/2025/09/ecmwf_ifs_20250912_18.json,PLANNED,False,False,False
ifs_20250913_00,2025-09-13,2025-09-13T00:00:00+00:00,2025-09-13T00:00,0,core,True,True,weather_only_training,2024-03-16,2026-03-15,2025-09-13T08:00:00+00:00,2025-09-23T07:00:00+00:00,2025-09-13,2025-09-23,240,ecmwf_ifs,temperature_2m,Asia/Hong_Kong,celsius,land,22.3019444444,114.1741666667,https://single-runs-api.open-meteo.com/v1/forecast,https://single-runs-api.open-meteo.com/v1/forecast?latitude=22.3019444444&longitude=114.1741666667&run=2025-09-13T00%3A00&hourly=temperature_2m&models=ecmwf_ifs&timezone=Asia%2FHong_Kong&temperature_unit=celsius&cell_selection=land&forecast_hours=240,data/raw/v2/open_meteo_single_runs_two_year/2025/09/ecmwf_ifs_20250913_00.json,PLANNED,False,False,False
ifs_20250913_06,2025-09-13,2025-09-13T06:00:00+00:00,2025-09-13T06:00,6,supplementary,False,False,weather_only_training,2024-03-16,2026-03-15,2025-09-13T14:00:00+00:00,2025-09-23T13:00:00+00:00,2025-09-13,2025-09-23,240,ecmwf_ifs,temperature_2m,Asia/Hong_Kong,celsius,land,22.3019444444,114.1741666667,https://single-runs-api.open-meteo.com/v1/forecast,https://single-runs-api.open-meteo.com/v1/forecast?latitude=22.3019444444&longitude=114.1741666667&run=2025-09-13T06%3A00&hourly=temperature_2m&models=ecmwf_ifs&timezone=Asia%2FHong_Kong&temperature_unit=celsius&cell_selection=land&forecast_hours=240,data/raw/v2/open_meteo_single_runs_two_year/2025/09/ecmwf_ifs_20250913_06.json,PLANNED,False,False,False
ifs_20250913_12,2025-09-13,2025-09-13T12:00:00+00:00,2025-09-13T12:00,12,core,True,True,weather_only_training,2024-03-16,2026-03-15,2025-09-13T20:00:00+00:00,2025-09-23T19:00:00+00:00,2025-09-13,2025-09-23,240,ecmwf_ifs,temperature_2m,Asia/Hong_Kong,celsius,land,22.3019444444,114.1741666667,https://single-runs-api.open-meteo.com/v1/forecast,https://single-runs-api.open-meteo.com/v1/forecast?latitude=22.3019444444&longitude=114.1741666667&run=2025-09-13T12%3A00&hourly=temperature_2m&models=ecmwf_ifs&timezone=Asia%2FHong_Kong&temperature_unit=celsius&cell_selection=land&forecast_hours=240,data/raw/v2/open_meteo_single_runs_two_year/2025/09/ecmwf_ifs_20250913_12.json,PLANNED,False,False,False
ifs_20250913_18,2025-09-13,2025-09-13T18:00:00+00:00,2025-09-13T18:00,18,supplementary,False,False,weather_only_training,2024-03-16,2026-03-15,2025-09-14T02:00:00+00:00,2025-09-24T01:00:00+00:00,2025-09-14,2025-09-24,240,ecmwf_ifs,temperature_2m,Asia/Hong_Kong,celsius,land,22.3019444444,114.1741666667,https://single-runs-api.open-meteo.com/v1/forecast,https://single-runs-api.open-meteo.com/v1/forecast?latitude=22.3019444444&longitude=114.1741666667&run=2025-09-13T18%3A00&hourly=temperature_2m&models=ecmwf_ifs&timezone=Asia%2FHong_Kong&temperature_unit=celsius&cell_selection=land&forecast_hours=240,data/raw/v2/open_meteo_single_runs_two_year/2025/09/ecmwf_ifs_20250913_18.json,PLANNED,False,False,False
