request_id,run_date,run_init_utc,cycle_utc,cycle_role,model,request_url,cache_path,status,attempts,network_retrieved,cache_reused,response_sha256,compressed_file_sha256,compressed_file_bytes,hourly_rows,first_time,last_time,returned_timezone,returned_latitude,returned_longitude,returned_elevation,error,market_price_accessed,outcome_accessed,failure_type,successful_core_runs_on_date,retry_with_relaxed_validation,permanently_unavailable,repair_role,original_core_cycle,validation_rule
ifs_20240923_12,2024-09-23,2024-09-23 12:00:00+00:00,12,core,ecmwf_ifs,https://single-runs-api.open-meteo.com/v1/forecast?latitude=22.3019444444&longitude=114.1741666667&run=2024-09-23T12%3A00&hourly=temperature_2m&models=ecmwf_ifs&timezone=Asia%2FHong_Kong&temperature_unit=celsius&cell_selection=land&forecast_hours=240,data/raw/v2/open_meteo_single_runs_two_year/2024/09/ecmwf_ifs_20240923_12.json.gz,FAILED,1,False,False,146b8af776bb1e1ee1632f10be8081b554351a988708fd7b2498df407d677dba,,0,0,,,,,,,ValueError: Temperature response contains missing values.,False,False,partial_or_missing_temperature,1,True,False,core_partial_response_retry,True,retain when at least one Asia/Hong_Kong local date contains 24 nonmissing hourly temperatures
ifs_20240926_12,2024-09-26,2024-09-26 12:00:00+00:00,12,core,ecmwf_ifs,https://single-runs-api.open-meteo.com/v1/forecast?latitude=22.3019444444&longitude=114.1741666667&run=2024-09-26T12%3A00&hourly=temperature_2m&models=ecmwf_ifs&timezone=Asia%2FHong_Kong&temperature_unit=celsius&cell_selection=land&forecast_hours=240,data/raw/v2/open_meteo_single_runs_two_year/2024/09/ecmwf_ifs_20240926_12.json.gz,FAILED,1,False,False,13d401aa6960810af6a068b6269ae4d4b193cfe619c2714e739e569fe1d97f42,,0,0,,,,,,,ValueError: Temperature response contains missing values.,False,False,partial_or_missing_temperature,1,True,False,core_partial_response_retry,True,retain when at least one Asia/Hong_Kong local date contains 24 nonmissing hourly temperatures
ifs_20240927_12,2024-09-27,2024-09-27 12:00:00+00:00,12,core,ecmwf_ifs,https://single-runs-api.open-meteo.com/v1/forecast?latitude=22.3019444444&longitude=114.1741666667&run=2024-09-27T12%3A00&hourly=temperature_2m&models=ecmwf_ifs&timezone=Asia%2FHong_Kong&temperature_unit=celsius&cell_selection=land&forecast_hours=240,data/raw/v2/open_meteo_single_runs_two_year/2024/09/ecmwf_ifs_20240927_12.json.gz,FAILED,1,False,False,23ed641d7f1972e89dc4f5aba294337612cef89faeaf10634c425d302e11ae10,,0,0,,,,,,,ValueError: Temperature response contains missing values.,False,False,partial_or_missing_temperature,0,True,False,core_partial_response_retry,True,retain when at least one Asia/Hong_Kong local date contains 24 nonmissing hourly temperatures
ifs_20240928_00,2024-09-28,2024-09-28 00:00:00+00:00,0,core,ecmwf_ifs,https://single-runs-api.open-meteo.com/v1/forecast?latitude=22.3019444444&longitude=114.1741666667&run=2024-09-28T00%3A00&hourly=temperature_2m&models=ecmwf_ifs&timezone=Asia%2FHong_Kong&temperature_unit=celsius&cell_selection=land&forecast_hours=240,data/raw/v2/open_meteo_single_runs_two_year/2024/09/ecmwf_ifs_20240928_00.json.gz,FAILED,1,False,False,807e1a1bcb85bf91cf4c7d58ac26587b37655296a21b457753961a3d3ca39ff2,,0,0,,,,,,,ValueError: Temperature response contains missing values.,False,False,partial_or_missing_temperature,0,True,False,core_partial_response_retry,True,retain when at least one Asia/Hong_Kong local date contains 24 nonmissing hourly temperatures
ifs_20240929_12,2024-09-29,2024-09-29 12:00:00+00:00,12,core,ecmwf_ifs,https://single-runs-api.open-meteo.com/v1/forecast?latitude=22.3019444444&longitude=114.1741666667&run=2024-09-29T12%3A00&hourly=temperature_2m&models=ecmwf_ifs&timezone=Asia%2FHong_Kong&temperature_unit=celsius&cell_selection=land&forecast_hours=240,data/raw/v2/open_meteo_single_runs_two_year/2024/09/ecmwf_ifs_20240929_12.json.gz,FAILED,1,False,False,00caa87573f38f20ba7ccfe25cc23654cd7d12327033e09479f4da174b993394,,0,0,,,,,,,ValueError: Temperature response contains missing values.,False,False,partial_or_missing_temperature,0,True,False,core_partial_response_retry,True,retain when at least one Asia/Hong_Kong local date contains 24 nonmissing hourly temperatures
ifs_20241207_12,2024-12-07,2024-12-07 12:00:00+00:00,12,core,ecmwf_ifs,https://single-runs-api.open-meteo.com/v1/forecast?latitude=22.3019444444&longitude=114.1741666667&run=2024-12-07T12%3A00&hourly=temperature_2m&models=ecmwf_ifs&timezone=Asia%2FHong_Kong&temperature_unit=celsius&cell_selection=land&forecast_hours=240,data/raw/v2/open_meteo_single_runs_two_year/2024/12/ecmwf_ifs_20241207_12.json.gz,FAILED,1,False,False,4a075b4377646e4e0239c8860503ebd09a3eca35159a31c3e8316f3371e197b6,,0,0,,,,,,,ValueError: Temperature response contains missing values.,False,False,partial_or_missing_temperature,1,True,False,core_partial_response_retry,True,retain when at least one Asia/Hong_Kong local date contains 24 nonmissing hourly temperatures
ifs_20241214_00,2024-12-14,2024-12-14 00:00:00+00:00,0,core,ecmwf_ifs,https://single-runs-api.open-meteo.com/v1/forecast?latitude=22.3019444444&longitude=114.1741666667&run=2024-12-14T00%3A00&hourly=temperature_2m&models=ecmwf_ifs&timezone=Asia%2FHong_Kong&temperature_unit=celsius&cell_selection=land&forecast_hours=240,data/raw/v2/open_meteo_single_runs_two_year/2024/12/ecmwf_ifs_20241214_00.json.gz,FAILED,1,False,False,6b19b97ac3e79e6e2470b70863183c076316e0baf775a4688e423d349e10751a,,0,0,,,,,,,ValueError: Temperature response contains missing values.,False,False,partial_or_missing_temperature,0,True,False,core_partial_response_retry,True,retain when at least one Asia/Hong_Kong local date contains 24 nonmissing hourly temperatures
ifs_20241217_00,2024-12-17,2024-12-17 00:00:00+00:00,0,core,ecmwf_ifs,https://single-runs-api.open-meteo.com/v1/forecast?latitude=22.3019444444&longitude=114.1741666667&run=2024-12-17T00%3A00&hourly=temperature_2m&models=ecmwf_ifs&timezone=Asia%2FHong_Kong&temperature_unit=celsius&cell_selection=land&forecast_hours=240,data/raw/v2/open_meteo_single_runs_two_year/2024/12/ecmwf_ifs_20241217_00.json.gz,FAILED,1,False,False,272006422469dd8cf691a59310fc9bb444cf1da0c2b811b990cfe682c285f4a4,,0,0,,,,,,,ValueError: Temperature response contains missing values.,False,False,partial_or_missing_temperature,0,True,False,core_partial_response_retry,True,retain when at least one Asia/Hong_Kong local date contains 24 nonmissing hourly temperatures
ifs_20241218_00,2024-12-18,2024-12-18 00:00:00+00:00,0,core,ecmwf_ifs,https://single-runs-api.open-meteo.com/v1/forecast?latitude=22.3019444444&longitude=114.1741666667&run=2024-12-18T00%3A00&hourly=temperature_2m&models=ecmwf_ifs&timezone=Asia%2FHong_Kong&temperature_unit=celsius&cell_selection=land&forecast_hours=240,data/raw/v2/open_meteo_single_runs_two_year/2024/12/ecmwf_ifs_20241218_00.json.gz,FAILED,1,False,False,590726d08d81544151a5032acfbb94ea19b1fef42ad5efd4c284ff724442fdf7,,0,0,,,,,,,ValueError: Temperature response contains missing values.,False,False,partial_or_missing_temperature,1,True,False,core_partial_response_retry,True,retain when at least one Asia/Hong_Kong local date contains 24 nonmissing hourly temperatures
ifs_20241221_12,2024-12-21,2024-12-21 12:00:00+00:00,12,core,ecmwf_ifs,https://single-runs-api.open-meteo.com/v1/forecast?latitude=22.3019444444&longitude=114.1741666667&run=2024-12-21T12%3A00&hourly=temperature_2m&models=ecmwf_ifs&timezone=Asia%2FHong_Kong&temperature_unit=celsius&cell_selection=land&forecast_hours=240,data/raw/v2/open_meteo_single_runs_two_year/2024/12/ecmwf_ifs_20241221_12.json.gz,FAILED,1,False,False,b8ba545cc2214bfee6217dfd32e50e24b64aeff3e26f466942592927d49ece7a,,0,0,,,,,,,ValueError: Temperature response contains missing values.,False,False,partial_or_missing_temperature,0,True,False,core_partial_response_retry,True,retain when at least one Asia/Hong_Kong local date contains 24 nonmissing hourly temperatures
ifs_20241222_12,2024-12-22,2024-12-22 12:00:00+00:00,12,core,ecmwf_ifs,https://single-runs-api.open-meteo.com/v1/forecast?latitude=22.3019444444&longitude=114.1741666667&run=2024-12-22T12%3A00&hourly=temperature_2m&models=ecmwf_ifs&timezone=Asia%2FHong_Kong&temperature_unit=celsius&cell_selection=land&forecast_hours=240,data/raw/v2/open_meteo_single_runs_two_year/2024/12/ecmwf_ifs_20241222_12.json.gz,FAILED,1,False,False,9a6449afb90630cefef53fabdb76f2812a11bb9ca52b505edbe311307544cf79,,0,0,,,,,,,ValueError: Temperature response contains missing values.,False,False,partial_or_missing_temperature,1,True,False,core_partial_response_retry,True,retain when at least one Asia/Hong_Kong local date contains 24 nonmissing hourly temperatures
ifs_20241223_00,2024-12-23,2024-12-23 00:00:00+00:00,0,core,ecmwf_ifs,https://single-runs-api.open-meteo.com/v1/forecast?latitude=22.3019444444&longitude=114.1741666667&run=2024-12-23T00%3A00&hourly=temperature_2m&models=ecmwf_ifs&timezone=Asia%2FHong_Kong&temperature_unit=celsius&cell_selection=land&forecast_hours=240,data/raw/v2/open_meteo_single_runs_two_year/2024/12/ecmwf_ifs_20241223_00.json.gz,FAILED,1,False,False,ea25882e6d917bb296fc9e83b6aa533bc72b1435d4420ac425c73bde2d8b10b3,,0,0,,,,,,,ValueError: Temperature response contains missing values.,False,False,partial_or_missing_temperature,0,True,False,core_partial_response_retry,True,retain when at least one Asia/Hong_Kong local date contains 24 nonmissing hourly temperatures
ifs_20241225_12,2024-12-25,2024-12-25 12:00:00+00:00,12,core,ecmwf_ifs,https://single-runs-api.open-meteo.com/v1/forecast?latitude=22.3019444444&longitude=114.1741666667&run=2024-12-25T12%3A00&hourly=temperature_2m&models=ecmwf_ifs&timezone=Asia%2FHong_Kong&temperature_unit=celsius&cell_selection=land&forecast_hours=240,data/raw/v2/open_meteo_single_runs_two_year/2024/12/ecmwf_ifs_20241225_12.json.gz,FAILED,1,False,False,671a43afd92ec5d9515fb3732ac3611595dfae86611c1e37fed835aef24e2449,,0,0,,,,,,,ValueError: Temperature response contains missing values.,False,False,partial_or_missing_temperature,0,True,False,core_partial_response_retry,True,retain when at least one Asia/Hong_Kong local date contains 24 nonmissing hourly temperatures
ifs_20241228_00,2024-12-28,2024-12-28 00:00:00+00:00,0,core,ecmwf_ifs,https://single-runs-api.open-meteo.com/v1/forecast?latitude=22.3019444444&longitude=114.1741666667&run=2024-12-28T00%3A00&hourly=temperature_2m&models=ecmwf_ifs&timezone=Asia%2FHong_Kong&temperature_unit=celsius&cell_selection=land&forecast_hours=240,data/raw/v2/open_meteo_single_runs_two_year/2024/12/ecmwf_ifs_20241228_00.json.gz,FAILED,1,False,False,fc36752cfce38acf0db911ee3e49e0a425cb49df89b0e3e34162bcf8d74fb020,,0,0,,,,,,,ValueError: Temperature response contains missing values.,False,False,partial_or_missing_temperature,0,True,False,core_partial_response_retry,True,retain when at least one Asia/Hong_Kong local date contains 24 nonmissing hourly temperatures
ifs_20241228_12,2024-12-28,2024-12-28 12:00:00+00:00,12,core,ecmwf_ifs,https://single-runs-api.open-meteo.com/v1/forecast?latitude=22.3019444444&longitude=114.1741666667&run=2024-12-28T12%3A00&hourly=temperature_2m&models=ecmwf_ifs&timezone=Asia%2FHong_Kong&temperature_unit=celsius&cell_selection=land&forecast_hours=240,data/raw/v2/open_meteo_single_runs_two_year/2024/12/ecmwf_ifs_20241228_12.json.gz,FAILED,1,False,False,b175518435d10c771c670e1ba6b572248a16eeaae7de8b723d3c1fc5da97a90e,,0,0,,,,,,,ValueError: Temperature response contains missing values.,False,False,partial_or_missing_temperature,0,True,False,core_partial_response_retry,True,retain when at least one Asia/Hong_Kong local date contains 24 nonmissing hourly temperatures
ifs_20241231_00,2024-12-31,2024-12-31 00:00:00+00:00,0,core,ecmwf_ifs,https://single-runs-api.open-meteo.com/v1/forecast?latitude=22.3019444444&longitude=114.1741666667&run=2024-12-31T00%3A00&hourly=temperature_2m&models=ecmwf_ifs&timezone=Asia%2FHong_Kong&temperature_unit=celsius&cell_selection=land&forecast_hours=240,data/raw/v2/open_meteo_single_runs_two_year/2024/12/ecmwf_ifs_20241231_00.json.gz,FAILED,1,False,False,6644f1b09523bda1143d1446899c4364cf727ca972a7b0eb302f2bceb56b7eec,,0,0,,,,,,,ValueError: Temperature response contains missing values.,False,False,partial_or_missing_temperature,1,True,False,core_partial_response_retry,True,retain when at least one Asia/Hong_Kong local date contains 24 nonmissing hourly temperatures
ifs_20250316_12,2025-03-16,2025-03-16 12:00:00+00:00,12,core,ecmwf_ifs,https://single-runs-api.open-meteo.com/v1/forecast?latitude=22.3019444444&longitude=114.1741666667&run=2025-03-16T12%3A00&hourly=temperature_2m&models=ecmwf_ifs&timezone=Asia%2FHong_Kong&temperature_unit=celsius&cell_selection=land&forecast_hours=240,data/raw/v2/open_meteo_single_runs_two_year/2025/03/ecmwf_ifs_20250316_12.json.gz,FAILED,1,False,False,7836739e003538c760fcf94e0f907b2a04aa2e23aeae9850ece414e560a07b93,,0,0,,,,,,,ValueError: Temperature response contains missing values.,False,False,partial_or_missing_temperature,1,True,False,core_partial_response_retry,True,retain when at least one Asia/Hong_Kong local date contains 24 nonmissing hourly temperatures
ifs_20250318_00,2025-03-18,2025-03-18 00:00:00+00:00,0,core,ecmwf_ifs,https://single-runs-api.open-meteo.com/v1/forecast?latitude=22.3019444444&longitude=114.1741666667&run=2025-03-18T00%3A00&hourly=temperature_2m&models=ecmwf_ifs&timezone=Asia%2FHong_Kong&temperature_unit=celsius&cell_selection=land&forecast_hours=240,data/raw/v2/open_meteo_single_runs_two_year/2025/03/ecmwf_ifs_20250318_00.json.gz,FAILED,1,False,False,77cd88f3b63a6b7edafb07199ec967b0185040a3e22433aecf72fd109c3b199f,,0,0,,,,,,,ValueError: Temperature response contains missing values.,False,False,partial_or_missing_temperature,0,True,False,core_partial_response_retry,True,retain when at least one Asia/Hong_Kong local date contains 24 nonmissing hourly temperatures
ifs_20250318_12,2025-03-18,2025-03-18 12:00:00+00:00,12,core,ecmwf_ifs,https://single-runs-api.open-meteo.com/v1/forecast?latitude=22.3019444444&longitude=114.1741666667&run=2025-03-18T12%3A00&hourly=temperature_2m&models=ecmwf_ifs&timezone=Asia%2FHong_Kong&temperature_unit=celsius&cell_selection=land&forecast_hours=240,data/raw/v2/open_meteo_single_runs_two_year/2025/03/ecmwf_ifs_20250318_12.json.gz,FAILED,1,False,False,70ec365a3fa84de6247b42cb87b4e9c86efa47b90119ca246c2631bc974e401e,,0,0,,,,,,,ValueError: Temperature response contains missing values.,False,False,partial_or_missing_temperature,0,True,False,core_partial_response_retry,True,retain when at least one Asia/Hong_Kong local date contains 24 nonmissing hourly temperatures
ifs_20250322_12,2025-03-22,2025-03-22 12:00:00+00:00,12,core,ecmwf_ifs,https://single-runs-api.open-meteo.com/v1/forecast?latitude=22.3019444444&longitude=114.1741666667&run=2025-03-22T12%3A00&hourly=temperature_2m&models=ecmwf_ifs&timezone=Asia%2FHong_Kong&temperature_unit=celsius&cell_selection=land&forecast_hours=240,data/raw/v2/open_meteo_single_runs_two_year/2025/03/ecmwf_ifs_20250322_12.json.gz,FAILED,1,False,False,f5aec9ebf41ddd6a46645bbc9e9dcc989dda2d52eed3bb0e0098a64622b9b062,,0,0,,,,,,,ValueError: Temperature response contains missing values.,False,False,partial_or_missing_temperature,1,True,False,core_partial_response_retry,True,retain when at least one Asia/Hong_Kong local date contains 24 nonmissing hourly temperatures
ifs_20250325_00,2025-03-25,2025-03-25 00:00:00+00:00,0,core,ecmwf_ifs,https://single-runs-api.open-meteo.com/v1/forecast?latitude=22.3019444444&longitude=114.1741666667&run=2025-03-25T00%3A00&hourly=temperature_2m&models=ecmwf_ifs&timezone=Asia%2FHong_Kong&temperature_unit=celsius&cell_selection=land&forecast_hours=240,data/raw/v2/open_meteo_single_runs_two_year/2025/03/ecmwf_ifs_20250325_00.json.gz,FAILED,1,False,False,263f9e5b0b1c853327dd310b2c4d9208d0be1a9e9bd3fbe044989a0d81eb590f,,0,0,,,,,,,ValueError: Temperature response contains missing values.,False,False,partial_or_missing_temperature,0,True,False,core_partial_response_retry,True,retain when at least one Asia/Hong_Kong local date contains 24 nonmissing hourly temperatures
ifs_20250325_12,2025-03-25,2025-03-25 12:00:00+00:00,12,core,ecmwf_ifs,https://single-runs-api.open-meteo.com/v1/forecast?latitude=22.3019444444&longitude=114.1741666667&run=2025-03-25T12%3A00&hourly=temperature_2m&models=ecmwf_ifs&timezone=Asia%2FHong_Kong&temperature_unit=celsius&cell_selection=land&forecast_hours=240,data/raw/v2/open_meteo_single_runs_two_year/2025/03/ecmwf_ifs_20250325_12.json.gz,FAILED,1,False,False,b779c4576619d07bb61b407702938ec58bde0cd00d9e6133e470e059eeb79e95,,0,0,,,,,,,ValueError: Temperature response contains missing values.,False,False,partial_or_missing_temperature,0,True,False,core_partial_response_retry,True,retain when at least one Asia/Hong_Kong local date contains 24 nonmissing hourly temperatures
ifs_20250328_00,2025-03-28,2025-03-28 00:00:00+00:00,0,core,ecmwf_ifs,https://single-runs-api.open-meteo.com/v1/forecast?latitude=22.3019444444&longitude=114.1741666667&run=2025-03-28T00%3A00&hourly=temperature_2m&models=ecmwf_ifs&timezone=Asia%2FHong_Kong&temperature_unit=celsius&cell_selection=land&forecast_hours=240,data/raw/v2/open_meteo_single_runs_two_year/2025/03/ecmwf_ifs_20250328_00.json.gz,FAILED,1,False,False,7089c1639260480e21cfc5c896d0f7e141f8ad84d45aa1df432fb9aca87bddd1,,0,0,,,,,,,ValueError: Temperature response contains missing values.,False,False,partial_or_missing_temperature,1,True,False,core_partial_response_retry,True,retain when at least one Asia/Hong_Kong local date contains 24 nonmissing hourly temperatures
ifs_20250329_00,2025-03-29,2025-03-29 00:00:00+00:00,0,core,ecmwf_ifs,https://single-runs-api.open-meteo.com/v1/forecast?latitude=22.3019444444&longitude=114.1741666667&run=2025-03-29T00%3A00&hourly=temperature_2m&models=ecmwf_ifs&timezone=Asia%2FHong_Kong&temperature_unit=celsius&cell_selection=land&forecast_hours=240,data/raw/v2/open_meteo_single_runs_two_year/2025/03/ecmwf_ifs_20250329_00.json.gz,FAILED,1,False,False,042bb7dd113ca0266f02a63db16fa3a75dfb875d8dd3e54adf75a9efe777f05a,,0,0,,,,,,,ValueError: Temperature response contains missing values.,False,False,partial_or_missing_temperature,0,True,False,core_partial_response_retry,True,retain when at least one Asia/Hong_Kong local date contains 24 nonmissing hourly temperatures
