check,required,passed,detail
raw_design_rows_equal_2920,True,True,2920
weather_only_dates_equal_730,True,True,730
decision_rules_equal_4,True,True,4
date_rule_keys_unique,True,True,0
four_rules_per_date,True,True,730
continuous_daily_dates,True,True,730
initial_training_dates_equal_365,True,True,365
validation_dates_equal_365,True,True,365
validation_block_sizes_correct,True,True,91|91|91|92
each_validation_date_used_once,True,True,365
training_precedes_validation,True,True,4/4
fold_matrix_rows_correct,True,True,9484
scaling_parameter_rows_equal_64,True,True,64
training_standard_deviations_positive,True,True,0.28848238822419303
training_standardised_means_zero,True,True,64
training_standardised_sds_one,True,True,64
all_gp_features_finite,True,True,0
gp_target_finite,True,True,0
market_information_not_accessed,True,True,False
model_not_fitted_or_selected,True,True,False
