decision_rule,decision_rule_order,rows,dates,mean_forecast_daily_max_c,mean_hko_daily_max_c,mean_residual_c,median_residual_c,residual_standard_deviation_c,mean_absolute_error_c,root_mean_squared_error_c,minimum_residual_c,maximum_residual_c
24h_prior,1,730,730,25.835616438356166,27.28,1.4443835616438356,1.3999999999999986,1.5490968086719137,1.7358904109589042,2.1172287392359324,-4.0,7.600000000000001
12h_prior,2,730,730,25.857260273972603,27.28,1.422739726027397,1.4000000000000021,1.4781826793984068,1.6742465753424658,2.05090691599648,-3.0,6.5
6h_prior,3,730,730,25.846438356164384,27.28,1.4335616438356165,1.5,1.4717773563721512,1.6784931506849314,2.0538403720768086,-3.0,6.5
event_day_open,4,730,730,25.862054794520553,27.28,1.417945205479452,1.3999999999999986,1.3926688896594452,1.6316438356164382,1.9868161354701104,-2.3999999999999986,5.199999999999999
