window,run_date,cycle_utc,run_init_utc,request_succeeded,hourly_rows,returned_timezone,cache_path,error
archive_start,2024-03-14,0,2024-03-14T00:00,True,240,Asia/Hong_Kong,data/raw/v2/open_meteo_single_runs_pilot/20240314T0000.json,
archive_start,2024-03-14,6,2024-03-14T06:00,False,0,,data/raw/v2/open_meteo_single_runs_pilot/20240314T0600.json,HTTPError: HTTP Error 400: Bad Request
archive_start,2024-03-14,12,2024-03-14T12:00,True,240,Asia/Hong_Kong,data/raw/v2/open_meteo_single_runs_pilot/20240314T1200.json,
archive_start,2024-03-14,18,2024-03-14T18:00,False,0,,data/raw/v2/open_meteo_single_runs_pilot/20240314T1800.json,HTTPError: HTTP Error 400: Bad Request
archive_start,2024-03-15,0,2024-03-15T00:00,True,240,Asia/Hong_Kong,data/raw/v2/open_meteo_single_runs_pilot/20240315T0000.json,
archive_start,2024-03-15,6,2024-03-15T06:00,False,0,,data/raw/v2/open_meteo_single_runs_pilot/20240315T0600.json,HTTPError: HTTP Error 400: Bad Request
archive_start,2024-03-15,12,2024-03-15T12:00,True,240,Asia/Hong_Kong,data/raw/v2/open_meteo_single_runs_pilot/20240315T1200.json,
archive_start,2024-03-15,18,2024-03-15T18:00,False,0,,data/raw/v2/open_meteo_single_runs_pilot/20240315T1800.json,HTTPError: HTTP Error 400: Bad Request
archive_start,2024-03-16,0,2024-03-16T00:00,True,240,Asia/Hong_Kong,data/raw/v2/open_meteo_single_runs_pilot/20240316T0000.json,
archive_start,2024-03-16,6,2024-03-16T06:00,False,0,,data/raw/v2/open_meteo_single_runs_pilot/20240316T0600.json,HTTPError: HTTP Error 400: Bad Request
archive_start,2024-03-16,12,2024-03-16T12:00,True,240,Asia/Hong_Kong,data/raw/v2/open_meteo_single_runs_pilot/20240316T1200.json,
archive_start,2024-03-16,18,2024-03-16T18:00,False,0,,data/raw/v2/open_meteo_single_runs_pilot/20240316T1800.json,HTTPError: HTTP Error 400: Bad Request
archive_start,2024-03-17,0,2024-03-17T00:00,True,240,Asia/Hong_Kong,data/raw/v2/open_meteo_single_runs_pilot/20240317T0000.json,
archive_start,2024-03-17,6,2024-03-17T06:00,False,0,,data/raw/v2/open_meteo_single_runs_pilot/20240317T0600.json,HTTPError: HTTP Error 400: Bad Request
archive_start,2024-03-17,12,2024-03-17T12:00,True,240,Asia/Hong_Kong,data/raw/v2/open_meteo_single_runs_pilot/20240317T1200.json,
archive_start,2024-03-17,18,2024-03-17T18:00,False,0,,data/raw/v2/open_meteo_single_runs_pilot/20240317T1800.json,HTTPError: HTTP Error 400: Bad Request
archive_start,2024-03-18,0,2024-03-18T00:00,True,240,Asia/Hong_Kong,data/raw/v2/open_meteo_single_runs_pilot/20240318T0000.json,
archive_start,2024-03-18,6,2024-03-18T06:00,False,0,,data/raw/v2/open_meteo_single_runs_pilot/20240318T0600.json,HTTPError: HTTP Error 400: Bad Request
archive_start,2024-03-18,12,2024-03-18T12:00,True,240,Asia/Hong_Kong,data/raw/v2/open_meteo_single_runs_pilot/20240318T1200.json,
archive_start,2024-03-18,18,2024-03-18T18:00,False,0,,data/raw/v2/open_meteo_single_runs_pilot/20240318T1800.json,HTTPError: HTTP Error 400: Bad Request
archive_start,2024-03-19,0,2024-03-19T00:00,True,240,Asia/Hong_Kong,data/raw/v2/open_meteo_single_runs_pilot/20240319T0000.json,
archive_start,2024-03-19,6,2024-03-19T06:00,False,0,,data/raw/v2/open_meteo_single_runs_pilot/20240319T0600.json,HTTPError: HTTP Error 400: Bad Request
archive_start,2024-03-19,12,2024-03-19T12:00,True,240,Asia/Hong_Kong,data/raw/v2/open_meteo_single_runs_pilot/20240319T1200.json,
archive_start,2024-03-19,18,2024-03-19T18:00,False,0,,data/raw/v2/open_meteo_single_runs_pilot/20240319T1800.json,HTTPError: HTTP Error 400: Bad Request
archive_start,2024-03-20,0,2024-03-20T00:00,True,240,Asia/Hong_Kong,data/raw/v2/open_meteo_single_runs_pilot/20240320T0000.json,
archive_start,2024-03-20,6,2024-03-20T06:00,False,0,,data/raw/v2/open_meteo_single_runs_pilot/20240320T0600.json,HTTPError: HTTP Error 400: Bad Request
archive_start,2024-03-20,12,2024-03-20T12:00,True,240,Asia/Hong_Kong,data/raw/v2/open_meteo_single_runs_pilot/20240320T1200.json,
archive_start,2024-03-20,18,2024-03-20T18:00,False,0,,data/raw/v2/open_meteo_single_runs_pilot/20240320T1800.json,HTTPError: HTTP Error 400: Bad Request
archive_start,2024-03-21,0,2024-03-21T00:00,True,240,Asia/Hong_Kong,data/raw/v2/open_meteo_single_runs_pilot/20240321T0000.json,
archive_start,2024-03-21,6,2024-03-21T06:00,False,0,,data/raw/v2/open_meteo_single_runs_pilot/20240321T0600.json,HTTPError: HTTP Error 400: Bad Request
archive_start,2024-03-21,12,2024-03-21T12:00,True,240,Asia/Hong_Kong,data/raw/v2/open_meteo_single_runs_pilot/20240321T1200.json,
archive_start,2024-03-21,18,2024-03-21T18:00,False,0,,data/raw/v2/open_meteo_single_runs_pilot/20240321T1800.json,HTTPError: HTTP Error 400: Bad Request
archive_start,2024-03-22,0,2024-03-22T00:00,True,240,Asia/Hong_Kong,data/raw/v2/open_meteo_single_runs_pilot/20240322T0000.json,
archive_start,2024-03-22,6,2024-03-22T06:00,False,0,,data/raw/v2/open_meteo_single_runs_pilot/20240322T0600.json,HTTPError: HTTP Error 400: Bad Request
archive_start,2024-03-22,12,2024-03-22T12:00,True,240,Asia/Hong_Kong,data/raw/v2/open_meteo_single_runs_pilot/20240322T1200.json,
archive_start,2024-03-22,18,2024-03-22T18:00,False,0,,data/raw/v2/open_meteo_single_runs_pilot/20240322T1800.json,HTTPError: HTTP Error 400: Bad Request
archive_start,2024-03-23,0,2024-03-23T00:00,True,240,Asia/Hong_Kong,data/raw/v2/open_meteo_single_runs_pilot/20240323T0000.json,
archive_start,2024-03-23,6,2024-03-23T06:00,False,0,,data/raw/v2/open_meteo_single_runs_pilot/20240323T0600.json,HTTPError: HTTP Error 400: Bad Request
archive_start,2024-03-23,12,2024-03-23T12:00,True,240,Asia/Hong_Kong,data/raw/v2/open_meteo_single_runs_pilot/20240323T1200.json,
