fold_id,fold_number,decision_rule,decision_rule_order,feature,training_mean,training_standard_deviation,training_minimum,training_maximum,training_rows
fold_01,1,24h_prior,1,calendar_time_years,0.4982990752719085,0.28848238822419303,0.0,0.9965981505438167,365
fold_01,1,24h_prior,1,forecast_daily_max_c,25.832876712328765,4.917835997937343,13.6,34.2,365
fold_01,1,24h_prior,1,seasonal_cos,0.0012714886389617681,0.7086395914289443,-0.9999787738673416,1.0,365
fold_01,1,24h_prior,1,seasonal_sin,-0.0026234713487119712,0.7055646180004651,-0.999999313279348,0.9999857229360024,365
fold_01,1,12h_prior,2,calendar_time_years,0.4982990752719085,0.28848238822419303,0.0,0.9965981505438167,365
fold_01,1,12h_prior,2,forecast_daily_max_c,25.8186301369863,4.902443705730732,13.9,34.4,365
fold_01,1,12h_prior,2,seasonal_cos,0.0012714886389617681,0.7086395914289443,-0.9999787738673416,1.0,365
fold_01,1,12h_prior,2,seasonal_sin,-0.0026234713487119712,0.7055646180004651,-0.999999313279348,0.9999857229360024,365
fold_01,1,6h_prior,3,calendar_time_years,0.4982990752719085,0.28848238822419303,0.0,0.9965981505438167,365
fold_01,1,6h_prior,3,forecast_daily_max_c,25.814520547945204,4.914092968354649,13.4,34.4,365
fold_01,1,6h_prior,3,seasonal_cos,0.0012714886389617681,0.7086395914289443,-0.9999787738673416,1.0,365
fold_01,1,6h_prior,3,seasonal_sin,-0.0026234713487119712,0.7055646180004651,-0.999999313279348,0.9999857229360024,365
fold_01,1,event_day_open,4,calendar_time_years,0.4982990752719085,0.28848238822419303,0.0,0.9965981505438167,365
fold_01,1,event_day_open,4,forecast_daily_max_c,25.831780821917803,4.873571822403498,13.4,34.6,365
fold_01,1,event_day_open,4,seasonal_cos,0.0012714886389617681,0.7086395914289443,-0.9999787738673416,1.0,365
fold_01,1,event_day_open,4,seasonal_sin,-0.0026234713487119712,0.7055646180004651,-0.999999313279348,0.9999857229360024,365
fold_02,2,24h_prior,1,calendar_time_years,0.6228738440898856,0.3604058806001528,0.0,1.2457476881797709,456
fold_02,2,24h_prior,1,forecast_daily_max_c,25.938377192982458,4.659949363271211,13.6,34.2,456
fold_02,2,24h_prior,1,seasonal_cos,-0.08142567623338355,0.6768820622294459,-0.9999787738673416,1.0,456
