request_id,run_date,run_init_utc,cycle_utc,cycle_role,model,request_url,cache_path,status,attempts,network_retrieved,cache_reused,response_sha256,compressed_file_sha256,compressed_file_bytes,hourly_rows,first_time,last_time,returned_timezone,returned_latitude,returned_longitude,returned_elevation,error,market_price_accessed,outcome_accessed
ifs_20240314_00,2024-03-14,2024-03-14T00:00:00+00:00,0,core,ecmwf_ifs,https://single-runs-api.open-meteo.com/v1/forecast?latitude=22.3019444444&longitude=114.1741666667&run=2024-03-14T00%3A00&hourly=temperature_2m&models=ecmwf_ifs&timezone=Asia%2FHong_Kong&temperature_unit=celsius&cell_selection=land&forecast_hours=240,data/raw/v2/open_meteo_single_runs_two_year/2024/03/ecmwf_ifs_20240314_00.json.gz,DOWNLOADED_VALID,1,True,False,c33bc4dcabcb69787977bf17901845840606a7229ea5b71c0149555e34c6aac6,3edb5bd751ee447e7d4c8cc417499631b7f02ac0cf4e43153f4883a8b1e22b83,1116,240,2024-03-14T08:00,2024-03-24T07:00,Asia/Hong_Kong,22.319859,114.198555,38.0,,False,False
ifs_20240314_12,2024-03-14,2024-03-14T12:00:00+00:00,12,core,ecmwf_ifs,https://single-runs-api.open-meteo.com/v1/forecast?latitude=22.3019444444&longitude=114.1741666667&run=2024-03-14T12%3A00&hourly=temperature_2m&models=ecmwf_ifs&timezone=Asia%2FHong_Kong&temperature_unit=celsius&cell_selection=land&forecast_hours=240,data/raw/v2/open_meteo_single_runs_two_year/2024/03/ecmwf_ifs_20240314_12.json.gz,DOWNLOADED_VALID,1,True,False,e229f04fa4918f860fb9969dcc5ae937b95393b0f59581b6cc87bef83a825af0,8213d449eed40b26f1f1d2c8d8ddc6e1b003ca12d7d51c306ebfb8f3d40b208a,1104,240,2024-03-14T20:00,2024-03-24T19:00,Asia/Hong_Kong,22.319859,114.198555,38.0,,False,False
ifs_20240315_00,2024-03-15,2024-03-15T00:00:00+00:00,0,core,ecmwf_ifs,https://single-runs-api.open-meteo.com/v1/forecast?latitude=22.3019444444&longitude=114.1741666667&run=2024-03-15T00%3A00&hourly=temperature_2m&models=ecmwf_ifs&timezone=Asia%2FHong_Kong&temperature_unit=celsius&cell_selection=land&forecast_hours=240,data/raw/v2/open_meteo_single_runs_two_year/2024/03/ecmwf_ifs_20240315_00.json.gz,DOWNLOADED_VALID,1,True,False,f011ba2058c0d464999a5f0d0837c25d6dce26eba0827997597b0a8dd9cfde13,fcdd44f20a44c83d9e8d74c4894d6e381efb56494ac822db3180f2ef1095491f,1115,240,2024-03-15T08:00,2024-03-25T07:00,Asia/Hong_Kong,22.319859,114.198555,38.0,,False,False
ifs_20240315_12,2024-03-15,2024-03-15T12:00:00+00:00,12,core,ecmwf_ifs,https://single-runs-api.open-meteo.com/v1/forecast?latitude=22.3019444444&longitude=114.1741666667&run=2024-03-15T12%3A00&hourly=temperature_2m&models=ecmwf_ifs&timezone=Asia%2FHong_Kong&temperature_unit=celsius&cell_selection=land&forecast_hours=240,data/raw/v2/open_meteo_single_runs_two_year/2024/03/ecmwf_ifs_20240315_12.json.gz,DOWNLOADED_VALID,1,True,False,360eaff9862dc9b1fbe9437bef300e065ec3ae7147b5d8b0ca8b9652c95fd5cb,8efd0a544b4db385fb964f4df686b9a59583376e5b943f84df22c4b8e7c5812f,1116,240,2024-03-15T20:00,2024-03-25T19:00,Asia/Hong_Kong,22.319859,114.198555,38.0,,False,False
ifs_20240316_00,2024-03-16,2024-03-16T00:00:00+00:00,0,core,ecmwf_ifs,https://single-runs-api.open-meteo.com/v1/forecast?latitude=22.3019444444&longitude=114.1741666667&run=2024-03-16T00%3A00&hourly=temperature_2m&models=ecmwf_ifs&timezone=Asia%2FHong_Kong&temperature_unit=celsius&cell_selection=land&forecast_hours=240,data/raw/v2/open_meteo_single_runs_two_year/2024/03/ecmwf_ifs_20240316_00.json.gz,DOWNLOADED_VALID,1,True,False,9e5288e2539ffd53687de1c7a0da936782552270a95a910ecc34968dcfe008a4,29ef8fb16c0616d8c22cd5b139bad3da38d71dfba8892110ca5fb9c8eb13252e,1113,240,2024-03-16T08:00,2024-03-26T07:00,Asia/Hong_Kong,22.319859,114.198555,38.0,,False,False
ifs_20240316_12,2024-03-16,2024-03-16T12:00:00+00:00,12,core,ecmwf_ifs,https://single-runs-api.open-meteo.com/v1/forecast?latitude=22.3019444444&longitude=114.1741666667&run=2024-03-16T12%3A00&hourly=temperature_2m&models=ecmwf_ifs&timezone=Asia%2FHong_Kong&temperature_unit=celsius&cell_selection=land&forecast_hours=240,data/raw/v2/open_meteo_single_runs_two_year/2024/03/ecmwf_ifs_20240316_12.json.gz,DOWNLOADED_VALID,1,True,False,3ff7a6e5ef5208f2459fd29486b43ceae1a16b00ecc4ecd044058dbc8075eb63,2ebb22ab74da86c6d83e018aeefe23fd464ec3b50240d78e7b793610eb5304e0,1105,240,2024-03-16T20:00,2024-03-26T19:00,Asia/Hong_Kong,22.319859,114.198555,38.0,,False,False
ifs_20240317_00,2024-03-17,2024-03-17T00:00:00+00:00,0,core,ecmwf_ifs,https://single-runs-api.open-meteo.com/v1/forecast?latitude=22.3019444444&longitude=114.1741666667&run=2024-03-17T00%3A00&hourly=temperature_2m&models=ecmwf_ifs&timezone=Asia%2FHong_Kong&temperature_unit=celsius&cell_selection=land&forecast_hours=240,data/raw/v2/open_meteo_single_runs_two_year/2024/03/ecmwf_ifs_20240317_00.json.gz,DOWNLOADED_VALID,1,True,False,c01959c1fc0bdf0aea69e712a35de17e279e429050c285eb6115dee94ae1e7ed,35d2da24c5afb89f40633fa490967c35d2de48b99a72daf975f0b9e1ef809c34,1134,240,2024-03-17T08:00,2024-03-27T07:00,Asia/Hong_Kong,22.319859,114.198555,38.0,,False,False
ifs_20240317_12,2024-03-17,2024-03-17T12:00:00+00:00,12,core,ecmwf_ifs,https://single-runs-api.open-meteo.com/v1/forecast?latitude=22.3019444444&longitude=114.1741666667&run=2024-03-17T12%3A00&hourly=temperature_2m&models=ecmwf_ifs&timezone=Asia%2FHong_Kong&temperature_unit=celsius&cell_selection=land&forecast_hours=240,data/raw/v2/open_meteo_single_runs_two_year/2024/03/ecmwf_ifs_20240317_12.json.gz,DOWNLOADED_VALID,1,True,False,09cd6e699bf84c689dee55352b5cb8634899f32ec7e9afbd35e3159c2462a3f0,ec9184c5391cfc8f4d2f6f9032f1cd2d4ab32f1573ab93e11f91046253149246,1108,240,2024-03-17T20:00,2024-03-27T19:00,Asia/Hong_Kong,22.319859,114.198555,38.0,,False,False
ifs_20240318_00,2024-03-18,2024-03-18T00:00:00+00:00,0,core,ecmwf_ifs,https://single-runs-api.open-meteo.com/v1/forecast?latitude=22.3019444444&longitude=114.1741666667&run=2024-03-18T00%3A00&hourly=temperature_2m&models=ecmwf_ifs&timezone=Asia%2FHong_Kong&temperature_unit=celsius&cell_selection=land&forecast_hours=240,data/raw/v2/open_meteo_single_runs_two_year/2024/03/ecmwf_ifs_20240318_00.json.gz,DOWNLOADED_VALID,1,True,False,6fe3c597177ef09b3e4987b87486024b9eaca66a63f3b9e047ae4ac1551805e3,21b0f9eb6c77d7a19f6f109b1777055c523f750cb67d8e057d12cdec454794cc,1119,240,2024-03-18T08:00,2024-03-28T07:00,Asia/Hong_Kong,22.319859,114.198555,38.0,,False,False
ifs_20240318_12,2024-03-18,2024-03-18T12:00:00+00:00,12,core,ecmwf_ifs,https://single-runs-api.open-meteo.com/v1/forecast?latitude=22.3019444444&longitude=114.1741666667&run=2024-03-18T12%3A00&hourly=temperature_2m&models=ecmwf_ifs&timezone=Asia%2FHong_Kong&temperature_unit=celsius&cell_selection=land&forecast_hours=240,data/raw/v2/open_meteo_single_runs_two_year/2024/03/ecmwf_ifs_20240318_12.json.gz,DOWNLOADED_VALID,1,True,False,75b4f5774592b923f98706eb70de82e7f940045ca9b416310810478770b03ecb,7bafd0ba4e41da76c40cd98fb60aed135b5b14c52d6f9e5672efde4975498bcd,1123,240,2024-03-18T20:00,2024-03-28T19:00,Asia/Hong_Kong,22.319859,114.198555,38.0,,False,False
