request_id,run_date,run_init_utc,run_parameter,cycle_utc,cycle_role,retrieval_selected,required_for_core_design,run_period,weather_only_training_start,weather_only_training_end,forecast_start_hkt,forecast_end_hkt,first_local_date_covered,last_local_date_covered,forecast_hours,model,hourly_variable,timezone,temperature_unit,cell_selection,latitude,longitude,endpoint,request_url,cache_path,request_status,network_request_made,market_price_accessed,outcome_accessed,repair_role,original_core_cycle,validation_rule
ifs_20240923_06,2024-09-23,2024-09-23 06:00:00+00:00,2024-09-23T06:00,6,supplementary,False,False,weather_only_training,2024-03-16,2026-03-15,2024-09-23T14:00:00+00:00,2024-10-03T13:00:00+00:00,2024-09-23,2024-10-03,240,ecmwf_ifs,temperature_2m,Asia/Hong_Kong,celsius,land,22.3019444444,114.1741666667,https://single-runs-api.open-meteo.com/v1/forecast,https://single-runs-api.open-meteo.com/v1/forecast?latitude=22.3019444444&longitude=114.1741666667&run=2024-09-23T06%3A00&hourly=temperature_2m&models=ecmwf_ifs&timezone=Asia%2FHong_Kong&temperature_unit=celsius&cell_selection=land&forecast_hours=240,data/raw/v2/open_meteo_single_runs_two_year/2024/09/ecmwf_ifs_20240923_06.json,PLANNED,False,False,False,supplementary_cycle_candidate,False,retain when at least one Asia/Hong_Kong local date contains 24 nonmissing hourly temperatures
ifs_20240923_18,2024-09-23,2024-09-23 18:00:00+00:00,2024-09-23T18:00,18,supplementary,False,False,weather_only_training,2024-03-16,2026-03-15,2024-09-24T02:00:00+00:00,2024-10-04T01:00:00+00:00,2024-09-24,2024-10-04,240,ecmwf_ifs,temperature_2m,Asia/Hong_Kong,celsius,land,22.3019444444,114.1741666667,https://single-runs-api.open-meteo.com/v1/forecast,https://single-runs-api.open-meteo.com/v1/forecast?latitude=22.3019444444&longitude=114.1741666667&run=2024-09-23T18%3A00&hourly=temperature_2m&models=ecmwf_ifs&timezone=Asia%2FHong_Kong&temperature_unit=celsius&cell_selection=land&forecast_hours=240,data/raw/v2/open_meteo_single_runs_two_year/2024/09/ecmwf_ifs_20240923_18.json,PLANNED,False,False,False,supplementary_cycle_candidate,False,retain when at least one Asia/Hong_Kong local date contains 24 nonmissing hourly temperatures
ifs_20240925_06,2024-09-25,2024-09-25 06:00:00+00:00,2024-09-25T06:00,6,supplementary,False,False,weather_only_training,2024-03-16,2026-03-15,2024-09-25T14:00:00+00:00,2024-10-05T13:00:00+00:00,2024-09-25,2024-10-05,240,ecmwf_ifs,temperature_2m,Asia/Hong_Kong,celsius,land,22.3019444444,114.1741666667,https://single-runs-api.open-meteo.com/v1/forecast,https://single-runs-api.open-meteo.com/v1/forecast?latitude=22.3019444444&longitude=114.1741666667&run=2024-09-25T06%3A00&hourly=temperature_2m&models=ecmwf_ifs&timezone=Asia%2FHong_Kong&temperature_unit=celsius&cell_selection=land&forecast_hours=240,data/raw/v2/open_meteo_single_runs_two_year/2024/09/ecmwf_ifs_20240925_06.json,PLANNED,False,False,False,supplementary_cycle_candidate,False,retain when at least one Asia/Hong_Kong local date contains 24 nonmissing hourly temperatures
ifs_20240925_18,2024-09-25,2024-09-25 18:00:00+00:00,2024-09-25T18:00,18,supplementary,False,False,weather_only_training,2024-03-16,2026-03-15,2024-09-26T02:00:00+00:00,2024-10-06T01:00:00+00:00,2024-09-26,2024-10-06,240,ecmwf_ifs,temperature_2m,Asia/Hong_Kong,celsius,land,22.3019444444,114.1741666667,https://single-runs-api.open-meteo.com/v1/forecast,https://single-runs-api.open-meteo.com/v1/forecast?latitude=22.3019444444&longitude=114.1741666667&run=2024-09-25T18%3A00&hourly=temperature_2m&models=ecmwf_ifs&timezone=Asia%2FHong_Kong&temperature_unit=celsius&cell_selection=land&forecast_hours=240,data/raw/v2/open_meteo_single_runs_two_year/2024/09/ecmwf_ifs_20240925_18.json,PLANNED,False,False,False,supplementary_cycle_candidate,False,retain when at least one Asia/Hong_Kong local date contains 24 nonmissing hourly temperatures
ifs_20240926_06,2024-09-26,2024-09-26 06:00:00+00:00,2024-09-26T06:00,6,supplementary,False,False,weather_only_training,2024-03-16,2026-03-15,2024-09-26T14:00:00+00:00,2024-10-06T13:00:00+00:00,2024-09-26,2024-10-06,240,ecmwf_ifs,temperature_2m,Asia/Hong_Kong,celsius,land,22.3019444444,114.1741666667,https://single-runs-api.open-meteo.com/v1/forecast,https://single-runs-api.open-meteo.com/v1/forecast?latitude=22.3019444444&longitude=114.1741666667&run=2024-09-26T06%3A00&hourly=temperature_2m&models=ecmwf_ifs&timezone=Asia%2FHong_Kong&temperature_unit=celsius&cell_selection=land&forecast_hours=240,data/raw/v2/open_meteo_single_runs_two_year/2024/09/ecmwf_ifs_20240926_06.json,PLANNED,False,False,False,supplementary_cycle_candidate,False,retain when at least one Asia/Hong_Kong local date contains 24 nonmissing hourly temperatures
ifs_20240926_18,2024-09-26,2024-09-26 18:00:00+00:00,2024-09-26T18:00,18,supplementary,False,False,weather_only_training,2024-03-16,2026-03-15,2024-09-27T02:00:00+00:00,2024-10-07T01:00:00+00:00,2024-09-27,2024-10-07,240,ecmwf_ifs,temperature_2m,Asia/Hong_Kong,celsius,land,22.3019444444,114.1741666667,https://single-runs-api.open-meteo.com/v1/forecast,https://single-runs-api.open-meteo.com/v1/forecast?latitude=22.3019444444&longitude=114.1741666667&run=2024-09-26T18%3A00&hourly=temperature_2m&models=ecmwf_ifs&timezone=Asia%2FHong_Kong&temperature_unit=celsius&cell_selection=land&forecast_hours=240,data/raw/v2/open_meteo_single_runs_two_year/2024/09/ecmwf_ifs_20240926_18.json,PLANNED,False,False,False,supplementary_cycle_candidate,False,retain when at least one Asia/Hong_Kong local date contains 24 nonmissing hourly temperatures
ifs_20240927_06,2024-09-27,2024-09-27 06:00:00+00:00,2024-09-27T06:00,6,supplementary,False,False,weather_only_training,2024-03-16,2026-03-15,2024-09-27T14:00:00+00:00,2024-10-07T13:00:00+00:00,2024-09-27,2024-10-07,240,ecmwf_ifs,temperature_2m,Asia/Hong_Kong,celsius,land,22.3019444444,114.1741666667,https://single-runs-api.open-meteo.com/v1/forecast,https://single-runs-api.open-meteo.com/v1/forecast?latitude=22.3019444444&longitude=114.1741666667&run=2024-09-27T06%3A00&hourly=temperature_2m&models=ecmwf_ifs&timezone=Asia%2FHong_Kong&temperature_unit=celsius&cell_selection=land&forecast_hours=240,data/raw/v2/open_meteo_single_runs_two_year/2024/09/ecmwf_ifs_20240927_06.json,PLANNED,False,False,False,supplementary_cycle_candidate,False,retain when at least one Asia/Hong_Kong local date contains 24 nonmissing hourly temperatures
ifs_20240927_18,2024-09-27,2024-09-27 18:00:00+00:00,2024-09-27T18:00,18,supplementary,False,False,weather_only_training,2024-03-16,2026-03-15,2024-09-28T02:00:00+00:00,2024-10-08T01:00:00+00:00,2024-09-28,2024-10-08,240,ecmwf_ifs,temperature_2m,Asia/Hong_Kong,celsius,land,22.3019444444,114.1741666667,https://single-runs-api.open-meteo.com/v1/forecast,https://single-runs-api.open-meteo.com/v1/forecast?latitude=22.3019444444&longitude=114.1741666667&run=2024-09-27T18%3A00&hourly=temperature_2m&models=ecmwf_ifs&timezone=Asia%2FHong_Kong&temperature_unit=celsius&cell_selection=land&forecast_hours=240,data/raw/v2/open_meteo_single_runs_two_year/2024/09/ecmwf_ifs_20240927_18.json,PLANNED,False,False,False,supplementary_cycle_candidate,False,retain when at least one Asia/Hong_Kong local date contains 24 nonmissing hourly temperatures
ifs_20240928_06,2024-09-28,2024-09-28 06:00:00+00:00,2024-09-28T06:00,6,supplementary,False,False,weather_only_training,2024-03-16,2026-03-15,2024-09-28T14:00:00+00:00,2024-10-08T13:00:00+00:00,2024-09-28,2024-10-08,240,ecmwf_ifs,temperature_2m,Asia/Hong_Kong,celsius,land,22.3019444444,114.1741666667,https://single-runs-api.open-meteo.com/v1/forecast,https://single-runs-api.open-meteo.com/v1/forecast?latitude=22.3019444444&longitude=114.1741666667&run=2024-09-28T06%3A00&hourly=temperature_2m&models=ecmwf_ifs&timezone=Asia%2FHong_Kong&temperature_unit=celsius&cell_selection=land&forecast_hours=240,data/raw/v2/open_meteo_single_runs_two_year/2024/09/ecmwf_ifs_20240928_06.json,PLANNED,False,False,False,supplementary_cycle_candidate,False,retain when at least one Asia/Hong_Kong local date contains 24 nonmissing hourly temperatures
ifs_20240928_18,2024-09-28,2024-09-28 18:00:00+00:00,2024-09-28T18:00,18,supplementary,False,False,weather_only_training,2024-03-16,2026-03-15,2024-09-29T02:00:00+00:00,2024-10-09T01:00:00+00:00,2024-09-29,2024-10-09,240,ecmwf_ifs,temperature_2m,Asia/Hong_Kong,celsius,land,22.3019444444,114.1741666667,https://single-runs-api.open-meteo.com/v1/forecast,https://single-runs-api.open-meteo.com/v1/forecast?latitude=22.3019444444&longitude=114.1741666667&run=2024-09-28T18%3A00&hourly=temperature_2m&models=ecmwf_ifs&timezone=Asia%2FHong_Kong&temperature_unit=celsius&cell_selection=land&forecast_hours=240,data/raw/v2/open_meteo_single_runs_two_year/2024/09/ecmwf_ifs_20240928_18.json,PLANNED,False,False,False,supplementary_cycle_candidate,False,retain when at least one Asia/Hong_Kong local date contains 24 nonmissing hourly temperatures
