target_year,target_month,decision_rule,decision_rule_order,rows,dates,mean_forecast_daily_max_c,mean_hko_daily_max_c,mean_residual_c,median_residual_c,residual_standard_deviation_c,mean_absolute_error_c,root_mean_squared_error_c,minimum_residual_c,maximum_residual_c
2024,3,24h_prior,1,16,16,25.10625,27.012500000000003,1.9062500000000002,1.9000000000000004,1.5176599311659602,2.1312500000000005,2.4068911483488407,-1.3000000000000007,4.199999999999999
2024,3,12h_prior,2,16,16,25.3125,27.012500000000003,1.7000000000000008,1.700000000000001,1.1581594593722118,1.712500000000001,2.036541185441631,-0.10000000000000142,4.0
2024,3,6h_prior,3,16,16,25.3125,27.012500000000003,1.7000000000000008,1.700000000000001,1.1581594593722118,1.712500000000001,2.036541185441631,-0.10000000000000142,4.0
2024,3,event_day_open,4,16,16,25.4375,27.012500000000003,1.5750000000000002,1.8000000000000007,1.1704699910719631,1.6000000000000005,1.9403607911932261,-0.20000000000000284,3.6999999999999993
2024,4,24h_prior,1,30,30,27.216666666666665,28.88333333333333,1.6666666666666665,1.8499999999999996,1.1573850827987444,1.7466666666666666,2.0180849007578114,-0.6999999999999993,4.099999999999998
2024,4,12h_prior,2,30,30,27.153333333333332,28.88333333333333,1.73,1.7499999999999982,0.9667399892921321,1.7833333333333337,1.9739132030900783,-0.6000000000000014,3.8999999999999986
2024,4,6h_prior,3,30,30,27.153333333333332,28.88333333333333,1.73,1.7499999999999982,0.9667399892921321,1.7833333333333337,1.9739132030900783,-0.6000000000000014,3.8999999999999986
2024,4,event_day_open,4,30,30,26.89333333333333,28.88333333333333,1.9899999999999995,1.950000000000001,0.9367404969470944,2.003333333333333,2.192791219731904,-0.1999999999999993,4.0
2024,5,24h_prior,1,31,31,27.248387096774195,28.332258064516132,1.0838709677419354,1.1999999999999993,1.6352567126078499,1.6774193548387097,1.939737261889169,-2.8000000000000007,3.5
2024,5,12h_prior,2,31,31,26.883870967741927,28.332258064516132,1.4483870967741932,1.6000000000000014,1.3935257365741842,1.7193548387096773,1.9942659737842257,-0.8999999999999986,4.099999999999998
2024,5,6h_prior,3,31,31,26.883870967741927,28.332258064516132,1.4483870967741932,1.6000000000000014,1.3935257365741842,1.7193548387096773,1.9942659737842257,-0.8999999999999986,4.099999999999998
2024,5,event_day_open,4,31,31,26.838709677419363,28.332258064516132,1.4935483870967736,1.6999999999999993,1.351526417024092,1.6935483870967738,1.9995967335375888,-1.3999999999999986,3.8000000000000007
2024,6,24h_prior,1,30,30,28.969999999999995,31.043333333333337,2.0733333333333333,2.1500000000000004,1.5469510241970716,2.2466666666666666,2.5713809519400272,-0.8999999999999986,4.5
2024,6,12h_prior,2,30,30,29.046666666666667,31.043333333333337,1.9966666666666673,2.0500000000000007,1.5595055213959232,2.1900000000000004,2.517472277238951,-1.6999999999999993,4.600000000000001
2024,6,6h_prior,3,30,30,29.046666666666667,31.043333333333337,1.9966666666666673,2.0500000000000007,1.5595055213959232,2.1900000000000004,2.517472277238951,-1.6999999999999993,4.600000000000001
2024,6,event_day_open,4,30,30,28.87666666666667,31.043333333333337,2.1666666666666665,2.5500000000000007,1.5358549979450027,2.386666666666667,2.6409594216243963,-0.8000000000000007,4.099999999999998
2024,7,24h_prior,1,31,31,30.338709677419356,32.403225806451616,2.064516129032259,2.200000000000003,1.3920125447463403,2.1806451612903226,2.477381552130941,-1.1999999999999957,4.100000000000001
2024,7,12h_prior,2,31,31,30.225806451612904,32.403225806451616,2.17741935483871,2.200000000000003,1.2983860949705608,2.267741935483871,2.5243970854763105,-1.0,4.099999999999998
2024,7,6h_prior,3,31,31,30.225806451612904,32.403225806451616,2.17741935483871,2.200000000000003,1.2983860949705608,2.267741935483871,2.5243970854763105,-1.0,4.099999999999998
2024,7,event_day_open,4,31,31,30.345161290322586,32.403225806451616,2.0580645161290323,2.3999999999999986,1.2784819627324657,2.1612903225806446,2.411932701142117,-0.5,4.199999999999999
2024,8,24h_prior,1,31,31,30.71935483870968,32.26129032258065,1.5419354838709673,1.3000000000000007,1.107782828761543,1.567741935483871,1.8881634702330676,-0.20000000000000284,4.0000000000000036
2024,8,12h_prior,2,31,31,30.658064516129027,32.26129032258065,1.6032258064516132,1.5,1.090102096431872,1.6032258064516132,1.9288137755224486,0.09999999999999787,4.300000000000004
2024,8,6h_prior,3,31,31,30.658064516129027,32.26129032258065,1.6032258064516132,1.5,1.090102096431872,1.6032258064516132,1.9288137755224486,0.09999999999999787,4.300000000000004
2024,8,event_day_open,4,31,31,30.699999999999996,32.26129032258065,1.5612903225806458,1.3999999999999986,1.1140548817584763,1.6387096774193552,1.9075402164618591,-0.7999999999999972,3.700000000000003
2024,9,24h_prior,1,30,30,30.176666666666666,31.96333333333333,1.7866666666666664,1.9000000000000004,1.2810914886528793,1.8333333333333333,2.186016163404714,-0.20000000000000284,4.5
2024,9,12h_prior,2,30,30,30.183333333333334,31.96333333333333,1.7800000000000007,1.799999999999999,1.2455160957721847,1.8000000000000005,2.160555484129024,-0.20000000000000284,3.8000000000000043
2024,9,6h_prior,3,30,30,30.21333333333333,31.96333333333333,1.7500000000000004,1.799999999999999,1.2582829022397806,1.7700000000000007,2.143128554240273,-0.20000000000000284,3.8000000000000043
2024,9,event_day_open,4,30,30,30.3,31.96333333333333,1.6633333333333336,2.0000000000000018,1.08991721714536,1.6833333333333338,1.9786358937409385,-0.20000000000000284,3.299999999999997
2024,10,24h_prior,1,31,31,29.400000000000002,30.274193548387096,0.8741935483870965,1.1000000000000014,1.3825020173428284,1.3516129032258062,1.616747032699283,-2.400000000000002,3.3000000000000007
2024,10,12h_prior,2,31,31,29.445161290322584,30.274193548387096,0.8290322580645153,0.6999999999999993,1.3089928821775159,1.183870967741935,1.5314972644336464,-2.700000000000003,3.8000000000000007
2024,10,6h_prior,3,31,31,29.445161290322584,30.274193548387096,0.8290322580645153,0.6999999999999993,1.3089928821775159,1.183870967741935,1.5314972644336464,-2.700000000000003,3.8000000000000007
2024,10,event_day_open,4,31,31,29.33548387096774,30.274193548387096,0.9387096774193548,1.0,1.128916123059294,1.2032258064516133,1.4541375894433988,-2.3000000000000007,3.5
2024,11,24h_prior,1,30,30,24.686666666666664,25.283333333333335,0.5966666666666665,0.75,1.7091000522221473,1.4699999999999998,1.783161985537676,-4.0,3.3000000000000007
2024,11,12h_prior,2,30,30,24.526666666666664,25.283333333333335,0.7566666666666665,0.5999999999999996,1.3116673604110973,1.2233333333333334,1.495214588835551,-1.6999999999999993,3.099999999999998
2024,11,6h_prior,3,30,30,24.526666666666664,25.283333333333335,0.7566666666666665,0.5999999999999996,1.3116673604110973,1.2233333333333334,1.495214588835551,-1.6999999999999993,3.099999999999998
2024,11,event_day_open,4,30,30,24.436666666666667,25.283333333333335,0.8466666666666668,1.0,1.10943705306459,1.1333333333333329,1.3808210118138649,-1.2999999999999972,3.3999999999999986
2024,12,24h_prior,1,31,31,19.519354838709678,20.832258064516125,1.3129032258064512,1.1000000000000014,1.3771327545505239,1.461290322580645,1.8865397578806855,-1.5,4.899999999999999
2024,12,12h_prior,2,31,31,19.503225806451614,20.832258064516125,1.329032258064516,1.0999999999999979,1.5773804335853998,1.535483870967742,2.0430843223878687,-2.1000000000000014,5.199999999999999
2024,12,6h_prior,3,31,31,19.458064516129035,20.832258064516125,1.3741935483870962,1.0999999999999979,1.6066461427324277,1.5741935483870961,2.094385736416103,-2.0,5.199999999999999
2024,12,event_day_open,4,31,31,19.48387096774194,20.832258064516125,1.348387096774193,1.0,1.5827973059832887,1.529032258064516,2.0597525689172693,-2.0,5.199999999999999
2025,1,24h_prior,1,31,31,18.793548387096777,19.761290322580642,0.9677419354838711,0.8000000000000007,0.99075294491082,1.0903225806451613,1.3734815662771838,-0.8000000000000007,4.0
2025,1,12h_prior,2,31,31,18.887096774193548,19.761290322580642,0.8741935483870971,0.6999999999999993,1.08103892681546,0.9838709677419353,1.3766485718303636,-0.5999999999999979,5.199999999999999
2025,1,6h_prior,3,31,31,18.85483870967742,19.761290322580642,0.9064516129032261,0.7000000000000028,1.0595393602476397,0.996774193548387,1.3813270851355341,-0.5999999999999979,5.199999999999999
2025,1,event_day_open,4,31,31,18.91290322580645,19.761290322580642,0.8483870967741939,0.7000000000000028,0.8221398776939504,0.9322580645161295,1.1721224201174278,-0.5,3.3999999999999986
2025,2,24h_prior,1,28,28,18.77857142857143,19.939285714285713,1.1607142857142858,1.2000000000000028,1.1716842216842878,1.3678571428571433,1.6343412827715724,-2.099999999999998,3.3000000000000007
2025,2,12h_prior,2,28,28,19.05,19.939285714285713,0.8892857142857143,1.0000000000000018,1.161206041535898,1.1750000000000003,1.4460537433205682,-2.6999999999999993,3.099999999999998
2025,2,6h_prior,3,28,28,19.05,19.939285714285713,0.8892857142857143,1.0000000000000018,1.161206041535898,1.1750000000000003,1.4460537433205682,-2.6999999999999993,3.099999999999998
2025,2,event_day_open,4,28,28,19.228571428571428,19.939285714285713,0.7107142857142855,0.7999999999999989,1.2556064745960887,1.2249999999999999,1.4231504287520493,-1.8999999999999986,2.799999999999997
2025,3,24h_prior,1,31,31,22.235483870967744,23.532258064516125,1.2967741935483872,1.4000000000000021,1.775478127335046,1.7806451612903227,2.1753753847361903,-2.6999999999999993,5.100000000000001
2025,3,12h_prior,2,31,31,22.241935483870968,23.532258064516125,1.2903225806451608,1.4000000000000021,1.4940671200249953,1.6645161290322574,1.9558019558029334,-2.099999999999998,3.6999999999999993
2025,3,6h_prior,3,31,31,22.174193548387095,23.532258064516125,1.358064516129032,1.5,1.4811649004636824,1.7387096774193542,1.9918381849032585,-2.3999999999999986,3.6999999999999993
2025,3,event_day_open,4,31,31,22.577419354838714,23.532258064516125,0.954838709677419,1.1000000000000014,1.7534420833848334,1.6516129032258062,1.9715721579981664,-2.3999999999999986,3.8999999999999986
2025,4,24h_prior,1,30,30,25.32333333333333,26.696666666666665,1.3733333333333335,1.7000000000000028,1.5007890644897286,1.7200000000000009,2.0157711510321143,-2.5,3.900000000000002
2025,4,12h_prior,2,30,30,25.513333333333332,26.696666666666665,1.1833333333333338,1.549999999999999,1.701132144988344,1.810000000000001,2.0488207990614185,-2.900000000000002,4.0
2025,4,6h_prior,3,30,30,25.513333333333332,26.696666666666665,1.1833333333333338,1.549999999999999,1.701132144988344,1.810000000000001,2.0488207990614185,-2.900000000000002,4.0
