kernel,kernel_order,decision_rule,decision_rule_order,validation_dates,validation_rows,mean_crps_c,median_crps_c,mean_negative_log_score,corrected_mae_c,mean_predictive_standard_deviation_c,central_50_coverage,central_80_coverage,central_90_coverage,pit_mean,corrected_rmse_c
matern32,2,12h_prior,2,365,365,0.8733282519,0.6344611958,1.8572426432,1.2392360199,1.4564908283,0.4739726027,0.7863013699,0.8684931507,0.4782808655,1.5434864978
matern32,2,24h_prior,1,365,365,0.9226340746,0.6935607739,1.9108045560,1.3214376565,1.5147346061,0.4164383562,0.7698630137,0.8712328767,0.4966565181,1.6231012906
matern32,2,6h_prior,3,365,365,0.8720526989,0.6215114989,1.8575738149,1.2375306777,1.4565751390,0.4767123288,0.7917808219,0.8630136986,0.4827996601,1.5447562275
matern32,2,event_day_open,4,365,365,0.7853449705,0.5819694418,1.7413786645,1.1241698001,1.3911876708,0.4739726027,0.7835616438,0.9205479452,0.4925707751,1.3833462954
rbf,1,12h_prior,2,365,365,0.8865075767,0.6214978396,1.8746217261,1.2610606194,1.4344525065,0.4520547945,0.7671232877,0.8630136986,0.4717969711,1.5630764241
rbf,1,24h_prior,1,365,365,0.9342266031,0.7208422065,1.9228818661,1.3411215685,1.5103817884,0.4082191781,0.7643835616,0.8630136986,0.4967365272,1.6396273117
rbf,1,6h_prior,3,365,365,0.8857460287,0.6236091372,1.8754626106,1.2605460610,1.4329406388,0.4575342466,0.7726027397,0.8547945205,0.4761584760,1.5646854730
rbf,1,event_day_open,4,365,365,0.8037656653,0.5886090505,1.7626022775,1.1525511262,1.3691756128,0.4520547945,0.7671232877,0.8958904110,0.4788904716,1.4111022556
