repair_order,request_id,run_date,run_init_utc,cycle_utc,repair_role,request_url,cache_path,status,failure_type,attempts,network_retrieved,cache_reused,response_sha256,compressed_file_sha256,compressed_file_bytes,hourly_rows,nonmissing_temperature_rows,missing_temperature_rows,daily_rows,complete_local_day_count,first_complete_local_date,last_complete_local_date,returned_timezone,error,market_price_accessed,outcome_accessed
1,ifs_20240923_06,2024-09-23,2024-09-23 06:00:00+00:00,6,supplementary_cycle_candidate,https://single-runs-api.open-meteo.com/v1/forecast?latitude=22.3019444444&longitude=114.1741666667&run=2024-09-23T06%3A00&hourly=temperature_2m&models=ecmwf_ifs&timezone=Asia%2FHong_Kong&temperature_unit=celsius&cell_selection=land&forecast_hours=240,data/raw/v2/open_meteo_single_runs_two_year/2024/09/ecmwf_ifs_20240923_06.json.gz,DOWNLOADED_VALID,,1,True,False,28497e6d06d8a001ce1ebb7afb08b108f1de578eddeb19b1536dc2ea0c9ed8b1,b82d809c4482a2ba186aaf717f08b5d456976afe490dd2e4536f83dc1a92db19,985,240,145,95,11,5,2024-09-24,2024-09-28,Asia/Hong_Kong,,False,False
2,ifs_20240923_12,2024-09-23,2024-09-23 12:00:00+00:00,12,core_partial_response_retry,https://single-runs-api.open-meteo.com/v1/forecast?latitude=22.3019444444&longitude=114.1741666667&run=2024-09-23T12%3A00&hourly=temperature_2m&models=ecmwf_ifs&timezone=Asia%2FHong_Kong&temperature_unit=celsius&cell_selection=land&forecast_hours=240,data/raw/v2/open_meteo_single_runs_two_year/2024/09/ecmwf_ifs_20240923_12.json.gz,FAILED,no_complete_local_day,1,False,False,cfc46dc6933ae5bb52d842274e4817baa3a1c03c74d64aef2402455248b7f0ed,,0,0,0,0,0,0,,,,ValueError: No complete Hong Kong local day is available.,False,False
3,ifs_20240923_18,2024-09-23,2024-09-23 18:00:00+00:00,18,supplementary_cycle_candidate,https://single-runs-api.open-meteo.com/v1/forecast?latitude=22.3019444444&longitude=114.1741666667&run=2024-09-23T18%3A00&hourly=temperature_2m&models=ecmwf_ifs&timezone=Asia%2FHong_Kong&temperature_unit=celsius&cell_selection=land&forecast_hours=240,data/raw/v2/open_meteo_single_runs_two_year/2024/09/ecmwf_ifs_20240923_18.json.gz,FAILED,no_complete_local_day,1,False,False,524ca3da7f519d77dc5bc3b76c7add81f9f176abbc93b2f68428cea0aeaea737,,0,0,0,0,0,0,,,,ValueError: No complete Hong Kong local day is available.,False,False
4,ifs_20240925_06,2024-09-25,2024-09-25 06:00:00+00:00,6,supplementary_cycle_candidate,https://single-runs-api.open-meteo.com/v1/forecast?latitude=22.3019444444&longitude=114.1741666667&run=2024-09-25T06%3A00&hourly=temperature_2m&models=ecmwf_ifs&timezone=Asia%2FHong_Kong&temperature_unit=celsius&cell_selection=land&forecast_hours=240,data/raw/v2/open_meteo_single_runs_two_year/2024/09/ecmwf_ifs_20240925_06.json.gz,FAILED,no_complete_local_day,1,False,False,15ff89342c58c63f23f79b6c09c8fe0d1890cb16a89020ba98645be5381820de,,0,0,0,0,0,0,,,,ValueError: No complete Hong Kong local day is available.,False,False
5,ifs_20240925_18,2024-09-25,2024-09-25 18:00:00+00:00,18,supplementary_cycle_candidate,https://single-runs-api.open-meteo.com/v1/forecast?latitude=22.3019444444&longitude=114.1741666667&run=2024-09-25T18%3A00&hourly=temperature_2m&models=ecmwf_ifs&timezone=Asia%2FHong_Kong&temperature_unit=celsius&cell_selection=land&forecast_hours=240,data/raw/v2/open_meteo_single_runs_two_year/2024/09/ecmwf_ifs_20240925_18.json.gz,FAILED,run_unavailable,0,False,False,,,0,0,0,0,0,0,,,,"RuntimeError: HTTP 400: {""reason"":""The requested model run is not available. Model: ecmwf_ifs, run: 2024-09-25T18:00Z"",""error"":true}",False,False
6,ifs_20240926_06,2024-09-26,2024-09-26 06:00:00+00:00,6,supplementary_cycle_candidate,https://single-runs-api.open-meteo.com/v1/forecast?latitude=22.3019444444&longitude=114.1741666667&run=2024-09-26T06%3A00&hourly=temperature_2m&models=ecmwf_ifs&timezone=Asia%2FHong_Kong&temperature_unit=celsius&cell_selection=land&forecast_hours=240,data/raw/v2/open_meteo_single_runs_two_year/2024/09/ecmwf_ifs_20240926_06.json.gz,FAILED,run_unavailable,0,False,False,,,0,0,0,0,0,0,,,,"RuntimeError: HTTP 400: {""error"":true,""reason"":""The requested model run is not available. Model: ecmwf_ifs, run: 2024-09-26T06:00Z""}",False,False
7,ifs_20240926_12,2024-09-26,2024-09-26 12:00:00+00:00,12,core_partial_response_retry,https://single-runs-api.open-meteo.com/v1/forecast?latitude=22.3019444444&longitude=114.1741666667&run=2024-09-26T12%3A00&hourly=temperature_2m&models=ecmwf_ifs&timezone=Asia%2FHong_Kong&temperature_unit=celsius&cell_selection=land&forecast_hours=240,data/raw/v2/open_meteo_single_runs_two_year/2024/09/ecmwf_ifs_20240926_12.json.gz,FAILED,no_complete_local_day,1,False,False,9603b936cfd063db17a1315b3cf29dd76c5b6e52439eed5117b43cf23dc48267,,0,0,0,0,0,0,,,,ValueError: No complete Hong Kong local day is available.,False,False
8,ifs_20240926_18,2024-09-26,2024-09-26 18:00:00+00:00,18,supplementary_cycle_candidate,https://single-runs-api.open-meteo.com/v1/forecast?latitude=22.3019444444&longitude=114.1741666667&run=2024-09-26T18%3A00&hourly=temperature_2m&models=ecmwf_ifs&timezone=Asia%2FHong_Kong&temperature_unit=celsius&cell_selection=land&forecast_hours=240,data/raw/v2/open_meteo_single_runs_two_year/2024/09/ecmwf_ifs_20240926_18.json.gz,FAILED,run_unavailable,0,False,False,,,0,0,0,0,0,0,,,,"RuntimeError: HTTP 400: {""error"":true,""reason"":""The requested model run is not available. Model: ecmwf_ifs, run: 2024-09-26T18:00Z""}",False,False
9,ifs_20240927_06,2024-09-27,2024-09-27 06:00:00+00:00,6,supplementary_cycle_candidate,https://single-runs-api.open-meteo.com/v1/forecast?latitude=22.3019444444&longitude=114.1741666667&run=2024-09-27T06%3A00&hourly=temperature_2m&models=ecmwf_ifs&timezone=Asia%2FHong_Kong&temperature_unit=celsius&cell_selection=land&forecast_hours=240,data/raw/v2/open_meteo_single_runs_two_year/2024/09/ecmwf_ifs_20240927_06.json.gz,FAILED,no_complete_local_day,1,False,False,0f2e1b7a3d79639ac34dd5c252faac8fe20d6c55ad0df0c22c5a3a169b9dfbce,,0,0,0,0,0,0,,,,ValueError: No complete Hong Kong local day is available.,False,False
10,ifs_20240927_12,2024-09-27,2024-09-27 12:00:00+00:00,12,core_partial_response_retry,https://single-runs-api.open-meteo.com/v1/forecast?latitude=22.3019444444&longitude=114.1741666667&run=2024-09-27T12%3A00&hourly=temperature_2m&models=ecmwf_ifs&timezone=Asia%2FHong_Kong&temperature_unit=celsius&cell_selection=land&forecast_hours=240,data/raw/v2/open_meteo_single_runs_two_year/2024/09/ecmwf_ifs_20240927_12.json.gz,FAILED,no_complete_local_day,1,False,False,9e2b9afea8eecc0a7ba7af9351d735027bcc6c3147b0e8913c72aa0becaf2bd4,,0,0,0,0,0,0,,,,ValueError: No complete Hong Kong local day is available.,False,False
11,ifs_20240927_18,2024-09-27,2024-09-27 18:00:00+00:00,18,supplementary_cycle_candidate,https://single-runs-api.open-meteo.com/v1/forecast?latitude=22.3019444444&longitude=114.1741666667&run=2024-09-27T18%3A00&hourly=temperature_2m&models=ecmwf_ifs&timezone=Asia%2FHong_Kong&temperature_unit=celsius&cell_selection=land&forecast_hours=240,data/raw/v2/open_meteo_single_runs_two_year/2024/09/ecmwf_ifs_20240927_18.json.gz,DOWNLOADED_VALID,,1,True,False,1b26f0a91d677600d3e12a57c5b3ac02e8d6df266efa6ad869ae2f12cdf6983e,5f67fb02dddb3c60fbbbd4dbd478638312b4cc6b588300aad1ba0ced67890fc1,1018,240,145,95,11,5,2024-09-29,2024-10-03,Asia/Hong_Kong,,False,False
12,ifs_20240928_00,2024-09-28,2024-09-28 00:00:00+00:00,0,core_partial_response_retry,https://single-runs-api.open-meteo.com/v1/forecast?latitude=22.3019444444&longitude=114.1741666667&run=2024-09-28T00%3A00&hourly=temperature_2m&models=ecmwf_ifs&timezone=Asia%2FHong_Kong&temperature_unit=celsius&cell_selection=land&forecast_hours=240,data/raw/v2/open_meteo_single_runs_two_year/2024/09/ecmwf_ifs_20240928_00.json.gz,FAILED,no_complete_local_day,1,False,False,bbe8af6128e641f7a1afa7912fc269b3224aae6aeec089e0c0b0f247d3c1dbb0,,0,0,0,0,0,0,,,,ValueError: No complete Hong Kong local day is available.,False,False
13,ifs_20240928_06,2024-09-28,2024-09-28 06:00:00+00:00,6,supplementary_cycle_candidate,https://single-runs-api.open-meteo.com/v1/forecast?latitude=22.3019444444&longitude=114.1741666667&run=2024-09-28T06%3A00&hourly=temperature_2m&models=ecmwf_ifs&timezone=Asia%2FHong_Kong&temperature_unit=celsius&cell_selection=land&forecast_hours=240,data/raw/v2/open_meteo_single_runs_two_year/2024/09/ecmwf_ifs_20240928_06.json.gz,FAILED,run_unavailable,0,False,False,,,0,0,0,0,0,0,,,,"RuntimeError: HTTP 400: {""error"":true,""reason"":""The requested model run is not available. Model: ecmwf_ifs, run: 2024-09-28T06:00Z""}",False,False
14,ifs_20240928_18,2024-09-28,2024-09-28 18:00:00+00:00,18,supplementary_cycle_candidate,https://single-runs-api.open-meteo.com/v1/forecast?latitude=22.3019444444&longitude=114.1741666667&run=2024-09-28T18%3A00&hourly=temperature_2m&models=ecmwf_ifs&timezone=Asia%2FHong_Kong&temperature_unit=celsius&cell_selection=land&forecast_hours=240,data/raw/v2/open_meteo_single_runs_two_year/2024/09/ecmwf_ifs_20240928_18.json.gz,DOWNLOADED_VALID,,1,True,False,e374712239116a1ac7d650a15db1e5a2378e2f37b2596a8a03f80834ffa31739,bd0f220e17c5a6002c6e79fc4726df6e5177970f6d984c1f90c701969dcbe968,1026,240,145,95,11,5,2024-09-30,2024-10-04,Asia/Hong_Kong,,False,False
15,ifs_20240929_06,2024-09-29,2024-09-29 06:00:00+00:00,6,supplementary_cycle_candidate,https://single-runs-api.open-meteo.com/v1/forecast?latitude=22.3019444444&longitude=114.1741666667&run=2024-09-29T06%3A00&hourly=temperature_2m&models=ecmwf_ifs&timezone=Asia%2FHong_Kong&temperature_unit=celsius&cell_selection=land&forecast_hours=240,data/raw/v2/open_meteo_single_runs_two_year/2024/09/ecmwf_ifs_20240929_06.json.gz,FAILED,run_unavailable,0,False,False,,,0,0,0,0,0,0,,,,"RuntimeError: HTTP 400: {""error"":true,""reason"":""The requested model run is not available. Model: ecmwf_ifs, run: 2024-09-29T06:00Z""}",False,False
16,ifs_20240929_12,2024-09-29,2024-09-29 12:00:00+00:00,12,core_partial_response_retry,https://single-runs-api.open-meteo.com/v1/forecast?latitude=22.3019444444&longitude=114.1741666667&run=2024-09-29T12%3A00&hourly=temperature_2m&models=ecmwf_ifs&timezone=Asia%2FHong_Kong&temperature_unit=celsius&cell_selection=land&forecast_hours=240,data/raw/v2/open_meteo_single_runs_two_year/2024/09/ecmwf_ifs_20240929_12.json.gz,FAILED,no_complete_local_day,1,False,False,66b358628da1351b5b4c01d54fb065acec398704765c12e923fea6c49a8d4508,,0,0,0,0,0,0,,,,ValueError: No complete Hong Kong local day is available.,False,False
