repair_order,request_id,run_date,run_init_utc,cycle_utc,repair_role,request_url,cache_path,status,failure_type,attempts,network_retrieved,cache_reused,response_sha256,compressed_file_sha256,compressed_file_bytes,hourly_rows,nonmissing_temperature_rows,missing_temperature_rows,daily_rows,complete_local_day_count,first_complete_local_date,last_complete_local_date,returned_timezone,error,market_price_accessed,outcome_accessed
17,ifs_20240929_18,2024-09-29,2024-09-29 18:00:00+00:00,18,supplementary_cycle_candidate,https://single-runs-api.open-meteo.com/v1/forecast?latitude=22.3019444444&longitude=114.1741666667&run=2024-09-29T18%3A00&hourly=temperature_2m&models=ecmwf_ifs&timezone=Asia%2FHong_Kong&temperature_unit=celsius&cell_selection=land&forecast_hours=240,data/raw/v2/open_meteo_single_runs_two_year/2024/09/ecmwf_ifs_20240929_18.json.gz,DOWNLOADED_VALID,,1,True,False,494a8387a2c5c35e2aa8aaee487c906e1c37e3b4137fd999bf92b944d266968f,6a08560e40bf61e8c300104cc9f3290b3191446aaf2b183ba88b36c08c02809d,1035,240,145,95,11,5,2024-10-01,2024-10-05,Asia/Hong_Kong,,False,False
18,ifs_20240930_06,2024-09-30,2024-09-30 06:00:00+00:00,6,supplementary_cycle_candidate,https://single-runs-api.open-meteo.com/v1/forecast?latitude=22.3019444444&longitude=114.1741666667&run=2024-09-30T06%3A00&hourly=temperature_2m&models=ecmwf_ifs&timezone=Asia%2FHong_Kong&temperature_unit=celsius&cell_selection=land&forecast_hours=240,data/raw/v2/open_meteo_single_runs_two_year/2024/09/ecmwf_ifs_20240930_06.json.gz,FAILED,no_complete_local_day,1,False,False,45fda2528738236702d10574aa5ac4405e5dafbf95e59f4269f4c7595df04b6b,,0,0,0,0,0,0,,,,ValueError: No complete Hong Kong local day is available.,False,False
19,ifs_20240930_18,2024-09-30,2024-09-30 18:00:00+00:00,18,supplementary_cycle_candidate,https://single-runs-api.open-meteo.com/v1/forecast?latitude=22.3019444444&longitude=114.1741666667&run=2024-09-30T18%3A00&hourly=temperature_2m&models=ecmwf_ifs&timezone=Asia%2FHong_Kong&temperature_unit=celsius&cell_selection=land&forecast_hours=240,data/raw/v2/open_meteo_single_runs_two_year/2024/09/ecmwf_ifs_20240930_18.json.gz,DOWNLOADED_VALID,,1,True,False,6cbd3156786f9a08b22b6a84d0ec9441fd12f5cf5369f7dd375c6e53ff947fbf,754f7c412231413e33e61ee6cf0b5b2b3a09c3c4d0556495bc04ef3215a85bce,1035,240,145,95,11,5,2024-10-02,2024-10-06,Asia/Hong_Kong,,False,False
20,ifs_20241207_06,2024-12-07,2024-12-07 06:00:00+00:00,6,supplementary_cycle_candidate,https://single-runs-api.open-meteo.com/v1/forecast?latitude=22.3019444444&longitude=114.1741666667&run=2024-12-07T06%3A00&hourly=temperature_2m&models=ecmwf_ifs&timezone=Asia%2FHong_Kong&temperature_unit=celsius&cell_selection=land&forecast_hours=240,data/raw/v2/open_meteo_single_runs_two_year/2024/12/ecmwf_ifs_20241207_06.json.gz,DOWNLOADED_VALID,,1,True,False,8cb704a93d2e09e44b0354c75edd438894528b42a8e42dd3ca58c34b7c83bca3,dd7204d689f393dfd7d4eb373630e367293cd73fcfe1e1ee54648d4690ff8492,1029,240,145,95,11,5,2024-12-08,2024-12-12,Asia/Hong_Kong,,False,False
21,ifs_20241207_12,2024-12-07,2024-12-07 12:00:00+00:00,12,core_partial_response_retry,https://single-runs-api.open-meteo.com/v1/forecast?latitude=22.3019444444&longitude=114.1741666667&run=2024-12-07T12%3A00&hourly=temperature_2m&models=ecmwf_ifs&timezone=Asia%2FHong_Kong&temperature_unit=celsius&cell_selection=land&forecast_hours=240,data/raw/v2/open_meteo_single_runs_two_year/2024/12/ecmwf_ifs_20241207_12.json.gz,FAILED,no_complete_local_day,1,False,False,f3e3931d95e6e42f6eb5a08f4e21f2eb421cb8c42966f16f6a522f841800ae6d,,0,0,0,0,0,0,,,,ValueError: No complete Hong Kong local day is available.,False,False
22,ifs_20241207_18,2024-12-07,2024-12-07 18:00:00+00:00,18,supplementary_cycle_candidate,https://single-runs-api.open-meteo.com/v1/forecast?latitude=22.3019444444&longitude=114.1741666667&run=2024-12-07T18%3A00&hourly=temperature_2m&models=ecmwf_ifs&timezone=Asia%2FHong_Kong&temperature_unit=celsius&cell_selection=land&forecast_hours=240,data/raw/v2/open_meteo_single_runs_two_year/2024/12/ecmwf_ifs_20241207_18.json.gz,DOWNLOADED_VALID,,1,True,False,1ab4d3b870719f6000ce54cd30964104ea859d819e17b2cf5155740d0e3240bd,9e4d8cb21dc12998fd3b0746c7e0fcfec74d3eccc195e498ba66cdaa7cf461bf,1013,240,145,95,11,5,2024-12-09,2024-12-13,Asia/Hong_Kong,,False,False
23,ifs_20241209_06,2024-12-09,2024-12-09 06:00:00+00:00,6,supplementary_cycle_candidate,https://single-runs-api.open-meteo.com/v1/forecast?latitude=22.3019444444&longitude=114.1741666667&run=2024-12-09T06%3A00&hourly=temperature_2m&models=ecmwf_ifs&timezone=Asia%2FHong_Kong&temperature_unit=celsius&cell_selection=land&forecast_hours=240,data/raw/v2/open_meteo_single_runs_two_year/2024/12/ecmwf_ifs_20241209_06.json.gz,FAILED,run_unavailable,0,False,False,,,0,0,0,0,0,0,,,,"RuntimeError: HTTP 400: {""reason"":""The requested model run is not available. Model: ecmwf_ifs, run: 2024-12-09T06:00Z"",""error"":true}",False,False
24,ifs_20241209_18,2024-12-09,2024-12-09 18:00:00+00:00,18,supplementary_cycle_candidate,https://single-runs-api.open-meteo.com/v1/forecast?latitude=22.3019444444&longitude=114.1741666667&run=2024-12-09T18%3A00&hourly=temperature_2m&models=ecmwf_ifs&timezone=Asia%2FHong_Kong&temperature_unit=celsius&cell_selection=land&forecast_hours=240,data/raw/v2/open_meteo_single_runs_two_year/2024/12/ecmwf_ifs_20241209_18.json.gz,FAILED,no_complete_local_day,1,False,False,f666138765e242b04a557dd6efde81f523ad455159a155a10c8ff20a3f648d2f,,0,0,0,0,0,0,,,,ValueError: No complete Hong Kong local day is available.,False,False
25,ifs_20241211_06,2024-12-11,2024-12-11 06:00:00+00:00,6,supplementary_cycle_candidate,https://single-runs-api.open-meteo.com/v1/forecast?latitude=22.3019444444&longitude=114.1741666667&run=2024-12-11T06%3A00&hourly=temperature_2m&models=ecmwf_ifs&timezone=Asia%2FHong_Kong&temperature_unit=celsius&cell_selection=land&forecast_hours=240,data/raw/v2/open_meteo_single_runs_two_year/2024/12/ecmwf_ifs_20241211_06.json.gz,FAILED,no_complete_local_day,1,False,False,198a72574649997b1471566bb76be47856d6a98418cbaec6a9143ed91892bee4,,0,0,0,0,0,0,,,,ValueError: No complete Hong Kong local day is available.,False,False
26,ifs_20241211_18,2024-12-11,2024-12-11 18:00:00+00:00,18,supplementary_cycle_candidate,https://single-runs-api.open-meteo.com/v1/forecast?latitude=22.3019444444&longitude=114.1741666667&run=2024-12-11T18%3A00&hourly=temperature_2m&models=ecmwf_ifs&timezone=Asia%2FHong_Kong&temperature_unit=celsius&cell_selection=land&forecast_hours=240,data/raw/v2/open_meteo_single_runs_two_year/2024/12/ecmwf_ifs_20241211_18.json.gz,DOWNLOADED_VALID,,1,True,False,c429e083c2330c03388bbdae88105306c6c48986d7cf04f97a64176836e8b3ba,b77caa142863e278f9b2bdac17f8d7d12345816eda45ad939f236330b57c0769,1009,240,145,95,11,5,2024-12-13,2024-12-17,Asia/Hong_Kong,,False,False
27,ifs_20241212_06,2024-12-12,2024-12-12 06:00:00+00:00,6,supplementary_cycle_candidate,https://single-runs-api.open-meteo.com/v1/forecast?latitude=22.3019444444&longitude=114.1741666667&run=2024-12-12T06%3A00&hourly=temperature_2m&models=ecmwf_ifs&timezone=Asia%2FHong_Kong&temperature_unit=celsius&cell_selection=land&forecast_hours=240,data/raw/v2/open_meteo_single_runs_two_year/2024/12/ecmwf_ifs_20241212_06.json.gz,DOWNLOADED_VALID,,1,True,False,1679515c7a0dc7a9cbde9a23796cea87964286566493bbd7ae6c8940d5cdaa2e,4c7f02cf0cffc3e57407639cb60c3f4f0249c1b7ec652ad52fde0ca9cd26abf6,1023,240,145,95,11,5,2024-12-13,2024-12-17,Asia/Hong_Kong,,False,False
28,ifs_20241212_18,2024-12-12,2024-12-12 18:00:00+00:00,18,supplementary_cycle_candidate,https://single-runs-api.open-meteo.com/v1/forecast?latitude=22.3019444444&longitude=114.1741666667&run=2024-12-12T18%3A00&hourly=temperature_2m&models=ecmwf_ifs&timezone=Asia%2FHong_Kong&temperature_unit=celsius&cell_selection=land&forecast_hours=240,data/raw/v2/open_meteo_single_runs_two_year/2024/12/ecmwf_ifs_20241212_18.json.gz,DOWNLOADED_VALID,,1,True,False,9b61f8e2b27f4eea1e9cebef6298f023d548c88a194bc1908f728bb70be0807c,6d3efca9cee04b4959750394fc8e71651a9233e69b9aeaa8a8e26b0636247d40,1010,240,145,95,11,5,2024-12-14,2024-12-18,Asia/Hong_Kong,,False,False
29,ifs_20241214_00,2024-12-14,2024-12-14 00:00:00+00:00,0,core_partial_response_retry,https://single-runs-api.open-meteo.com/v1/forecast?latitude=22.3019444444&longitude=114.1741666667&run=2024-12-14T00%3A00&hourly=temperature_2m&models=ecmwf_ifs&timezone=Asia%2FHong_Kong&temperature_unit=celsius&cell_selection=land&forecast_hours=240,data/raw/v2/open_meteo_single_runs_two_year/2024/12/ecmwf_ifs_20241214_00.json.gz,FAILED,no_complete_local_day,1,False,False,d2d2d7ca01abfff096fb419e63b4e151a1816d68cac819bf362e88f1b46f5d6e,,0,0,0,0,0,0,,,,ValueError: No complete Hong Kong local day is available.,False,False
30,ifs_20241214_06,2024-12-14,2024-12-14 06:00:00+00:00,6,supplementary_cycle_candidate,https://single-runs-api.open-meteo.com/v1/forecast?latitude=22.3019444444&longitude=114.1741666667&run=2024-12-14T06%3A00&hourly=temperature_2m&models=ecmwf_ifs&timezone=Asia%2FHong_Kong&temperature_unit=celsius&cell_selection=land&forecast_hours=240,data/raw/v2/open_meteo_single_runs_two_year/2024/12/ecmwf_ifs_20241214_06.json.gz,DOWNLOADED_VALID,,1,True,False,2c172e57c86b54a7cef763b359b1b2eac9fb83d0970ac192ff083ec5c860637b,555ac2a88ff2948b9fd8f7c795fb2e18381a9aae34bbcfcec0c726143dba2010,1015,240,145,95,11,5,2024-12-15,2024-12-19,Asia/Hong_Kong,,False,False
31,ifs_20241214_18,2024-12-14,2024-12-14 18:00:00+00:00,18,supplementary_cycle_candidate,https://single-runs-api.open-meteo.com/v1/forecast?latitude=22.3019444444&longitude=114.1741666667&run=2024-12-14T18%3A00&hourly=temperature_2m&models=ecmwf_ifs&timezone=Asia%2FHong_Kong&temperature_unit=celsius&cell_selection=land&forecast_hours=240,data/raw/v2/open_meteo_single_runs_two_year/2024/12/ecmwf_ifs_20241214_18.json.gz,FAILED,no_complete_local_day,1,False,False,7250ce94258929a716764fe49d0c4760b13f12a05f4785a8304677df79ba8a9c,,0,0,0,0,0,0,,,,ValueError: No complete Hong Kong local day is available.,False,False
32,ifs_20241215_06,2024-12-15,2024-12-15 06:00:00+00:00,6,supplementary_cycle_candidate,https://single-runs-api.open-meteo.com/v1/forecast?latitude=22.3019444444&longitude=114.1741666667&run=2024-12-15T06%3A00&hourly=temperature_2m&models=ecmwf_ifs&timezone=Asia%2FHong_Kong&temperature_unit=celsius&cell_selection=land&forecast_hours=240,data/raw/v2/open_meteo_single_runs_two_year/2024/12/ecmwf_ifs_20241215_06.json.gz,FAILED,no_complete_local_day,1,False,False,75d695f6531fc0fd72c858877bbea903aa5f9930fdf161cc6e215bb9d9049920,,0,0,0,0,0,0,,,,ValueError: No complete Hong Kong local day is available.,False,False
33,ifs_20241215_18,2024-12-15,2024-12-15 18:00:00+00:00,18,supplementary_cycle_candidate,https://single-runs-api.open-meteo.com/v1/forecast?latitude=22.3019444444&longitude=114.1741666667&run=2024-12-15T18%3A00&hourly=temperature_2m&models=ecmwf_ifs&timezone=Asia%2FHong_Kong&temperature_unit=celsius&cell_selection=land&forecast_hours=240,data/raw/v2/open_meteo_single_runs_two_year/2024/12/ecmwf_ifs_20241215_18.json.gz,DOWNLOADED_VALID,,1,True,False,4a45ec129cfcca4ba9b0f2190fbb0574e987d52269b159c69382d8ffd0778246,0d25d60773dedc6c1498520d3ebbf401471ba6d83b55cc4f8f5bffe0d75f9538,1008,240,145,95,11,5,2024-12-17,2024-12-21,Asia/Hong_Kong,,False,False
34,ifs_20241216_06,2024-12-16,2024-12-16 06:00:00+00:00,6,supplementary_cycle_candidate,https://single-runs-api.open-meteo.com/v1/forecast?latitude=22.3019444444&longitude=114.1741666667&run=2024-12-16T06%3A00&hourly=temperature_2m&models=ecmwf_ifs&timezone=Asia%2FHong_Kong&temperature_unit=celsius&cell_selection=land&forecast_hours=240,data/raw/v2/open_meteo_single_runs_two_year/2024/12/ecmwf_ifs_20241216_06.json.gz,FAILED,run_unavailable,0,False,False,,,0,0,0,0,0,0,,,,"RuntimeError: HTTP 400: {""error"":true,""reason"":""The requested model run is not available. Model: ecmwf_ifs, run: 2024-12-16T06:00Z""}",False,False
35,ifs_20241216_18,2024-12-16,2024-12-16 18:00:00+00:00,18,supplementary_cycle_candidate,https://single-runs-api.open-meteo.com/v1/forecast?latitude=22.3019444444&longitude=114.1741666667&run=2024-12-16T18%3A00&hourly=temperature_2m&models=ecmwf_ifs&timezone=Asia%2FHong_Kong&temperature_unit=celsius&cell_selection=land&forecast_hours=240,data/raw/v2/open_meteo_single_runs_two_year/2024/12/ecmwf_ifs_20241216_18.json.gz,FAILED,no_complete_local_day,1,False,False,849c9c496cd4635c7598a293d6e853fb91eec3896bf128d021d4761c9930b3c9,,0,0,0,0,0,0,,,,ValueError: No complete Hong Kong local day is available.,False,False
36,ifs_20241217_00,2024-12-17,2024-12-17 00:00:00+00:00,0,core_partial_response_retry,https://single-runs-api.open-meteo.com/v1/forecast?latitude=22.3019444444&longitude=114.1741666667&run=2024-12-17T00%3A00&hourly=temperature_2m&models=ecmwf_ifs&timezone=Asia%2FHong_Kong&temperature_unit=celsius&cell_selection=land&forecast_hours=240,data/raw/v2/open_meteo_single_runs_two_year/2024/12/ecmwf_ifs_20241217_00.json.gz,FAILED,no_complete_local_day,1,False,False,f498fbd4998c38938b22236fc99a58f14b9c142d05f03d36a12e59c9399599d1,,0,0,0,0,0,0,,,,ValueError: No complete Hong Kong local day is available.,False,False
37,ifs_20241217_06,2024-12-17,2024-12-17 06:00:00+00:00,6,supplementary_cycle_candidate,https://single-runs-api.open-meteo.com/v1/forecast?latitude=22.3019444444&longitude=114.1741666667&run=2024-12-17T06%3A00&hourly=temperature_2m&models=ecmwf_ifs&timezone=Asia%2FHong_Kong&temperature_unit=celsius&cell_selection=land&forecast_hours=240,data/raw/v2/open_meteo_single_runs_two_year/2024/12/ecmwf_ifs_20241217_06.json.gz,FAILED,no_complete_local_day,1,False,False,b8016f3da73c11e13ce8071b5a7117822a74f61344c1162ef17b3e14db6ebf9b,,0,0,0,0,0,0,,,,ValueError: No complete Hong Kong local day is available.,False,False
38,ifs_20241217_18,2024-12-17,2024-12-17 18:00:00+00:00,18,supplementary_cycle_candidate,https://single-runs-api.open-meteo.com/v1/forecast?latitude=22.3019444444&longitude=114.1741666667&run=2024-12-17T18%3A00&hourly=temperature_2m&models=ecmwf_ifs&timezone=Asia%2FHong_Kong&temperature_unit=celsius&cell_selection=land&forecast_hours=240,data/raw/v2/open_meteo_single_runs_two_year/2024/12/ecmwf_ifs_20241217_18.json.gz,DOWNLOADED_VALID,,1,True,False,f4bd6378228332e07163e9c7661c59ddd744a44c8eb1de8653024355402dc95d,b852bb5b2e5dcc1b3ca7f8793e44fe305be629f1441c6c442a91f91898dfb9bb,1017,240,145,95,11,5,2024-12-19,2024-12-23,Asia/Hong_Kong,,False,False
39,ifs_20241218_00,2024-12-18,2024-12-18 00:00:00+00:00,0,core_partial_response_retry,https://single-runs-api.open-meteo.com/v1/forecast?latitude=22.3019444444&longitude=114.1741666667&run=2024-12-18T00%3A00&hourly=temperature_2m&models=ecmwf_ifs&timezone=Asia%2FHong_Kong&temperature_unit=celsius&cell_selection=land&forecast_hours=240,data/raw/v2/open_meteo_single_runs_two_year/2024/12/ecmwf_ifs_20241218_00.json.gz,FAILED,no_complete_local_day,1,False,False,01a760d21e7e65753d57b69722a341edd4b9030d2d64db1279d82cbbfbc505fd,,0,0,0,0,0,0,,,,ValueError: No complete Hong Kong local day is available.,False,False
