request_id,target_date,decision_rule,run_init_utc,decision_time_utc,existing_forecast_daily_max_c,assumed_available_utc,available_before_decision
1,2026-04-12,24h_prior,2026-04-10T06:00,2026-04-10T16:00:00Z,27.0,2026-04-10T12:00:00Z,True
2,2026-04-12,12h_prior,2026-04-10T18:00,2026-04-11T04:00:00Z,26.9,2026-04-11T00:00:00Z,True
3,2026-04-12,6h_prior,2026-04-11T00:00,2026-04-11T10:00:00Z,27.2,2026-04-11T06:00:00Z,True
4,2026-04-12,event_day_open,2026-04-11T06:00,2026-04-11T16:00:00Z,27.1,2026-04-11T12:00:00Z,True
5,2026-04-21,24h_prior,2026-04-19T06:00,2026-04-19T16:00:00Z,25.9,2026-04-19T12:00:00Z,True
6,2026-04-21,12h_prior,2026-04-19T18:00,2026-04-20T04:00:00Z,25.4,2026-04-20T00:00:00Z,True
7,2026-04-21,6h_prior,2026-04-20T00:00,2026-04-20T10:00:00Z,26.4,2026-04-20T06:00:00Z,True
8,2026-04-21,event_day_open,2026-04-20T06:00,2026-04-20T16:00:00Z,27.0,2026-04-20T12:00:00Z,True
9,2026-04-30,24h_prior,2026-04-28T06:00,2026-04-28T16:00:00Z,24.5,2026-04-28T12:00:00Z,True
10,2026-04-30,12h_prior,2026-04-28T18:00,2026-04-29T04:00:00Z,24.4,2026-04-29T00:00:00Z,True
11,2026-04-30,6h_prior,2026-04-29T00:00,2026-04-29T10:00:00Z,25.2,2026-04-29T06:00:00Z,True
12,2026-04-30,event_day_open,2026-04-29T06:00,2026-04-29T16:00:00Z,24.9,2026-04-29T12:00:00Z,True
13,2026-05-10,24h_prior,2026-05-08T06:00,2026-05-08T16:00:00Z,25.0,2026-05-08T12:00:00Z,True
14,2026-05-10,12h_prior,2026-05-08T18:00,2026-05-09T04:00:00Z,25.1,2026-05-09T00:00:00Z,True
15,2026-05-10,6h_prior,2026-05-09T00:00,2026-05-09T10:00:00Z,25.0,2026-05-09T06:00:00Z,True
16,2026-05-10,event_day_open,2026-05-09T06:00,2026-05-09T16:00:00Z,25.1,2026-05-09T12:00:00Z,True
17,2026-05-21,24h_prior,2026-05-19T06:00,2026-05-19T16:00:00Z,26.5,2026-05-19T12:00:00Z,True
18,2026-05-21,12h_prior,2026-05-19T18:00,2026-05-20T04:00:00Z,27.3,2026-05-20T00:00:00Z,True
19,2026-05-21,6h_prior,2026-05-20T00:00,2026-05-20T10:00:00Z,28.8,2026-05-20T06:00:00Z,True
20,2026-05-21,event_day_open,2026-05-20T06:00,2026-05-20T16:00:00Z,27.7,2026-05-20T12:00:00Z,True
