target_date,decision_rule,decision_rule_order,decision_offset_hours,target_midnight_hkt,decision_time_hkt,decision_time_utc,request_id,run_init_utc,cycle_utc,inventory_source,hourly_rows,unique_local_hours,nonmissing_temperature_rows,forecast_daily_max_c,forecast_daily_min_c,forecast_daily_mean_c,complete_local_day,cache_path,issued_before_decision,run_age_hours_at_decision,support_available,selection_rule,market_price_accessed,outcome_accessed,model_fitted,model_selected,used_for_weather_only_training
2024-03-16,24h_prior,0,-24.0,2024-03-16 00:00:00+08:00,2024-03-15 00:00:00+08:00,2024-03-14 16:00:00+00:00,ifs_20240314_12,2024-03-14 12:00:00+00:00,12,original_core_retrieval,24,24,24,22.9,19.4,20.854166666666668,True,data/raw/v2/open_meteo_single_runs_two_year/2024/03/ecmwf_ifs_20240314_12.json.gz,True,4.0,True,latest available complete-day forecast issued no later than the decision time,False,False,False,False,True
2024-03-16,12h_prior,1,-12.0,2024-03-16 00:00:00+08:00,2024-03-15 12:00:00+08:00,2024-03-15 04:00:00+00:00,ifs_20240315_00,2024-03-15 00:00:00+00:00,0,original_core_retrieval,24,24,24,22.5,19.3,20.662499999999998,True,data/raw/v2/open_meteo_single_runs_two_year/2024/03/ecmwf_ifs_20240315_00.json.gz,True,4.0,True,latest available complete-day forecast issued no later than the decision time,False,False,False,False,True
2024-03-16,6h_prior,2,-6.0,2024-03-16 00:00:00+08:00,2024-03-15 18:00:00+08:00,2024-03-15 10:00:00+00:00,ifs_20240315_00,2024-03-15 00:00:00+00:00,0,original_core_retrieval,24,24,24,22.5,19.3,20.662499999999998,True,data/raw/v2/open_meteo_single_runs_two_year/2024/03/ecmwf_ifs_20240315_00.json.gz,True,10.0,True,latest available complete-day forecast issued no later than the decision time,False,False,False,False,True
2024-03-16,event_day_open,3,0.0,2024-03-16 00:00:00+08:00,2024-03-16 00:00:00+08:00,2024-03-15 16:00:00+00:00,ifs_20240315_12,2024-03-15 12:00:00+00:00,12,original_core_retrieval,24,24,24,22.6,19.2,20.341666666666665,True,data/raw/v2/open_meteo_single_runs_two_year/2024/03/ecmwf_ifs_20240315_12.json.gz,True,4.0,True,latest available complete-day forecast issued no later than the decision time,False,False,False,False,True
2024-03-17,24h_prior,0,-24.0,2024-03-17 00:00:00+08:00,2024-03-16 00:00:00+08:00,2024-03-15 16:00:00+00:00,ifs_20240315_12,2024-03-15 12:00:00+00:00,12,original_core_retrieval,24,24,24,24.9,19.7,21.566666666666666,True,data/raw/v2/open_meteo_single_runs_two_year/2024/03/ecmwf_ifs_20240315_12.json.gz,True,4.0,True,latest available complete-day forecast issued no later than the decision time,False,False,False,False,True
2024-03-17,12h_prior,1,-12.0,2024-03-17 00:00:00+08:00,2024-03-16 12:00:00+08:00,2024-03-16 04:00:00+00:00,ifs_20240316_00,2024-03-16 00:00:00+00:00,0,original_core_retrieval,24,24,24,24.9,19.3,21.3625,True,data/raw/v2/open_meteo_single_runs_two_year/2024/03/ecmwf_ifs_20240316_00.json.gz,True,4.0,True,latest available complete-day forecast issued no later than the decision time,False,False,False,False,True
2024-03-17,6h_prior,2,-6.0,2024-03-17 00:00:00+08:00,2024-03-16 18:00:00+08:00,2024-03-16 10:00:00+00:00,ifs_20240316_00,2024-03-16 00:00:00+00:00,0,original_core_retrieval,24,24,24,24.9,19.3,21.3625,True,data/raw/v2/open_meteo_single_runs_two_year/2024/03/ecmwf_ifs_20240316_00.json.gz,True,10.0,True,latest available complete-day forecast issued no later than the decision time,False,False,False,False,True
2024-03-17,event_day_open,3,0.0,2024-03-17 00:00:00+08:00,2024-03-17 00:00:00+08:00,2024-03-16 16:00:00+00:00,ifs_20240316_12,2024-03-16 12:00:00+00:00,12,original_core_retrieval,24,24,24,24.8,19.3,21.079166666666666,True,data/raw/v2/open_meteo_single_runs_two_year/2024/03/ecmwf_ifs_20240316_12.json.gz,True,4.0,True,latest available complete-day forecast issued no later than the decision time,False,False,False,False,True
2024-03-18,24h_prior,0,-24.0,2024-03-18 00:00:00+08:00,2024-03-17 00:00:00+08:00,2024-03-16 16:00:00+00:00,ifs_20240316_12,2024-03-16 12:00:00+00:00,12,original_core_retrieval,24,24,24,22.2,19.2,20.329166666666666,True,data/raw/v2/open_meteo_single_runs_two_year/2024/03/ecmwf_ifs_20240316_12.json.gz,True,4.0,True,latest available complete-day forecast issued no later than the decision time,False,False,False,False,True
2024-03-18,12h_prior,1,-12.0,2024-03-18 00:00:00+08:00,2024-03-17 12:00:00+08:00,2024-03-17 04:00:00+00:00,ifs_20240317_00,2024-03-17 00:00:00+00:00,0,original_core_retrieval,24,24,24,21.9,19.4,20.462500000000002,True,data/raw/v2/open_meteo_single_runs_two_year/2024/03/ecmwf_ifs_20240317_00.json.gz,True,4.0,True,latest available complete-day forecast issued no later than the decision time,False,False,False,False,True
