target_date,source_contract_id,event_label,source_event_type,lower_bound_c,upper_bound_c,event_type,observed_temperature_c,provided_outcome,contract_key,derived_outcome,realised_yes,decision_rule,forecast_daily_max_c,gp_temperature_mean_c,gp_temperature_std_c,gp_event_probability,sample_period,binary_brier,binary_log
2026-06-01,0xb307e444e68e3bb08c72ae397bb5ddc3ad52b461651d4a46382cd678e3aa5eba,Will the highest temperature in Hong Kong be 23°C or below on June 1?,lower_tail,-inf,24.0,lower_tail,32.3,,0xb307e444e68e3bb08c72ae397bb5ddc3ad52b461651d4a46382cd678e3aa5eba,0.0,0.0,12h_prior,30.0,31.488539463815727,1.5571585415717548,7.580364938673182e-07,out_of_sample_validation,5.746193260346568e-13,7.580367812184064e-07
2026-06-01,0x855b089d9694b33d353814ae45c8285358811d83f7e3a934973f11a9abad5256,Will the highest temperature in Hong Kong be 24°C on June 1?,interior,24.0,25.0,interior,32.3,,0x855b089d9694b33d353814ae45c8285358811d83f7e3a934973f11a9abad5256,0.0,0.0,12h_prior,30.0,31.488539463815727,1.5571585415717548,1.4679781251823797e-05,out_of_sample_validation,2.1549597760139745e-10,1.4679889000846204e-05
2026-06-01,0x2d54ac685c9e456e29dba8600ef0aa39540601a36b3c6e1c3644544c30f03af5,Will the highest temperature in Hong Kong be 25°C on June 1?,interior,25.0,26.0,interior,32.3,,0x2d54ac685c9e456e29dba8600ef0aa39540601a36b3c6e1c3644544c30f03af5,0.0,0.0,12h_prior,30.0,31.488539463815727,1.5571585415717548,0.00019653180911404297,out_of_sample_validation,3.862475199363862e-08,0.00019655112402075398
2026-06-01,0x56a553df9b24aff835961091e65b58021b7efd4c68d69a9b795e61fcc11a6e72,Will the highest temperature in Hong Kong be 26°C on June 1?,interior,26.0,27.0,interior,32.3,,0x56a553df9b24aff835961091e65b58021b7efd4c68d69a9b795e61fcc11a6e72,0.0,0.0,12h_prior,30.0,31.488539463815727,1.5571585415717548,0.0017605755535719057,out_of_sample_validation,3.099626279835022e-06,0.0017621271881592077
2026-06-01,0xe95be8f9703da75c21fb11dfe0c6885be76b04a5d259c43c8b30810fec61dc02,Will the highest temperature in Hong Kong be 27°C on June 1?,interior,27.0,28.0,interior,32.3,,0xe95be8f9703da75c21fb11dfe0c6885be76b04a5d259c43c8b30810fec61dc02,0.0,0.0,12h_prior,30.0,31.488539463815727,1.5571585415717548,0.010562406875343516,out_of_sample_validation,0.00011156443900030398,0.010618585029358975
2026-06-01,0x588c8d282c4a4e13d4c97db3854d059a900edbb0ea4342936997051016db06fb,Will the highest temperature in Hong Kong be 28°C on June 1?,interior,28.0,29.0,interior,32.3,,0x588c8d282c4a4e13d4c97db3854d059a900edbb0ea4342936997051016db06fb,0.0,0.0,12h_prior,30.0,31.488539463815727,1.5571585415717548,0.04247223758212904,out_of_sample_validation,0.0018038909652328147,0.043400563655380524
2026-06-01,0xe8dfee53344362412d799bcff99d093bc4d488bde9f9dcd12f9470dbebfa9348,Will the highest temperature in Hong Kong be 29°C on June 1?,interior,29.0,30.0,interior,32.3,,0xe8dfee53344362412d799bcff99d093bc4d488bde9f9dcd12f9470dbebfa9348,0.0,0.0,12h_prior,30.0,31.488539463815727,1.5571585415717548,0.11454581611075891,out_of_sample_validation,0.013120743988479795,0.12165456348264957
2026-06-01,0xf1ae8fe9c6d9dba8a2f372b833f5913b65dd9eb889c35c042a89de21ae9a15cd,Will the highest temperature in Hong Kong be 30°C on June 1?,interior,30.0,31.0,interior,32.3,,0xf1ae8fe9c6d9dba8a2f372b833f5913b65dd9eb889c35c042a89de21ae9a15cd,0.0,0.0,12h_prior,30.0,31.488539463815727,1.5571585415717548,0.20730709636604266,out_of_sample_validation,0.0429762322037197,0.23231939132498203
2026-06-01,0x9e3f168e62c43f6fdc160325cf255e96169edcfa8db339d240c7e98bc23f5c4f,Will the highest temperature in Hong Kong be 31°C on June 1?,interior,31.0,32.0,interior,32.3,,0x9e3f168e62c43f6fdc160325cf255e96169edcfa8db339d240c7e98bc23f5c4f,0.0,0.0,12h_prior,30.0,31.488539463815727,1.5571585415717548,0.2518570438224217,out_of_sample_validation,0.06343197052296924,0.2901612013838931
2026-06-01,0x5e631305f2e5756130a67da51306ed48c142104c4cb6b5aa92c3daa56ec2c473,Will the highest temperature in Hong Kong be 32°C on June 1?,interior,32.0,33.0,interior,32.3,,0x5e631305f2e5756130a67da51306ed48c142104c4cb6b5aa92c3daa56ec2c473,1.0,1.0,12h_prior,30.0,31.488539463815727,1.5571585415717548,0.20542229033007064,out_of_sample_validation,0.6313537367043105,1.5826874658077017
