target_date,decision_rule,forecast_daily_max_c,gp_temperature_mean_c,gp_temperature_std_c,observed_temperature_c,realised_event_probability,multiclass_brier,sample_period,categorical_log,continuous_crps_c,gp_error_c,gp_absolute_error_c,pit,covered_50,covered_80,covered_90,covered_95
2026-03-16,24h_prior,21.6,23.378525091339007,1.391885258831647,24.0,0.3276185386827297,0.5990957956671272,weather_plus_market_training,1.1159053392187197,0.4341750667374292,-0.6214749086609928,0.6214749086609928,0.6723814613172703,True,True,True,True
2026-03-17,6h_prior,22.9,24.03109539074848,1.3015866565383885,24.0,0.2812135275068868,0.6491505959644314,weather_plus_market_training,1.2686410138481958,0.3044706164346525,0.031095390748479446,0.031095390748479446,0.49047002665315986,True,True,True,True
2026-03-18,12h_prior,25.0,25.48101610980937,1.3430627846488667,27.8,0.09867227656799815,1.0082046961900601,weather_plus_market_training,2.315951257834401,1.6072645985515346,-2.31898389019063,2.31898389019063,0.957883695036479,False,False,False,True
2026-03-18,6h_prior,25.6,26.010744707278807,1.3609014574523783,27.8,0.16173086514200607,0.8809489006252706,weather_plus_market_training,1.8218216515665069,1.1415293067139716,-1.7892552927211938,1.7892552927211938,0.9057042794776197,False,False,True,True
2026-03-21,12h_prior,22.8,24.07340625300518,1.3229990203212385,22.3,0.15005052325262866,0.9082244475095325,weather_plus_market_training,1.8967832199133796,1.1374561649573014,1.7734062530051808,1.7734062530051808,0.09005050055224018,False,False,True,True
2026-03-22,12h_prior,24.3,25.07936325394095,1.353057985773568,25.4,0.27526459602287834,0.6553190433891746,weather_plus_market_training,1.2900224765459551,0.3463741910190117,-0.3206367460590478,0.3206367460590478,0.5936607119955829,True,True,True,True
2026-03-22,event_day_open,24.4,25.42076487011419,1.2695204203720698,25.4,0.30574198961375526,0.608855131561273,weather_plus_market_training,1.1850137038954087,0.29681603947248986,0.020764870114192036,0.020764870114192036,0.4934750043064789,True,True,True,True
2026-03-23,12h_prior,25.5,26.06349642771493,1.3914893141019298,27.4,0.1684563723908995,0.8638845495562661,weather_plus_market_training,1.7810784802760866,0.8012852021187933,-1.3365035722850678,1.3365035722850678,0.831594223350107,False,True,True,True
2026-03-23,24h_prior,25.5,26.32157690824949,1.5214925799323165,27.4,0.19285457307952736,0.8044413871651847,weather_plus_market_training,1.645818881466572,0.6483551882576238,-1.0784230917505084,1.0784230917505084,0.7607734883562398,False,True,True,True
2026-03-23,event_day_open,26.2,27.195827697452557,1.3291571893798115,27.4,0.28598365501565803,0.6702601080887661,weather_plus_market_training,1.2518206200903268,0.3231048325224202,-0.20417230254744112,0.20417230254744112,0.5610415125971644,True,True,True,True
2026-03-24,24h_prior,25.6,26.46762247647007,1.5286267957068944,26.9,0.25634542198040194,0.680119726876927,weather_plus_market_training,1.3612294393850655,0.4057001429993383,-0.4323775235299294,0.4323775235299294,0.6113554505578129,True,True,True,True
2026-03-24,event_day_open,25.4,26.412052128821184,1.3098525877189964,26.9,0.29669506257613987,0.6212919793713235,weather_plus_market_training,1.2150503929558116,0.37779497461803585,-0.48794787117881455,0.48794787117881455,0.6452475884710549,True,True,True,True
2026-03-25,24h_prior,27.6,28.73922639741345,1.5637019280375846,30.0,0.681801101840206,0.14525823223510348,weather_plus_market_training,0.38301730320424265,0.7503461603249068,-1.26077360258655,1.26077360258655,0.7899578177034405,False,True,True,True
2026-03-26,event_day_open,25.6,26.654167730614684,1.326005163362323,28.4,0.15506423275972758,0.9070611245775765,weather_plus_market_training,1.8639158430034186,1.1142526706318978,-1.745832269385314,1.745832269385314,0.9060153847480112,False,False,True,True
2026-03-27,24h_prior,25.5,26.47046474199375,1.5383229229978082,26.2,0.2547957566866299,0.6715078268148433,weather_plus_market_training,1.367293008928962,0.3784203451208558,0.27046474199375226,0.27046474199375226,0.43021849403286616,True,True,True,True
2026-03-27,event_day_open,26.3,27.374172469862685,1.3495928262035002,26.2,0.23650622602785698,0.7360843827802195,weather_plus_market_training,1.4417807456974807,0.6990487480653274,1.174172469862686,1.174172469862686,0.1921447941117823,False,True,True,True
