source,grouping_definition,target_date,decision_rule,request_id,run_id,forecast_issue_time_utc,decision_time_utc,source_rows,target_day_rows,unique_local_hours,conflicting_hours,earliest_valid_hour_hkt,latest_valid_hour_hkt,forecast_daily_max_c,source_preference,status,reason,selection_rule
data/interim/notebook02_sources/hourly_forecasts/03_18q_june_2026_request_hourly_paths.csv,source_target_date_decision_rule_issue_time,2026-06-05,12h_prior,,,2026-06-03T18:00:00Z,2026-06-04T04:00:00Z,24,24,24,0,2026-06-05 00:00:00+08:00,2026-06-05 23:00:00+08:00,33.2,1900.0,ADMITTED,,latest_admissible_issue_time_then_source_preference
data/interim/notebook02_sources/hourly_forecasts/03_18q_june_2026_request_hourly_paths.csv,source_target_date_decision_rule_issue_time,2026-06-05,24h_prior,,,2026-06-03T06:00:00Z,2026-06-03T16:00:00Z,24,24,24,0,2026-06-05 00:00:00+08:00,2026-06-05 23:00:00+08:00,33.9,1900.0,ADMITTED,,latest_admissible_issue_time_then_source_preference
data/interim/notebook02_sources/hourly_forecasts/03_18q_june_2026_request_hourly_paths.csv,source_target_date_decision_rule_issue_time,2026-06-05,6h_prior,,,2026-06-04T00:00:00Z,2026-06-04T10:00:00Z,24,24,24,0,2026-06-05 00:00:00+08:00,2026-06-05 23:00:00+08:00,32.9,1900.0,ADMITTED,,latest_admissible_issue_time_then_source_preference
data/interim/notebook02_sources/hourly_forecasts/03_18q_june_2026_request_hourly_paths.csv,source_target_date_decision_rule_issue_time,2026-06-05,event_day_open,,,2026-06-04T06:00:00Z,2026-06-04T16:00:00Z,24,24,24,0,2026-06-05 00:00:00+08:00,2026-06-05 23:00:00+08:00,33.5,1900.0,ADMITTED,,latest_admissible_issue_time_then_source_preference
data/interim/notebook02_sources/hourly_forecasts/03_18q_june_2026_request_hourly_paths.csv,source_target_date_decision_rule_issue_time,2026-06-06,12h_prior,,,2026-06-04T18:00:00Z,2026-06-05T04:00:00Z,24,24,24,0,2026-06-06 00:00:00+08:00,2026-06-06 23:00:00+08:00,30.1,1900.0,ADMITTED,,latest_admissible_issue_time_then_source_preference
data/interim/notebook02_sources/hourly_forecasts/03_18q_june_2026_request_hourly_paths.csv,source_target_date_decision_rule_issue_time,2026-06-06,24h_prior,,,2026-06-04T06:00:00Z,2026-06-04T16:00:00Z,24,24,24,0,2026-06-06 00:00:00+08:00,2026-06-06 23:00:00+08:00,30.5,1900.0,ADMITTED,,latest_admissible_issue_time_then_source_preference
data/interim/notebook02_sources/hourly_forecasts/03_18q_june_2026_request_hourly_paths.csv,source_target_date_decision_rule_issue_time,2026-06-06,6h_prior,,,2026-06-05T00:00:00Z,2026-06-05T10:00:00Z,24,24,24,0,2026-06-06 00:00:00+08:00,2026-06-06 23:00:00+08:00,31.4,1900.0,ADMITTED,,latest_admissible_issue_time_then_source_preference
data/interim/notebook02_sources/hourly_forecasts/03_18q_june_2026_request_hourly_paths.csv,source_target_date_decision_rule_issue_time,2026-06-06,event_day_open,,,2026-06-05T06:00:00Z,2026-06-05T16:00:00Z,24,24,24,0,2026-06-06 00:00:00+08:00,2026-06-06 23:00:00+08:00,30.1,1900.0,ADMITTED,,latest_admissible_issue_time_then_source_preference
data/interim/notebook02_sources/hourly_forecasts/03_18q_june_2026_request_hourly_paths.csv,source_target_date_decision_rule_issue_time,2026-06-07,12h_prior,,,2026-06-05T18:00:00Z,2026-06-06T04:00:00Z,24,24,24,0,2026-06-07 00:00:00+08:00,2026-06-07 23:00:00+08:00,28.7,1900.0,ADMITTED,,latest_admissible_issue_time_then_source_preference
data/interim/notebook02_sources/hourly_forecasts/03_18q_june_2026_request_hourly_paths.csv,source_target_date_decision_rule_issue_time,2026-06-07,24h_prior,,,2026-06-05T06:00:00Z,2026-06-05T16:00:00Z,24,24,24,0,2026-06-07 00:00:00+08:00,2026-06-07 23:00:00+08:00,28.2,1900.0,ADMITTED,,latest_admissible_issue_time_then_source_preference
data/interim/notebook02_sources/hourly_forecasts/03_18q_june_2026_request_hourly_paths.csv,source_target_date_decision_rule_issue_time,2026-06-07,6h_prior,,,2026-06-06T00:00:00Z,2026-06-06T10:00:00Z,24,24,24,0,2026-06-07 00:00:00+08:00,2026-06-07 23:00:00+08:00,28.5,1900.0,ADMITTED,,latest_admissible_issue_time_then_source_preference
data/interim/notebook02_sources/hourly_forecasts/03_18q_june_2026_request_hourly_paths.csv,source_target_date_decision_rule_issue_time,2026-06-07,event_day_open,,,2026-06-06T06:00:00Z,2026-06-06T16:00:00Z,24,24,24,0,2026-06-07 00:00:00+08:00,2026-06-07 23:00:00+08:00,27.0,1900.0,ADMITTED,,latest_admissible_issue_time_then_source_preference
data/interim/notebook02_sources/hourly_forecasts/03_18q_june_2026_request_hourly_paths.csv,source_target_date_decision_rule_issue_time,2026-06-08,12h_prior,,,2026-06-06T18:00:00Z,2026-06-07T04:00:00Z,24,24,24,0,2026-06-08 00:00:00+08:00,2026-06-08 23:00:00+08:00,27.8,1900.0,ADMITTED,,latest_admissible_issue_time_then_source_preference
