target_month,decision_rule,n,unique_dates,mean_forecast_c,mean_hko_c,mean_residual_c,forecast_bias_c,mae_c,rmse_c,median_absolute_error_c,residual_sd_c,residual_q05_c,residual_q25_c,residual_q50_c,residual_q75_c,residual_q95_c,max_absolute_error_c,forecast_hko_correlation
2025-10,event_day_open,31,31,28.2419354839,29.8903225806,1.6483870968,-1.6483870968,1.7903225806,2.0715429811,1.8000000000,1.2753747077,-0.4000000000,0.8500000000,1.8000000000,2.4500000000,3.4500000000,3.6000000000,0.9329413047
2025-11,24h_prior,30,30,24.7566666667,24.6500000000,-0.1066666667,0.1066666667,1.1466666667,1.3969013327,1.2000000000,1.4166335358,-1.9550000000,-1.2000000000,0.0000000000,0.6750000000,1.9100000000,3.1000000000,0.8676449377
2025-11,12h_prior,30,30,24.5233333333,24.6500000000,0.1266666667,-0.1266666667,1.0466666667,1.2500666649,1.0500000000,1.2648928899,-1.5000000000,-0.8000000000,0.1000000000,1.1000000000,1.8000000000,2.9000000000,0.8989249105
2025-11,6h_prior,30,30,24.5400000000,24.6500000000,0.1100000000,-0.1100000000,1.0033333333,1.2515323940,0.9000000000,1.2680014141,-1.6550000000,-0.9750000000,0.0500000000,0.9000000000,2.1650000000,2.5000000000,0.9180339548
2025-11,event_day_open,30,30,24.5400000000,24.6500000000,0.1100000000,-0.1100000000,1.0033333333,1.2515323940,0.9000000000,1.2680014141,-1.6550000000,-0.9750000000,0.0500000000,0.9000000000,2.1650000000,2.5000000000,0.9180339548
2025-12,24h_prior,22,22,22.0863636364,22.4272727273,0.3409090909,-0.3409090909,0.8136363636,0.9022698649,0.8000000000,0.8550461368,-0.9950000000,-0.3750000000,0.6000000000,1.0500000000,1.3900000000,1.6000000000,0.9381810080
2025-12,12h_prior,20,20,21.7700000000,22.1850000000,0.4150000000,-0.4150000000,0.7950000000,0.9630680142,0.7500000000,0.8916424820,-1.1050000000,-0.0250000000,0.5500000000,0.9250000000,1.4400000000,2.2000000000,0.9267955932
2025-12,6h_prior,19,19,21.9789473684,22.5421052632,0.5631578947,-0.5631578947,1.0578947368,1.2671974880,0.9000000000,1.1662906662,-1.0400000000,-0.2000000000,0.5000000000,1.2500000000,2.4500000000,2.9000000000,0.8950236209
2025-12,event_day_open,22,22,22.1636363636,22.8090909091,0.6454545455,-0.6454545455,0.9727272727,1.2090567323,0.7500000000,1.0464121344,-0.7900000000,0.2250000000,0.4500000000,1.2250000000,2.3700000000,2.9000000000,0.8754931042
2026-01,24h_prior,31,31,19.6741935484,20.3419354839,0.6677419355,-0.6677419355,1.1645161290,1.4894250893,1.0000000000,1.3533629956,-1.0000000000,-0.3000000000,0.8000000000,1.3000000000,1.9000000000,5.4000000000,0.8341340759
2026-01,12h_prior,29,29,19.4827586207,20.3862068966,0.9034482759,-0.9034482759,1.1724137931,1.5474116319,0.9000000000,1.2785267075,-0.7400000000,-0.1000000000,0.9000000000,1.4000000000,3.4200000000,4.0000000000,0.8614526091
2026-01,6h_prior,30,30,19.6766666667,20.2966666667,0.6200000000,-0.6200000000,0.9266666667,1.1684747893,0.7500000000,1.0073522823,-1.0000000000,-0.1250000000,0.6500000000,1.1750000000,2.4100000000,3.0000000000,0.9212043351
2026-01,event_day_open,31,31,19.6903225806,20.3419354839,0.6516129032,-0.6516129032,0.9483870968,1.1848506099,0.8000000000,1.0059393513,-1.0000000000,-0.0500000000,0.7000000000,1.2000000000,2.4000000000,3.0000000000,0.9188181464
2026-02,24h_prior,28,28,22.4285714286,22.9464285714,0.5178571429,-0.5178571429,1.0750000000,1.3808641187,0.9000000000,1.3035716098,-1.3650000000,-0.0500000000,0.5000000000,1.2500000000,2.7650000000,3.1000000000,0.8894629112
2026-02,12h_prior,28,28,22.1857142857,22.9464285714,0.7607142857,-0.7607142857,1.1107142857,1.3983408536,0.8000000000,1.1948467392,-1.1200000000,0.0500000000,0.8000000000,1.3250000000,2.8300000000,3.2000000000,0.9035679008
2026-02,6h_prior,28,28,22.5000000000,22.9464285714,0.4464285714,-0.4464285714,1.0107142857,1.3102616969,0.7500000000,1.2544682045,-1.4950000000,0.0250000000,0.5000000000,0.9500000000,2.4650000000,3.0000000000,0.8963269657
2026-02,event_day_open,28,28,22.5000000000,22.9464285714,0.4464285714,-0.4464285714,1.0107142857,1.3102616969,0.7500000000,1.2544682045,-1.4950000000,0.0250000000,0.5000000000,0.9500000000,2.4650000000,3.0000000000,0.8963269657
2026-03,24h_prior,28,28,23.3714285714,24.5785714286,1.2071428571,-1.2071428571,1.6357142857,2.0350500169,1.3500000000,1.6684276411,-0.8250000000,0.4750000000,1.1000000000,2.2000000000,3.8450000000,4.5000000000,0.8356806758
2026-03,12h_prior,30,30,23.0033333333,24.4766666667,1.4733333333,-1.4733333333,1.9133333333,2.2631835984,1.9000000000,1.7473000519,-1.6850000000,0.4250000000,1.5500000000,2.5750000000,4.1650000000,4.4000000000,0.8193482109
2026-03,6h_prior,29,29,23.2379310345,24.6068965517,1.3689655172,-1.3689655172,1.6172413793,2.0064551002,1.4000000000,1.4928648031,-0.8600000000,0.3000000000,1.4000000000,2.2000000000,4.1200000000,4.3000000000,0.8692898240
2026-03,event_day_open,28,28,23.2571428571,24.5714285714,1.3142857143,-1.3142857143,1.5714285714,1.9390719430,1.4000000000,1.4518734476,-0.8900000000,0.2750000000,1.4000000000,2.1250000000,3.9500000000,4.5000000000,0.8799714736
2026-04,24h_prior,30,30,26.3066666667,27.9433333333,1.6366666667,-1.6366666667,1.6700000000,1.8872378405,1.5000000000,0.9557388669,0.1450000000,1.1250000000,1.5000000000,2.3750000000,3.1550000000,3.3000000000,0.8096735939
2026-04,12h_prior,30,30,26.1500000000,27.9433333333,1.7933333333,-1.7933333333,1.7933333333,1.9979989990,1.7500000000,0.8959423216,0.2700000000,1.3250000000,1.7500000000,2.4000000000,3.2100000000,3.6000000000,0.8333312009
2026-04,6h_prior,30,30,26.3366666667,27.9433333333,1.6066666667,-1.6066666667,1.6933333333,1.8883855539,1.5000000000,1.0092446248,-0.2100000000,1.1250000000,1.5000000000,2.2500000000,3.0550000000,3.6000000000,0.8040242463
2026-04,event_day_open,30,30,26.3366666667,27.9433333333,1.6066666667,-1.6066666667,1.6933333333,1.8883855539,1.5000000000,1.0092446248,-0.2100000000,1.1250000000,1.5000000000,2.2500000000,3.0550000000,3.6000000000,0.8040242463
2026-05,24h_prior,31,31,27.6483870968,29.2387096774,1.5903225806,-1.5903225806,1.8032258065,2.0543423718,2.0000000000,1.3219568421,-0.9500000000,0.9000000000,2.0000000000,2.3500000000,3.1000000000,4.6000000000,0.8942761774
2026-05,12h_prior,31,31,27.4935483871,29.2387096774,1.7451612903,-1.7451612903,1.7903225806,2.0678023241,1.9000000000,1.1274864995,-0.1500000000,1.0000000000,1.9000000000,2.6000000000,3.4500000000,3.9000000000,0.9241189003
2026-05,6h_prior,31,31,27.7612903226,29.2387096774,1.4774193548,-1.4774193548,1.6967741935,1.9658372590,1.9000000000,1.3182588712,-0.7000000000,0.4500000000,1.9000000000,2.6500000000,3.0000000000,3.4000000000,0.8975688733
2026-05,event_day_open,31,31,27.7612903226,29.2387096774,1.4774193548,-1.4774193548,1.6967741935,1.9658372590,1.9000000000,1.3182588712,-0.7000000000,0.4500000000,1.9000000000,2.6500000000,3.0000000000,3.4000000000,0.8975688733
2026-06,24h_prior,30,30,29.5166666667,31.1733333333,1.6566666667,-1.6566666667,1.8366666667,2.0486580974,1.7500000000,1.2257814772,-0.7150000000,1.0750000000,1.7500000000,2.5500000000,3.2000000000,3.7000000000,0.8044465007
2026-06,12h_prior,30,30,29.4400000000,31.1733333333,1.7333333333,-1.7333333333,1.7533333333,2.0033305602,1.5500000000,1.0216056778,0.4000000000,1.0500000000,1.5500000000,2.5500000000,3.2200000000,4.1000000000,0.8593515145
