event_date,parent_event_id,parent_event_slug,parent_event_created_at,event_day_open_utc,contract_rows,structurally_complete,partition_detail,created_by_event_day_open,eligible_complete_book,selected
2026-05-19,493669,arch-highest-temperature-in-hong-kong-on-may-19-2026,2026-05-17T04:04:38.933176+00:00,2026-05-18T16:00:00+00:00,11,True,complete_11_event_partition,True,True,True
2026-05-19,503637,highest-temperature-in-hong-kong-on-may-19-2026,2026-05-19T22:01:08.487989+00:00,2026-05-18T16:00:00+00:00,11,True,complete_11_event_partition,False,False,False
