yes_token_id,market_id,event_date,source,status,attempts,has_history,history_rows,error
18417729625237348344675915135810781093247776356764996381548944727108053313255,1609036,2026-03-16,api,200,1,False,0,
43383111321855602240881631648775717433482999690109088066836459052155991479336,1609038,2026-03-16,api,200,1,False,0,
36508786251613910457392706003537456882985892516067813312291216658502301372664,1609040,2026-03-16,api,200,1,False,0,
92194745892873700692131269123045862416446526760956163556337457001334693550570,1609037,2026-03-16,api,200,1,False,0,
9827907711204688573935195419582402659184868615344114097880668693645597576674,1609041,2026-03-16,api,200,1,False,0,
112907527436634703549261434316170788658307100875401341819250820785128312639422,1609039,2026-03-16,api,200,1,False,0,
107366954408886783324179645534286962077498931146085491007251864326908619994162,1609043,2026-03-16,api,200,1,False,0,
644711705538099671147569167239114773748644373529666158431981360770582588485,1609042,2026-03-16,api,200,1,False,0,
93841664961403431322117383569371933138371976309205073100030056447093674795185,1609045,2026-03-16,api,200,1,False,0,
38575858483837832981114034857956969719203526165201675460878372130157035147479,1609044,2026-03-16,api,200,1,False,0,
96547736760253325103867666165708769433810210787956568202716956033901110343233,1609046,2026-03-16,api,200,1,False,0,
113656669219833780540636424916866265988585025676013893908605651605463790811709,1609223,2026-03-17,api,200,1,False,0,
74497006838952431952518915957389614336591327614945999092550950814520458469010,1609222,2026-03-17,api,200,1,False,0,
94069879086499840940333475922582303418183329007883386757464006533312215702513,1609224,2026-03-17,api,200,1,False,0,
47390239619823337508883329907370539238167695119489890630851619214868152253943,1609225,2026-03-17,api,200,1,False,0,
49602471127960949590593685192049246839981606701922447529540723025275693520218,1609226,2026-03-17,api,200,1,False,0,
52334144911727063682373729382852861422916855397219794803911657751398310730953,1609227,2026-03-17,api,200,1,False,0,
5519714897316392424620467314930107991429427796210736821556360577603335683128,1609228,2026-03-17,api,200,1,False,0,
53511384592913421092099637635384463703865039027729014211533444169155360475780,1609229,2026-03-17,api,200,1,False,0,
83521332951951659959183456926834991075070286924702650079224309738528544896272,1609230,2026-03-17,api,200,1,False,0,
110474255066493490332588316800377380653285496596456220682434262080826926516690,1609283,2026-03-18,api,200,1,True,22,
90201303442793564200994242062868707253275954439605696810946009562152635995543,1609231,2026-03-17,api,200,1,False,0,
37360368221043859735577577762103864480884668984172010078154389162590441254438,1609284,2026-03-18,api,200,1,True,22,
22145438231607492786248212827857227280720837366678546698439731971698231574617,1609285,2026-03-18,api,200,1,True,22,
22934479917760701215287278315472904846214466137533312331227437532354462195085,1609286,2026-03-18,api,200,1,True,22,
74430768769298393535324126048859683264008360041597564587110533195812172019009,1609221,2026-03-17,api,200,1,False,0,
55799776111437449950755224612061328454593820669968373633248129469898230341057,1609289,2026-03-18,api,200,1,True,22,
49564577024420605914456724618800305233138629860131859992441195347379033049612,1609290,2026-03-18,api,200,1,True,22,
14905800807098121335450400627311466522885081603036629837583273111730697417676,1609287,2026-03-18,api,200,1,True,22,
38643976793577449599167113728084786609484981080463675275750414431860275832645,1609288,2026-03-18,api,200,1,True,22,
12656638109055951261831148616722371673366233304846545884747086856267391003970,1609291,2026-03-18,api,200,1,True,22,
65325550865731780765945673249095015807109286488076063591627840343472326859602,1609292,2026-03-18,api,200,1,True,22,
66728546636913381438287184123387568955943105833454696721546466213565130921220,1609338,2026-03-19,api,200,1,True,47,
111327742962296719107191162056033180829045697164415206391456323781676603034973,1609339,2026-03-19,api,200,1,True,47,
33331969367428365469801839917865236033975877132756792676749966476776128222554,1609340,2026-03-19,api,200,1,True,47,
53037367002185492159295706167922652040897401640235496432151791691138525055341,1609341,2026-03-19,api,200,1,True,44,
12268222159614728738434981709516892438897395269600915350011382182854202444351,1609293,2026-03-18,api,200,1,True,22,
79187960723332863706622452381680494705039830276425331491162122163992604308333,1609342,2026-03-19,api,200,1,True,44,
58255877209506276757395985315962201378432754743544335956414400721811407209025,1609345,2026-03-19,api,200,1,True,47,
15431830448012691091108550077442519840908831304557557953827441407855696839787,1609343,2026-03-19,api,200,1,True,46,
24762042096779966601488432413643803930851179036897482337508583017551372623713,1609346,2026-03-19,api,200,1,True,47,
49876605515183080888328511221418524643937427572367378711874446294155620015523,1609344,2026-03-19,api,200,1,True,47,
