event_date,market_id,market_slug,group_item_title,yes_token_id,contract_event_type,threshold_c,lower_bound_c,upper_bound_c,event_rank,decision_rule,decision_cutoff_utc,target_available,hko_daily_max_c,Y,empirical_period,market_price_available,market_raw_yes,selected_price_timestamp_unix,selected_price_timestamp_utc,record_age_hours,book_contracts,prices_available,market_book_sum,market_book_complete,market_normalised
2026-03-16,1609040,highest-temperature-in-hong-kong-on-march-16-2026-18c,18°C,36508786251613910457392706003537456882985892516067813312291216658502301372664,interior_bin,18,18.0,19.0,4,6h_prior,2026-03-15T10:00:00+00:00,True,24.0,0.0,market_development,False,,,,,11,0,,False,
2026-03-16,1609040,highest-temperature-in-hong-kong-on-march-16-2026-18c,18°C,36508786251613910457392706003537456882985892516067813312291216658502301372664,interior_bin,18,18.0,19.0,4,event_day_open,2026-03-15T16:00:00+00:00,True,24.0,0.0,market_development,False,,,,,11,0,,False,
2026-03-16,1609041,highest-temperature-in-hong-kong-on-march-16-2026-19c,19°C,9827907711204688573935195419582402659184868615344114097880668693645597576674,interior_bin,19,19.0,20.0,5,24h_prior,2026-03-14T16:00:00+00:00,True,24.0,0.0,market_development,False,,,,,11,0,,False,
2026-03-16,1609041,highest-temperature-in-hong-kong-on-march-16-2026-19c,19°C,9827907711204688573935195419582402659184868615344114097880668693645597576674,interior_bin,19,19.0,20.0,5,12h_prior,2026-03-15T04:00:00+00:00,True,24.0,0.0,market_development,False,,,,,11,0,,False,
2026-03-16,1609041,highest-temperature-in-hong-kong-on-march-16-2026-19c,19°C,9827907711204688573935195419582402659184868615344114097880668693645597576674,interior_bin,19,19.0,20.0,5,6h_prior,2026-03-15T10:00:00+00:00,True,24.0,0.0,market_development,False,,,,,11,0,,False,
2026-03-16,1609041,highest-temperature-in-hong-kong-on-march-16-2026-19c,19°C,9827907711204688573935195419582402659184868615344114097880668693645597576674,interior_bin,19,19.0,20.0,5,event_day_open,2026-03-15T16:00:00+00:00,True,24.0,0.0,market_development,False,,,,,11,0,,False,
2026-03-16,1609042,highest-temperature-in-hong-kong-on-march-16-2026-20c,20°C,644711705538099671147569167239114773748644373529666158431981360770582588485,interior_bin,20,20.0,21.0,6,24h_prior,2026-03-14T16:00:00+00:00,True,24.0,0.0,market_development,False,,,,,11,0,,False,
2026-03-16,1609042,highest-temperature-in-hong-kong-on-march-16-2026-20c,20°C,644711705538099671147569167239114773748644373529666158431981360770582588485,interior_bin,20,20.0,21.0,6,12h_prior,2026-03-15T04:00:00+00:00,True,24.0,0.0,market_development,False,,,,,11,0,,False,
2026-03-16,1609042,highest-temperature-in-hong-kong-on-march-16-2026-20c,20°C,644711705538099671147569167239114773748644373529666158431981360770582588485,interior_bin,20,20.0,21.0,6,6h_prior,2026-03-15T10:00:00+00:00,True,24.0,0.0,market_development,False,,,,,11,0,,False,
2026-03-16,1609042,highest-temperature-in-hong-kong-on-march-16-2026-20c,20°C,644711705538099671147569167239114773748644373529666158431981360770582588485,interior_bin,20,20.0,21.0,6,event_day_open,2026-03-15T16:00:00+00:00,True,24.0,0.0,market_development,False,,,,,11,0,,False,
