event_date,decision_rule,empirical_period,market_book_sum,abs_book_sum_error,categorical_log,multiclass_brier,winning_probability,max_record_age_hours
2026-03-18,12h_prior,market_development,1.3000000000,0.3000000000,1.7540191412,0.7728106509,0.1730769231,0.9927777778
2026-03-18,6h_prior,market_development,0.9990000000,0.0010000000,2.2062744129,0.9241288335,0.1101101101,0.9925000000
2026-03-18,event_day_open,market_development,1.4330000000,0.4330000000,1.6507543302,0.8209143073,0.1919050942,0.9916666667
2026-03-19,12h_prior,market_development,1.2245000000,0.2245000000,2.0668627595,0.9180460654,0.1265822785,0.9925000000
2026-03-19,24h_prior,market_development,1.5290000000,0.5290000000,2.7271990199,0.9882727268,0.0654022237,0.9916666667
2026-03-19,6h_prior,market_development,1.1575000000,0.1575000000,1.1405147803,0.6040239027,0.3196544276,0.9902777778
2026-03-19,event_day_open,market_development,0.9180000000,0.0820000000,1.1697082104,0.6766319697,0.3104575163,1.9875000000
2026-03-21,12h_prior,market_development,1.0985000000,0.0985000000,2.7460881820,1.1201972152,0.0641784251,1.9847222222
2026-03-21,24h_prior,market_development,1.1795000000,0.1795000000,2.5786072736,1.0674718830,0.0758796100,0.9925000000
2026-03-21,6h_prior,market_development,1.0725000000,0.0725000000,4.1155467699,1.2756996539,0.0163170163,0.9930555556
2026-03-21,event_day_open,market_development,1.1055000000,0.1055000000,3.1264892024,1.1573046326,0.0438715513,0.9919444444
2026-03-22,12h_prior,market_development,1.1540000000,0.1540000000,1.2984168082,0.6920563393,0.2729636049,0.9925000000
2026-03-22,24h_prior,market_development,1.0785000000,0.0785000000,1.1397820488,0.5603874266,0.3198887344,0.9908333333
2026-03-22,6h_prior,market_development,1.0840000000,0.0840000000,1.2681014054,0.6487031256,0.2813653137,0.9927777778
2026-03-22,event_day_open,market_development,1.1520000000,0.1520000000,1.6786168131,0.8666784969,0.1866319444,1.9847222222
2026-03-23,12h_prior,market_development,1.2230000000,0.2230000000,1.2949316039,0.6596472356,0.2739165985,0.9947222222
2026-03-23,24h_prior,market_development,1.1710000000,0.1710000000,1.5441524457,0.7685815258,0.2134927412,1.9850000000
2026-03-23,6h_prior,market_development,1.0600000000,0.0600000000,0.8132914924,0.3878034888,0.4433962264,0.9947222222
2026-03-23,event_day_open,market_development,1.2955000000,0.2955000000,1.1504948403,0.6372600819,0.3164801235,0.9950000000
2026-03-24,12h_prior,market_development,1.1430000000,0.1430000000,1.3889224835,0.6921471868,0.2493438320,0.9922222222
2026-03-24,24h_prior,market_development,1.0550000000,0.0550000000,1.7409402208,0.8505366007,0.1753554502,0.9938888889
2026-03-24,6h_prior,market_development,0.9835000000,0.0165000000,1.4315321237,0.7993044357,0.2389425521,0.9897222222
2026-03-24,event_day_open,market_development,1.0495000000,0.0495000000,1.3035799590,0.7462329778,0.2715578847,0.9944444444
2026-03-25,12h_prior,market_development,1.0480000000,0.0480000000,0.4179472673,0.1459026827,0.6583969466,0.9944444444
2026-03-25,24h_prior,market_development,1.1505000000,0.1505000000,0.7289837957,0.3371589285,0.4823989570,0.9952777778
2026-03-25,6h_prior,market_development,1.0280000000,0.0280000000,0.3086526968,0.1114319483,0.7344357977,0.9941666667
2026-03-25,event_day_open,market_development,1.0890000000,0.0890000000,0.6128925860,0.3009627117,0.5417814509,0.9938888889
2026-03-26,12h_prior,market_development,1.0665000000,0.0665000000,0.8088227339,0.4250721313,0.4453820910,0.9944444444
2026-03-26,24h_prior,market_development,1.0525000000,0.0525000000,1.1447930337,0.6041157520,0.3182897862,0.9941666667
2026-03-26,6h_prior,market_development,1.0330000000,0.0330000000,2.4404127988,1.1950315297,0.0871248790,0.9938888889
2026-03-26,event_day_open,market_development,0.9815000000,0.0185000000,3.3775365749,1.3718442225,0.0341314315,0.9933333333
2026-03-27,12h_prior,market_development,1.1075000000,0.1075000000,1.7895046768,0.8972625593,0.1670428894,0.9916666667
2026-03-27,24h_prior,market_development,0.9720000000,0.0280000000,2.0510420672,0.9747386704,0.1286008230,0.9916666667
2026-03-27,6h_prior,market_development,1.1360000000,0.1360000000,2.6532419646,1.1421259733,0.0704225352,0.9930555556
2026-03-27,event_day_open,market_development,1.0500000000,0.0500000000,4.0943445622,1.3527746032,0.0166666667,0.9922222222
2026-03-28,12h_prior,market_development,1.0255000000,0.0255000000,0.9927643248,0.5269413477,0.3705509508,0.9925000000
2026-03-28,24h_prior,market_development,1.1085000000,0.1085000000,1.2424420333,0.6751751596,0.2886783942,0.9933333333
2026-03-28,6h_prior,market_development,1.0270000000,0.0270000000,1.1818245711,0.6540737004,0.3067185979,0.9927777778
2026-03-28,event_day_open,market_development,1.0515000000,0.0515000000,1.1896519993,0.6663415192,0.3043271517,0.9936111111
2026-03-29,12h_prior,market_development,1.0295000000,0.0295000000,2.2363481607,0.9934588691,0.1068479845,0.9919444444
2026-03-29,24h_prior,market_development,1.0585000000,0.0585000000,2.7524804927,1.0969123471,0.0637694851,0.9925000000
2026-03-29,6h_prior,market_development,1.0950000000,0.0950000000,1.9422638369,0.9514338734,0.1433789954,0.9913888889
2026-03-29,event_day_open,market_development,1.0185000000,0.0185000000,2.1811541073,1.0302106176,0.1129111438,4.9841666667
2026-04-01,12h_prior,market_development,1.0955000000,0.0955000000,1.3641765559,0.6849967743,0.2555910543,5.9838888889
2026-04-01,24h_prior,market_development,1.1210000000,0.1210000000,1.2078458912,0.6055906182,0.2988403211,5.9855555556
2026-04-01,6h_prior,market_development,1.1210000000,0.1210000000,1.2694037842,0.6550816820,0.2809991079,4.9844444444
2026-04-01,event_day_open,market_development,1.1845000000,0.1845000000,1.2049582341,0.6330695074,0.2997045167,10.9844444444
2026-04-02,12h_prior,market_development,1.1340000000,0.1340000000,1.3810173040,0.7167356426,0.2513227513,1.9847222222
2026-04-02,24h_prior,market_development,0.9835000000,0.0165000000,1.4750172356,0.7433083085,0.2287747839,10.9847222222
2026-04-02,6h_prior,market_development,1.0705000000,0.0705000000,1.3774591490,0.7214253599,0.2522185894,0.9997222222
2026-04-02,event_day_open,market_development,1.0605000000,0.0605000000,2.0989613235,1.0337748667,0.1225836869,1.9841666667
2026-04-03,12h_prior,market_development,1.1630000000,0.1630000000,1.6651306062,0.8119607946,0.1891659501,1.9888888889
2026-04-03,24h_prior,market_development,1.1965000000,0.1965000000,1.4703848097,0.7384576375,0.2298370247,1.9841666667
2026-04-03,6h_prior,market_development,1.1600000000,0.1600000000,1.5965897700,0.8168367271,0.2025862069,0.9905555556
2026-04-03,event_day_open,market_development,0.9465000000,0.0535000000,1.2179813675,0.6784368914,0.2958267301,3.9847222222
2026-04-04,12h_prior,market_development,1.0600000000,0.0600000000,1.4053425561,0.7040236739,0.2452830189,1.9869444444
2026-04-04,24h_prior,market_development,1.1610000000,0.1610000000,1.4963553507,0.7291836836,0.2239448751,3.9852777778
2026-04-04,6h_prior,market_development,1.0825000000,0.0825000000,1.0601024339,0.5466769784,0.3464203233,1.9847222222
2026-04-04,event_day_open,market_development,1.0400000000,0.0400000000,1.1478833377,0.5786159393,0.3173076923,4.9850000000
2026-04-05,12h_prior,market_development,1.1135000000,0.1135000000,2.2277717439,1.0462666919,0.1077682982,6.9972222222
2026-04-05,24h_prior,market_development,1.0930000000,0.0930000000,1.9532563713,0.9588109143,0.1418115279,4.9847222222
2026-04-05,6h_prior,market_development,1.1375000000,0.1375000000,1.4953246057,0.7958455259,0.2241758242,2.9838888889
2026-04-05,event_day_open,market_development,1.1610000000,0.1610000000,1.4586150227,0.8068640521,0.2325581395,7.9855555556
2026-04-06,12h_prior,market_development,1.1620000000,0.1620000000,1.1857801479,0.5967806559,0.3055077453,19.9852777778
2026-04-06,24h_prior,market_development,1.1585000000,0.1585000000,1.3023087050,0.6604115236,0.2719033233,7.9858333333
2026-04-06,6h_prior,market_development,1.1300000000,0.1300000000,1.1300755581,0.5883322891,0.3230088496,9.9941666667
2026-04-06,event_day_open,market_development,0.9715000000,0.0285000000,1.3181596378,0.7591647597,0.2676273803,15.9941666667
2026-04-07,12h_prior,market_development,1.1020000000,0.1020000000,1.3523928094,0.6731252532,0.2586206897,23.9838888889
2026-04-07,24h_prior,market_development,1.0890000000,0.0890000000,1.5334296088,0.7481025296,0.2157943067,15.9955555556
2026-04-07,6h_prior,market_development,1.0230000000,0.0230000000,0.9643480268,0.5482251328,0.3812316716,1.9891666667
2026-04-07,event_day_open,market_development,1.2015000000,0.2015000000,1.0510713439,0.5661209658,0.3495630462,6.9994444444
2026-04-08,12h_prior,market_development,1.0700000000,0.0700000000,1.4741557169,0.7443689405,0.2289719626,9.9886111111
2026-04-08,24h_prior,market_development,1.0265000000,0.0265000000,1.6355928699,0.8115603815,0.1948368242,35.9841666667
2026-04-08,6h_prior,market_development,1.1740000000,0.1740000000,1.1020252613,0.5673888974,0.3321976150,5.9852777778
2026-04-08,event_day_open,market_development,0.9780000000,0.0220000000,0.7762620873,0.3910034041,0.4601226994,1.9947222222
2026-04-09,12h_prior,market_development,1.1065000000,0.1065000000,1.0050700924,0.5290795936,0.3660189788,1.9933333333
2026-04-09,24h_prior,market_development,1.1725000000,0.1725000000,1.1267222476,0.6171177618,0.3240938166,1.9916666667
2026-04-09,6h_prior,market_development,1.0645000000,0.0645000000,0.8175277896,0.4452150523,0.4415218412,1.9911111111
2026-04-09,event_day_open,market_development,1.0190000000,0.0190000000,0.6257912386,0.3545005061,0.5348380765,1.9855555556
2026-04-10,12h_prior,market_development,1.0940000000,0.0940000000,1.0443526487,0.5586567416,0.3519195612,1.9852777778
2026-04-10,24h_prior,market_development,1.0495000000,0.0495000000,0.8807231082,0.4580551868,0.4144830872,1.9850000000
2026-04-10,6h_prior,market_development,0.8690000000,0.1310000000,1.6921693100,0.9567919953,0.1841196778,1.9861111111
2026-04-10,event_day_open,market_development,1.1110000000,0.1110000000,1.5534302755,0.9743296112,0.2115211521,1.9872222222
2026-04-11,12h_prior,market_development,1.0355000000,0.0355000000,2.2886793307,1.0541801769,0.1014002897,12.9969444444
2026-04-11,24h_prior,market_development,1.0155000000,0.0155000000,2.5411097463,1.1016293245,0.0787789266,1.9880555556
2026-04-11,6h_prior,market_development,0.9455000000,0.0545000000,2.6032186460,1.1857922565,0.0740349022,2.9875000000
2026-04-11,event_day_open,market_development,0.9430000000,0.0570000000,2.0532757370,1.0586309346,0.1283138918,4.9858333333
2026-04-12,12h_prior,market_development,1.0530000000,0.0530000000,1.2390867355,0.6709897737,0.2896486230,4.9977777778
2026-04-12,24h_prior,market_development,1.0250000000,0.0250000000,1.2799587113,0.7136861392,0.2780487805,4.9858333333
2026-04-12,6h_prior,market_development,1.0645000000,0.0645000000,0.8499630654,0.4376777248,0.4274307186,1.9861111111
2026-04-12,event_day_open,market_development,1.1000000000,0.1000000000,0.8292793549,0.4207954545,0.4363636364,5.9919444444
2026-04-13,12h_prior,market_development,1.0485000000,0.0485000000,1.3026266701,0.6792931929,0.2718168813,3.9980555556
2026-04-13,24h_prior,market_development,1.0995000000,0.0995000000,1.1304930205,0.5915967839,0.3228740337,5.9925000000
2026-04-13,6h_prior,market_development,1.1745000000,0.1745000000,1.4161086238,0.7846513493,0.2426564496,9.9958333333
2026-04-13,event_day_open,market_development,1.2380000000,0.2380000000,1.0459064222,0.5982925585,0.3513731826,15.9958333333
2026-04-14,12h_prior,market_development,0.9955000000,0.0045000000,1.0171410921,0.5237728492,0.3616273230,11.9991666667
2026-04-14,6h_prior,market_development,1.0155000000,0.0155000000,0.7919098915,0.4091369591,0.4529788282,5.9852777778
2026-04-14,event_day_open,market_development,1.0290000000,0.0290000000,0.8051162464,0.4192947761,0.4470359572,11.9852777778
2026-04-15,12h_prior,market_development,0.9865000000,0.0135000000,1.3528997803,0.7743030660,0.2584896097,2.9866666667
2026-04-15,24h_prior,market_development,1.0740000000,0.0740000000,1.2921699187,0.7260185734,0.2746741155,7.9850000000
2026-04-15,6h_prior,market_development,1.0250000000,0.0250000000,0.9409833445,0.5429844140,0.3902439024,1.9872222222
2026-04-15,event_day_open,market_development,1.0420000000,0.0420000000,0.9956538880,0.5884681201,0.3694817658,5.9861111111
2026-04-16,event_day_open,market_development,1.2590000000,0.2590000000,1.5968094889,0.8764757132,0.2025416998,14.9841666667
2026-04-17,12h_prior,market_development,1.0660000000,0.0660000000,1.0184252704,0.5544160457,0.3611632270,6.9891666667
2026-04-17,6h_prior,market_development,0.9960000000,0.0040000000,0.9902442519,0.5589058039,0.3714859438,12.9891666667
2026-04-17,event_day_open,market_development,1.0520000000,0.0520000000,1.5203690844,0.9415164308,0.2186311787,18.9891666667
2026-04-18,12h_prior,market_development,1.0655000000,0.0655000000,1.3187102713,0.7008564550,0.2674800563,2.9844444444
2026-04-18,6h_prior,market_development,1.0575000000,0.0575000000,1.0367368850,0.5754590927,0.3546099291,2.9861111111
2026-04-18,event_day_open,market_development,1.0120000000,0.0120000000,1.0475660604,0.5847981339,0.3507905138,2.9877777778
2026-04-19,12h_prior,market_development,0.9695000000,0.0305000000,1.9000467323,0.9865742697,0.1495616297,4.9850000000
2026-04-19,24h_prior,market_development,0.9975000000,0.0025000000,1.8946168547,0.9491834850,0.1503759398,2.9880555556
2026-04-19,6h_prior,market_development,1.0210000000,0.0210000000,2.0232630397,1.0705473979,0.1322233105,2.9836111111
2026-04-19,event_day_open,market_development,1.0340000000,0.0340000000,2.0359152766,1.0874418700,0.1305609284,1.9875000000
2026-04-20,12h_prior,market_development,0.9825000000,0.0175000000,0.9112145788,0.4855189739,0.4020356234,9.9955555556
2026-04-20,24h_prior,market_development,0.9635000000,0.0365000000,1.0126393334,0.5191120959,0.3632589517,1.9883333333
2026-04-20,6h_prior,market_development,1.0420000000,0.0420000000,0.9327400626,0.5176737302,0.3934740883,2.9875000000
2026-04-20,event_day_open,market_development,1.0620000000,0.0620000000,0.9517520421,0.5223616919,0.3860640301,8.9875000000
2026-04-21,12h_prior,market_development,1.0715000000,0.0715000000,1.1188816604,0.6119449557,0.3266448903,11.9941666667
2026-04-21,24h_prior,market_development,1.0940000000,0.0940000000,1.2292749872,0.6591475357,0.2925045704,8.9877777778
2026-04-21,6h_prior,market_development,1.0375000000,0.0375000000,0.9406821850,0.5251562781,0.3903614458,5.9841666667
2026-04-21,event_day_open,market_development,0.9665000000,0.0335000000,0.7756070165,0.4481222881,0.4604242111,8.9847222222
2026-04-22,12h_prior,market_development,1.0135000000,0.0135000000,1.0212676123,0.5583527169,0.3601381352,6.9936111111
2026-04-22,24h_prior,market_development,1.1410000000,0.1410000000,1.1961159328,0.6274317699,0.3023663453,8.9844444444
2026-04-22,6h_prior,market_development,0.9625000000,0.0375000000,0.8174448972,0.4358795075,0.4415584416,1.9980555556
2026-04-22,event_day_open,market_development,0.9780000000,0.0220000000,0.8101636389,0.4645723295,0.4447852761,1.9925000000
2026-04-23,12h_prior,market_development,1.0720000000,0.0720000000,2.2323492133,1.0777325476,0.1072761194,0.9988888889
2026-04-23,24h_prior,market_development,1.0250000000,0.0250000000,2.6149597780,1.0999557406,0.0731707317,1.9936111111
2026-04-23,6h_prior,market_development,1.0440000000,0.0440000000,3.6736700355,1.3211083036,0.0253831418,0.9988888889
2026-04-23,event_day_open,market_development,1.0255000000,0.0255000000,3.3356233169,1.3684064640,0.0355923940,0.9988888889
2026-04-24,12h_prior,market_development,0.9240000000,0.0760000000,0.6974855822,0.3246548275,0.4978354978,0.9986111111
2026-04-24,24h_prior,market_development,1.0590000000,0.0590000000,1.0789763142,0.5575992817,0.3399433428,0.9988888889
2026-04-24,6h_prior,market_development,1.0205000000,0.0205000000,0.7542618783,0.3720448109,0.4703576678,0.9988888889
2026-04-24,event_day_open,market_development,0.9480000000,0.0520000000,0.4327322344,0.1670216222,0.6487341772,0.9988888889
2026-04-25,12h_prior,market_development,1.0045000000,0.0045000000,1.3325153583,0.7182249316,0.2638128422,0.9958333333
2026-04-25,24h_prior,market_development,1.0340000000,0.0340000000,1.0976456380,0.5764649873,0.3336557060,0.9988888889
2026-04-25,6h_prior,market_development,1.0225000000,0.0225000000,1.1934335904,0.6514437384,0.3031784841,0.9988888889
2026-04-25,event_day_open,market_development,1.0095000000,0.0095000000,1.5235828914,0.8955055747,0.2179296682,0.9988888889
2026-04-26,12h_prior,market_development,1.0545000000,0.0545000000,1.0609246463,0.5482233000,0.3461356093,0.9986111111
2026-04-26,24h_prior,market_development,1.0365000000,0.0365000000,1.0575009004,0.5343346995,0.3473227207,0.9988888889
2026-04-26,6h_prior,market_development,1.0310000000,0.0310000000,1.0113584580,0.5488047069,0.3637245393,0.9977777778
2026-04-26,event_day_open,market_development,1.0330000000,0.0330000000,0.8199250502,0.4259077734,0.4404646660,0.9991666667
2026-04-27,12h_prior,market_development,0.9965000000,0.0035000000,1.1051564852,0.6427715267,0.3311590567,0.9944444444
2026-04-27,24h_prior,market_development,1.0370000000,0.0370000000,1.1915145694,0.6636591719,0.3037608486,0.9991666667
2026-04-27,6h_prior,market_development,1.0315000000,0.0315000000,1.4581304092,0.9400632382,0.2326708677,0.9988888889
2026-04-27,event_day_open,market_development,1.0195000000,0.0195000000,1.2400922337,0.7988318039,0.2893575282,0.9991666667
2026-04-28,12h_prior,market_development,1.0175000000,0.0175000000,2.1801717890,1.1158253898,0.1130221130,0.9991666667
2026-04-28,24h_prior,market_development,1.0480000000,0.0480000000,1.8188404278,0.9574152512,0.1622137405,0.9991666667
2026-04-28,6h_prior,market_development,0.9985000000,0.0015000000,2.4064444825,1.1785224156,0.0901352028,0.9991666667
2026-04-28,event_day_open,market_development,0.9730000000,0.0270000000,2.7059968123,1.2392052002,0.0668036999,0.9986111111
2026-04-29,12h_prior,market_development,1.0320000000,0.0320000000,2.6217658325,1.1762030715,0.0726744186,0.9991666667
2026-04-29,24h_prior,market_development,0.9785000000,0.0215000000,2.3321438952,1.1157275391,0.0970873786,0.9986111111
2026-04-29,6h_prior,market_development,0.9860000000,0.0140000000,2.4510050981,1.1616819036,0.0862068966,0.9986111111
2026-04-29,event_day_open,market_development,0.9815000000,0.0185000000,1.9123482713,1.0397706526,0.1477330616,0.9988888889
2026-04-30,12h_prior,market_development,1.0100000000,0.0100000000,0.2084012696,0.0579560827,0.8118811881,0.9991666667
2026-04-30,6h_prior,market_development,1.0205000000,0.0205000000,0.3146637639,0.1137028976,0.7300342969,0.9991666667
2026-04-30,event_day_open,market_development,1.0185000000,0.0185000000,0.3399145808,0.1466912198,0.7118311242,0.9988888889
2026-05-01,12h_prior,market_development,1.0760000000,0.0760000000,1.0811083871,0.5858231644,0.3392193309,0.9980555556
2026-05-01,24h_prior,market_development,1.0305000000,0.0305000000,1.0379020467,0.5450089589,0.3541969918,0.9977777778
2026-05-01,6h_prior,market_development,1.0215000000,0.0215000000,0.8769382453,0.4659981710,0.4160548213,0.9972222222
2026-05-01,event_day_open,market_development,0.9925000000,0.0075000000,0.8021527304,0.4272309322,0.4483627204,0.9975000000
