analysis_period,decision_rule,model,rows,dates,mean_crps_c
market_development,DATE_BALANCED_ALL_RULES,raw,424,107,1.7072429907
market_development,DATE_BALANCED_ALL_RULES,static,424,107,0.6423877968
market_development,DATE_BALANCED_ALL_RULES,rbf,424,107,0.6585927646
market_development,DATE_BALANCED_ALL_RULES,matern32,424,107,0.6602770998
market_development,DATE_BALANCED_ALL_RULES,selected_gp,424,107,0.6602770998
market_development,24h_prior,raw,106,106,1.7462264151
market_development,24h_prior,static,106,106,0.6669503399
market_development,24h_prior,rbf,106,106,0.6937626999
market_development,24h_prior,matern32,106,106,0.6953366091
market_development,24h_prior,selected_gp,106,106,0.6953366091
market_development,12h_prior,raw,106,106,1.7622641509
market_development,12h_prior,static,106,106,0.6212521074
market_development,12h_prior,rbf,106,106,0.6257134409
market_development,12h_prior,matern32,106,106,0.6289626072
market_development,12h_prior,selected_gp,106,106,0.6289626072
market_development,6h_prior,raw,106,106,1.6603773585
market_development,6h_prior,static,106,106,0.6438629781
market_development,6h_prior,rbf,106,106,0.6623933979
market_development,6h_prior,matern32,106,106,0.6621076768
market_development,6h_prior,selected_gp,106,106,0.6621076768
market_development,event_day_open,raw,106,106,1.6584905660
market_development,event_day_open,static,106,106,0.6433273069
market_development,event_day_open,rbf,106,106,0.6631594286
market_development,event_day_open,matern32,106,106,0.6649065313
market_development,event_day_open,selected_gp,106,106,0.6649065313
external_validation,DATE_BALANCED_ALL_RULES,raw,244,61,1.7676229508
external_validation,DATE_BALANCED_ALL_RULES,static,244,61,0.7241892025
external_validation,DATE_BALANCED_ALL_RULES,rbf,244,61,0.7252477082
external_validation,DATE_BALANCED_ALL_RULES,matern32,244,61,0.7218912097
external_validation,DATE_BALANCED_ALL_RULES,selected_gp,244,61,0.7218912097
external_validation,24h_prior,raw,61,61,1.9524590164
external_validation,24h_prior,static,61,61,0.7695473701
external_validation,24h_prior,rbf,61,61,0.7704700234
external_validation,24h_prior,matern32,61,61,0.7618757656
external_validation,24h_prior,selected_gp,61,61,0.7618757656
external_validation,12h_prior,raw,61,61,1.8426229508
external_validation,12h_prior,static,61,61,0.7646923568
external_validation,12h_prior,rbf,61,61,0.7652321005
external_validation,12h_prior,matern32,61,61,0.7643742163
external_validation,12h_prior,selected_gp,61,61,0.7643742163
external_validation,6h_prior,raw,61,61,1.6377049180
external_validation,6h_prior,static,61,61,0.6813971093
external_validation,6h_prior,rbf,61,61,0.6832336953
external_validation,6h_prior,matern32,61,61,0.6817291837
external_validation,6h_prior,selected_gp,61,61,0.6817291837
external_validation,event_day_open,raw,61,61,1.6377049180
external_validation,event_day_open,static,61,61,0.6811199737
external_validation,event_day_open,rbf,61,61,0.6820550136
external_validation,event_day_open,matern32,61,61,0.6795856733
external_validation,event_day_open,selected_gp,61,61,0.6795856733
market_mar_aug,DATE_BALANCED_ALL_RULES,raw,668,168,1.7291666667
market_mar_aug,DATE_BALANCED_ALL_RULES,static,668,168,0.6720894976
market_mar_aug,DATE_BALANCED_ALL_RULES,rbf,668,168,0.6827948572
market_mar_aug,DATE_BALANCED_ALL_RULES,matern32,668,168,0.6826488897
market_mar_aug,DATE_BALANCED_ALL_RULES,selected_gp,668,168,0.6826488897
market_mar_aug,24h_prior,raw,167,167,1.8215568862
market_mar_aug,24h_prior,static,167,167,0.7044259018
market_mar_aug,24h_prior,rbf,167,167,0.7217815426
market_mar_aug,24h_prior,matern32,167,167,0.7196413310
market_mar_aug,24h_prior,selected_gp,167,167,0.7196413310
market_mar_aug,12h_prior,raw,167,167,1.7916167665
market_mar_aug,12h_prior,static,167,167,0.6736464500
market_mar_aug,12h_prior,rbf,167,167,0.6766753465
market_mar_aug,12h_prior,matern32,167,167,0.6784243327
market_mar_aug,12h_prior,selected_gp,167,167,0.6784243327
market_mar_aug,6h_prior,raw,167,167,1.6520958084
market_mar_aug,6h_prior,static,167,167,0.6575730499
market_mar_aug,6h_prior,rbf,167,167,0.6700057221
market_mar_aug,6h_prior,matern32,167,167,0.6692748141
market_mar_aug,6h_prior,selected_gp,167,167,0.6692748141
market_mar_aug,event_day_open,raw,167,167,1.6508982036
market_mar_aug,event_day_open,static,167,167,0.6571318139
market_mar_aug,event_day_open,rbf,167,167,0.6700614088
market_mar_aug,event_day_open,matern32,167,167,0.6702683736
market_mar_aug,event_day_open,selected_gp,167,167,0.6702683736
