scope,decision_rule,n,mean_z,variance_z,skew_z,excess_kurtosis_z,lag1_z,lag1_z_squared
pooled_rows,ALL,1325,-0.0626353111,1.2166458629,0.0231782842,0.2284911985,,
rule,24h_prior,334,-0.0657005267,1.2925453102,0.1261429861,0.9642702875,0.4696188246,0.1282182424
rule,12h_prior,327,-0.0138761970,1.1766545404,0.1596110366,-0.0404641272,0.4946930286,0.3426415546
rule,6h_prior,329,-0.0898758781,1.2035561050,-0.0524102920,-0.1374998680,0.4712038287,0.1950890175
rule,event_day_open,335,-0.0804212866,1.2004044273,-0.1424732025,0.0020335991,0.4667492726,0.1640630295
