contrast,bootstrap,block_length,n_dates,observed_mean_difference_c,lower_95_c,upper_95_c,replications,seed
static_minus_raw,ordinary_date,,363,-0.8402074694,-0.9527378821,-0.7285291551,10000,20260731
rbf_minus_static,ordinary_date,,363,-0.0259966632,-0.0432851692,-0.0096603626,10000,20260731
matern_minus_static,ordinary_date,,363,-0.0364993879,-0.0549423853,-0.0190275165,10000,20260731
matern_minus_rbf,ordinary_date,,363,-0.0105027247,-0.0147336190,-0.0064172695,10000,20260731
selected_minus_static,ordinary_date,,363,-0.0364993879,-0.0549423853,-0.0190275165,10000,20260731
selected_minus_raw,ordinary_date,,363,-0.8767068573,-0.9930659660,-0.7613890533,10000,20260731
static_minus_raw,circular_moving_block,3,363,-0.8402074694,-0.9951014556,-0.6833535439,10000,20260734
rbf_minus_static,circular_moving_block,3,363,-0.0259966632,-0.0500303879,-0.0042295418,10000,20260734
matern_minus_static,circular_moving_block,3,363,-0.0364993879,-0.0622078723,-0.0130289316,10000,20260734
matern_minus_rbf,circular_moving_block,3,363,-0.0105027247,-0.0157655415,-0.0054854967,10000,20260734
selected_minus_static,circular_moving_block,3,363,-0.0364993879,-0.0622078723,-0.0130289316,10000,20260734
selected_minus_raw,circular_moving_block,3,363,-0.8767068573,-1.0390877631,-0.7148363797,10000,20260734
static_minus_raw,circular_moving_block,5,363,-0.8402074694,-1.0278507993,-0.6567641541,10000,20260736
rbf_minus_static,circular_moving_block,5,363,-0.0259966632,-0.0526526354,-0.0026076867,10000,20260736
matern_minus_static,circular_moving_block,5,363,-0.0364993879,-0.0652851259,-0.0108814569,10000,20260736
matern_minus_rbf,circular_moving_block,5,363,-0.0105027247,-0.0167240999,-0.0045941606,10000,20260736
selected_minus_static,circular_moving_block,5,363,-0.0364993879,-0.0652851259,-0.0108814569,10000,20260736
selected_minus_raw,circular_moving_block,5,363,-0.8767068573,-1.0718525220,-0.6889318404,10000,20260736
static_minus_raw,circular_moving_block,7,363,-0.8402074694,-1.0475198398,-0.6390273022,10000,20260738
rbf_minus_static,circular_moving_block,7,363,-0.0259966632,-0.0530786192,-0.0018452799,10000,20260738
matern_minus_static,circular_moving_block,7,363,-0.0364993879,-0.0657721642,-0.0095114184,10000,20260738
matern_minus_rbf,circular_moving_block,7,363,-0.0105027247,-0.0172859153,-0.0038107665,10000,20260738
selected_minus_static,circular_moving_block,7,363,-0.0364993879,-0.0657721642,-0.0095114184,10000,20260738
selected_minus_raw,circular_moving_block,7,363,-0.8767068573,-1.0903009538,-0.6696712507,10000,20260738
