decision_rule,kernel_family,selected_kernel,train_start,train_end,train_rows,response_mean_c,response_scale_c,static_residual_mean_c,static_residual_sd_c,feature_means,feature_scales,signal_variance,signal_std,length_scale,white_noise_variance,constant_near_bound,length_near_bound,noise_near_bound,log_marginal_likelihood,warning_count,warnings
24h_prior,rbf,False,2024-03-16,2026-03-15,682,1.4065982405,1.5733951503,1.4065982405,1.5733951503,"[0.9848476317616243, 0.0014893027151769071, -0.020455144566937693, 26.017888563049848]","[0.5836248603558256, 0.7124649718770092, 0.7014078933733643, 4.5160648013103835]",0.3666010664,0.6054759008,0.4600244060,0.6680460516,False,False,False,-896.7408701253,0,
24h_prior,matern32,True,2024-03-16,2026-03-15,682,1.4065982405,1.5733951503,1.4065982405,1.5733951503,"[0.9848476317616243, 0.0014893027151769071, -0.020455144566937693, 26.017888563049848]","[0.5836248603558256, 0.7124649718770092, 0.7014078933733643, 4.5160648013103835]",0.4148318503,0.6440744137,0.5727229072,0.6399620052,False,False,False,-894.3538992145,0,
12h_prior,rbf,False,2024-03-16,2026-03-15,681,1.4377386197,1.5557671203,1.4377386197,1.5557671203,"[0.9799174219505785, -0.0005746848665910833, -0.015455933181920074, 25.957562408223204]","[0.58365348431752, 0.712372490007624, 0.7016311134400455, 4.5851486545619435]",0.3990109938,0.6316731700,0.3299880424,0.6178912305,False,False,False,-893.1333928882,0,
12h_prior,matern32,True,2024-03-16,2026-03-15,681,1.4377386197,1.5557671203,1.4377386197,1.5557671203,"[0.9799174219505785, -0.0005746848665910833, -0.015455933181920074, 25.957562408223204]","[0.58365348431752, 0.712372490007624, 0.7016311134400455, 4.5851486545619435]",0.4495848125,0.6705108593,0.4109103963,0.5868165896,False,False,False,-890.0820922633,0,
6h_prior,rbf,False,2024-03-16,2026-03-15,681,1.4245227606,1.4792745721,1.4245227606,1.4792745721,"[0.9771232290432993, 0.004418883939885306, -0.018171755516754817, 26.019823788546255]","[0.5823249187462904, 0.7158090849518239, 0.6980455677580064, 4.5521553170584514]",0.3827465199,0.6186651113,0.6885022503,0.6770329329,False,False,False,-883.4696724808,0,
6h_prior,matern32,True,2024-03-16,2026-03-15,681,1.4245227606,1.4792745721,1.4245227606,1.4792745721,"[0.9771232290432993, 0.004418883939885306, -0.018171755516754817, 26.019823788546255]","[0.5823249187462904, 0.7158090849518239, 0.6980455677580064, 4.5521553170584514]",0.4700545138,0.6856052172,0.9780258125,0.6574229730,False,False,False,-881.4259850861,0,
event_day_open,rbf,False,2024-03-16,2026-03-15,682,1.4240469208,1.4737217387,1.4240469208,1.4737217387,"[0.9850403290289781, 0.001827226613044022, -0.020402568055191864, 26.002346041055723]","[0.5836902507914935, 0.7123690396248267, 0.7015060568830892, 4.558076883656422]",0.3699338547,0.6082218795,0.6360272432,0.6732243695,False,False,False,-885.2153662621,0,
event_day_open,matern32,True,2024-03-16,2026-03-15,682,1.4240469208,1.4737217387,1.4240469208,1.4737217387,"[0.9850403290289781, 0.001827226613044022, -0.020402568055191864, 26.002346041055723]","[0.5836902507914935, 0.7123690396248267, 0.7015060568830892, 4.558076883656422]",0.4508826934,0.6714779917,0.8876280675,0.6520165040,False,False,False,-882.9021319988,0,
