path,n_columns,has_event_date,has_decision_rule,has_empirical_period,has_target,has_market_price_like,has_bid,has_ask,has_yes,has_no,has_raw_model,has_static_model,has_rbf_model,has_matern_model,execution_candidate,bid_ask_candidate
data/processed/final_pipeline/ecmwf_deterministic_forecasts 2.csv,26,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False
data/processed/final_pipeline/ecmwf_deterministic_forecasts.csv,26,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False
data/processed/final_pipeline/ecmwf_request_plan 2.csv,11,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False
data/processed/final_pipeline/ecmwf_request_plan.csv,11,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False
data/processed/final_pipeline/hko_daily_max_temperature.csv,5,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False
data/processed/final_pipeline/market/convex_pool_development_grid.csv,5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
data/processed/final_pipeline/market/exact_common_book_metrics.csv,36,True,True,True,True,True,False,False,False,False,False,True,False,True,True,False
data/processed/final_pipeline/market/exact_common_date_losses.csv,19,True,False,True,False,False,False,False,False,False,False,True,False,True,False,False
data/processed/final_pipeline/market/exact_common_event_panel.csv.gz,30,True,True,True,True,True,False,False,True,False,False,True,False,True,True,False
data/processed/final_pipeline/market/polymarket_contract_candidates.csv,26,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
data/processed/final_pipeline/market/polymarket_contract_targets.csv,35,True,False,True,True,False,False,False,True,False,False,False,False,False,False,False
data/processed/final_pipeline/market/polymarket_contract_universe.csv,31,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
data/processed/final_pipeline/market/polymarket_decision_snapshots.csv.gz,26,True,True,True,True,True,False,False,True,False,False,False,False,False,True,False
data/processed/final_pipeline/market/polymarket_price_history.csv.gz,6,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False
data/processed/final_pipeline/market/weather_event_probabilities.csv.gz,22,True,True,True,True,False,False,False,True,False,False,True,False,True,False,False
data/processed/final_pipeline/residual_sample_manifest.csv,9,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
data/processed/final_pipeline/residual_samples/external_validation.csv,47,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
data/processed/final_pipeline/residual_samples/market_development.csv,47,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
data/processed/final_pipeline/residual_samples/weather_history_training.csv,47,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
data/processed/final_pipeline/synthesis/external_gp_leave_one_trade_out.csv,6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
data/processed/final_pipeline/synthesis/external_monthly_method_performance.csv,8,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
data/processed/final_pipeline/synthesis/external_threshold_neighbourhood.csv,11,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
data/processed/final_pipeline/trading/development_selected_contract_candidates.csv,27,True,True,True,True,True,False,False,True,False,False,True,False,True,True,False
data/processed/final_pipeline/trading/development_threshold_grid.csv,11,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
data/processed/final_pipeline/trading/fixed_policy_attribution_panel.csv,25,True,False,False,True,False,False,False,False,False,True,True,False,True,False,False
data/processed/final_pipeline/trading/fixed_policy_ledgers.csv,34,True,True,True,True,True,False,False,True,False,False,True,False,True,True,False
data/processed/final_pipeline/trading/forecast_error_pnl_panel.csv,30,True,True,False,True,True,False,False,True,False,False,False,False,True,True,False
data/processed/final_pipeline/trading/selected_gp_fixed_contract_mean_shocks.csv.gz,14,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False
data/processed/final_pipeline/trading/selected_gp_local_event_sensitivity.csv.gz,34,True,True,True,True,True,False,False,True,False,False,True,False,True,True,False
data/processed/final_pipeline/trading/selected_gp_selected_contract_sensitivity.csv,29,True,True,False,True,True,False,False,True,False,False,False,False,True,True,False
data/processed/final_pipeline/weather_models/chronological_validation_date_losses.csv,7,True,False,False,True,False,False,False,False,False,False,False,True,True,False,False
data/processed/final_pipeline/weather_models/chronological_validation_predictions.csv,25,True,True,False,True,False,False,False,False,False,True,True,True,True,False,False
data/processed/final_pipeline/weather_models/frozen_weather_model_predictions_mar_aug.csv,24,True,True,True,True,False,False,False,False,False,True,True,True,True,False,False
data/processed/final_pipeline/weather_residual_panel.csv,47,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
outputs/final_pipeline/audit/ecmwf_fetch_inventory.csv,8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
outputs/final_pipeline/audit/ecmwf_historical_reconciliation.csv,10,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False
outputs/final_pipeline/audit/ecmwf_integrity_checks.csv,5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
outputs/final_pipeline/audit/ecmwf_unsupported_keys.csv,26,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False
outputs/final_pipeline/audit/hko_integrity_checks.csv,5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
outputs/final_pipeline/audit/hko_overlap_reconciliation.csv,5,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False
outputs/final_pipeline/audit/hko_provenance.csv,8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
outputs/final_pipeline/audit/hko_source_overlap.csv,5,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False
outputs/final_pipeline/audit/market_stage_integrity_checks.csv,5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
outputs/final_pipeline/audit/reporting_stage_integrity_checks.csv,5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
outputs/final_pipeline/audit/residual_panel_integrity_checks.csv,5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
outputs/final_pipeline/audit/synthesis_stage_integrity_checks.csv,5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
outputs/final_pipeline/audit/trading_stage_integrity_checks.csv,5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
outputs/final_pipeline/audit/weather_models_integrity_checks.csv,5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
outputs/final_pipeline/market/clob_fetch_diagnostics.csv,9,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
outputs/final_pipeline/market/contract_book_chronology_audit.csv,11,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
outputs/final_pipeline/market/contract_date_summary.csv,5,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
outputs/final_pipeline/market/contract_universe_issues.csv,5,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
outputs/final_pipeline/market/exact_support_score_summary.csv,8,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
outputs/final_pipeline/market/exact_support_summary.csv,13,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False
outputs/final_pipeline/market/gamma_fetch_diagnostics.csv,10,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
outputs/final_pipeline/market/market_book_summary.csv,9,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
outputs/final_pipeline/market/market_only_score_summary.csv,10,False,True,True,False,False,False,False,True,False,True,False,False,False,False,False
outputs/final_pipeline/market/missing_decision_snapshots.csv,26,True,True,True,True,True,False,False,True,False,False,False,False,False,True,False
outputs/final_pipeline/market/paired_score_bootstrap.csv,11,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
outputs/final_pipeline/market/total_variation_summary.csv,5,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
outputs/final_pipeline/market/weather_market_disagreement_summary.csv,5,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False
outputs/final_pipeline/market/weather_probability_mass_audit.csv,7,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False
outputs/final_pipeline/release/final_release_manifest.csv,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
outputs/final_pipeline/release/seven_question_core_narrative.csv,6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
outputs/final_pipeline/release/thesis_pruning_register.csv,13,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
outputs/final_pipeline/release/three_layer_final_audit.csv,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
outputs/final_pipeline/reporting/authoritative_sample_sizes.csv,7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
outputs/final_pipeline/reporting/benchmark_discrepancy_register.csv,5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
outputs/final_pipeline/reporting/curated_thesis_figures.csv,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
outputs/final_pipeline/reporting/development_external_comparison.csv,6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
outputs/final_pipeline/reporting/final_empirical_output_manifest.csv,5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
outputs/final_pipeline/reporting/final_thesis_claims_register.csv,11,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
outputs/final_pipeline/reporting/march_june_audit_reconciliation.csv,6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
outputs/final_pipeline/synthesis/bootstrap_interpretation.csv,10,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
outputs/final_pipeline/synthesis/cost_robustness_summary.csv,8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
outputs/final_pipeline/synthesis/cross_stage_attribution.csv,9,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
outputs/final_pipeline/synthesis/development_external_stability.csv,7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
outputs/final_pipeline/synthesis/external_gp_top_winner_removal.csv,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
outputs/final_pipeline/synthesis/final_result_ledger.csv,9,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
outputs/final_pipeline/synthesis/forecast_risk_synthesis.csv,5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
outputs/final_pipeline/synthesis/reproducibility_manifest.csv,5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
outputs/final_pipeline/synthesis/rule_support_robustness.csv,8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
